dmu,country,year,efficiencies,material_footprint,income
Kyrgyzstan_2014,Kyrgyzstan,2014,0.00346,8.67,4.72
Kyrgyzstan_2015,Kyrgyzstan,2015,0.00352,8.52,4.81
Latvia_2004,Latvia,2004,0.33659,12,18.2
Latvia_2005,Latvia,2005,0.36068,13.6,20.3
Latvia_2006,Latvia,2006,0.37618,16,23
Latvia_2007,Latvia,2007,0.36154,19.5,25.5
Latvia_2008,Latvia,2008,0.36377,18.7,24.9
Latvia_2009,Latvia,2009,0.36551,15,21.7
Latvia_2010,Latvia,2010,0.34714,15.2,21.2
Latvia_2011,Latvia,2011,0.32645,17.3,22.1
Latvia_2012,Latvia,2012,0.34764,18.5,24
Latvia_2013,Latvia,2013,0.35369,19,24.7
Latvia_2014,Latvia,2014,0.33535,20.9,25.4
Latvia_2015,Latvia,2015,0.34579,21.7,26.6
Lithuania_2004,Lithuania,2004,0.20705,21.5,19.2
Lithuania_2005,Lithuania,2005,0.22469,23.3,21.1
Lithuania_2006,Lithuania,2006,0.23696,25.4,23
Lithuania_2007,Lithuania,2007,0.23993,29.9,25.8
Lithuania_2008,Lithuania,2008,0.24315,31.2,26.8
Lithuania_2009,Lithuania,2009,0.23489,25.8,23.1
Lithuania_2010,Lithuania,2010,0.2439,26.2,23.9
Lithuania_2011,Lithuania,2011,0.25022,29,26
Lithuania_2012,Lithuania,2012,0.25633,30.4,27.3
Lithuania_2013,Lithuania,2013,0.25785,32.3,28.6
Lithuania_2014,Lithuania,2014,0.26305,33.7,29.9
Lithuania_2015,Lithuania,2015,0.26346,34.9,30.7
Lithuania_2016,Lithuania,2016,0.27295,35.5,31.9
Luxembourg_2002,Luxembourg,2002,0.92688,88,103
Luxembourg_2003,Luxembourg,2003,0.9356,90.2,105
Luxembourg_2004,Luxembourg,2004,0.90624,97.8,108
Luxembourg_2005,Luxembourg,2005,0.88278,102,109
Luxembourg_2006,Luxembourg,2006,0.92908,103,113
Luxembourg_2007,Luxembourg,2007,1,107,121
Luxembourg_2008,Luxembourg,2008,0.97867,105,118
Luxembourg_2009,Luxembourg,2009,0.97299,96.9,112
Luxembourg_2010,Luxembourg,2010,0.97499,99.6,114
Luxembourg_2011,Luxembourg,2011,0.87794,109,113
Luxembourg_2012,Luxembourg,2012,0.91537,103,112
Luxembourg_2013,Luxembourg,2013,0.90279,106,113
Luxembourg_2014,Luxembourg,2014,0.91139,105,113
Luxembourg_2015,Luxembourg,2015,0.91139,105,113
Malaysia_2007,Malaysia,2007,0.22428,20.4,19.5
Malaysia_2008,Malaysia,2008,0.23411,20.6,20.1
Malaysia_2009,Malaysia,2009,0.22557,20.1,19.4
Malaysia_2010,Malaysia,2010,0.23639,21.1,20.5
Malaysia_2011,Malaysia,2011,0.24393,21.8,21.3
Malaysia_2012,Malaysia,2012,0.2488,22.7,22.1
Malaysia_2013,Malaysia,2013,0.25011,23.9,22.9
Malaysia_2014,Malaysia,2014,0.27192,23.5,23.9
Malta_2006,Malta,2006,0.28566,30.6,29.6
Malta_2007,Malta,2007,0.30024,30.9,30.9
Malta_2008,Malta,2008,0.31257,31,31.9
Malta_2009,Malta,2009,0.36598,25.8,31.3
Malta_2010,Malta,2010,0.39005,25.9,32.9
Malta_2011,Malta,2011,0.39156,25.8,32.9
Malta_2012,Malta,2012,0.41396,25.4,33.9
Malta_2013,Malta,2013,0.417,26.6,35.3
Malta_2014,Malta,2014,0.44814,26.5,37.2
Malta_2015,Malta,2015,0.48495,26.7,39.8
Mexico_1990,Mexico,1990,0.32698,8.19,14.9
Mexico_1991,Mexico,1991,0.33135,8.58,15.3
Mexico_1992,Mexico,1992,0.32927,9.01,15.6
Mexico_1993,Mexico,1993,0.32817,9.04,15.6
Mexico_1994,Mexico,1994,0.33576,9.45,16.1
Mexico_1995,Mexico,1995,0.34694,7.6,14.8
Moldova_1997,Moldova,1997,0.375,0.08,5.48
Moldova_1998,Moldova,1998,0.6,0.05,5.12
Moldova_1999,Moldova,1999,0.75,0.04,4.96
Moldova_2000,Moldova,2000,0.6,0.05,5.07
Moldova_2001,Moldova,2001,0.75,0.04,5.4
Moldova_2002,Moldova,2002,0.08824,0.34,5.83
Moldova_2003,Moldova,2003,0.6,0.05,6.23
Moldova_2004,Moldova,2004,0.42857,0.07,6.71
Moldova_2005,Moldova,2005,0.0625,0.48,7.23
Moldova_2006,Moldova,2006,0.125,0.24,7.6
Moldova_2007,Moldova,2007,0.15,0.2,7.85
Moldova_2008,Moldova,2008,0.06522,0.46,8.47
Moldova_2009,Moldova,2009,0.05882,0.51,7.98
Moldova_2010,Moldova,2010,0.085319999999999993,0.69,8.55
Moldova_2011,Moldova,2011,0.28815,0.92,9.05
Moldova_2012,Moldova,2012,0.40746,0.6,9
Moldova_2013,Moldova,2013,0.18381,3.17,9.82
Moldova_2014,Moldova,2014,0.2276,3.43,10.3
Moldova_2015,Moldova,2015,0.23218,3.54,10.4
Moldova_2016,Moldova,2016,0.28091,3.66,10.9
Mongolia_2016,Mongolia,2016,0.07981,13.4,11
North Macedonia_2009,North Macedonia,2009,0.1613,12,13.1
North Macedonia_2010,North Macedonia,2010,0.18108,11.6,13.5
North Macedonia_2011,North Macedonia,2011,0.16724,13.3,13.8
North Macedonia_2012,North Macedonia,2012,0.16923,12.9,13.7
North Macedonia_2013,North Macedonia,2013,0.17924,13.1,14.1
Norway_1990,Norway,1990,0.65243,21.3,42.1
Norway_1991,Norway,1991,0.60044,23.9,43.2
Norway_1992,Norway,1992,0.58609,25.4,44.5
Norway_1993,Norway,1993,0.60233,25.4,45.5
Norway_1994,Norway,1994,0.61308,26.3,47.5
Norway_1995,Norway,1995,0.61557,27.4,49.3
Norway_1996,Norway,1996,0.61079,29.1,51.5
Norway_1997,Norway,1997,0.62755,29.9,53.9
Norway_1998,Norway,1998,0.5771,33.3,55
Norway_1999,Norway,1999,0.61887,31.7,55.7
Norway_2000,Norway,2000,0.66393,31,57.1
Norway_2001,Norway,2001,0.7058,30.3,58
Norway_2002,Norway,2002,0.70334,31.1,58.5
Norway_2003,Norway,2003,0.70962,31.1,58.7
Norway_2004,Norway,2004,0.7437,32.3,60.7
Norway_2005,Norway,2005,0.75428,33.4,61.9
Norway_2006,Norway,2006,0.77363,33.7,62.8
Norway_2007,Norway,2007,0.73893,37,64.1
Norway_2008,Norway,2008,0.73167,36.7,63.6
Norway_2009,Norway,2009,0.75522,33.1,61.7
Norway_2010,Norway,2010,0.72026,34.3,61.4
Norway_2011,Norway,2011,0.69828,35.1,61.2
Norway_2012,Norway,2012,0.69671,36.3,62
Norway_2013,Norway,2013,0.67905,37.1,61.9
Norway_2014,Norway,2014,0.69035,37.2,62.4
Norway_2015,Norway,2015,0.69858,37.6,63
Poland_2004,Poland,2004,0.22795,17.9,18.3
Poland_2005,Poland,2005,0.23268,18.6,18.9
Poland_2006,Poland,2006,0.2579,18.7,20.1
Poland_2007,Poland,2007,0.25235,21.4,21.5
Poland_2008,Poland,2008,0.26474,21.8,22.4
Poland_2009,Poland,2009,0.30001,20.2,23.1
Poland_2010,Poland,2010,0.29775,21.6,24
Poland_2011,Poland,2011,0.29174,23.6,25.1
Poland_2012,Poland,2012,0.31333,22.5,25.5
Poland_2013,Poland,2013,0.32169,22.3,25.8
Poland_2014,Poland,2014,0.33056,22.7,26.6
Poland_2015,Poland,2015,0.34477,23.2,27.8
Portugal_2003,Portugal,2003,0.4142,21.9,30.4
Portugal_2004,Portugal,2004,0.39988,23.2,30.9
Portugal_2005,Portugal,2005,0.41233,22.7,31.1
Portugal_2006,Portugal,2006,0.42712,22.3,31.5
Portugal_2007,Portugal,2007,0.4605,21.4,32.3
Portugal_2008,Portugal,2008,0.46705,21.1,32.3
Portugal_2009,Portugal,2009,0.50225,18.8,31.3
Portugal_2010,Portugal,2010,0.49227,19.6,31.8
Portugal_2011,Portugal,2011,0.51881,18.2,31.3
Portugal_2012,Portugal,2012,0.50215,17.9,30.2
Portugal_2013,Portugal,2013,0.48667,18.3,30
Portugal_2014,Portugal,2014,0.49569,18.3,30.4
Romania_2006,Romania,2006,0.3107,13,18.2
Romania_2007,Romania,2007,0.33564,14,19.8
Romania_2008,Romania,2008,0.3504,16,22
Romania_2009,Romania,2009,0.38761,13.4,21
Romania_2010,Romania,2010,0.34789,14.1,20.3
Romania_2011,Romania,2011,0.33408,15.3,20.8
Romania_2012,Romania,2012,0.37714,14.1,21.3
Romania_2013,Romania,2013,0.36941,15.4,22.2
Romania_2014,Romania,2014,0.38114,15.9,23.1
Romania_2015,Romania,2015,0.38964,16.4,23.9
Romania_2016,Romania,2016,0.41728,16.5,25.1
Russia_1997,Russia,1997,0.28189,6.72,13
Russia_1998,Russia,1998,0.28345,5.81,12.4
Serbia_2012,Serbia,2012,0.1623,16.5,14.9
Serbia_2013,Serbia,2013,0.15424,18.7,15.4
Serbia_2014,Serbia,2014,0.15310000000000001,18.3,15.2
Serbia_2015,Serbia,2015,0.15059,19.7,15.6
Slovakia_2006,Slovakia,2006,0.18983,29.1,21.8
Slovakia_2007,Slovakia,2007,0.20548,31.5,24.1
Slovakia_2008,Slovakia,2008,0.21759,32.4,25.5
Slovakia_2009,Slovakia,2009,0.22254,28.9,24
Slovakia_2010,Slovakia,2010,0.22596,31.2,25.5
Slovakia_2011,Slovakia,2011,0.22374,32.8,26.2
Slovakia_2012,Slovakia,2012,0.22276,33.5,26.5
Slovakia_2013,Slovakia,2013,0.22466,33.4,26.6
Slovakia_2014,Slovakia,2014,0.22987,33.9,27.3
Slovenia_2004,Slovenia,2004,0.40482,22,30
Slovenia_2005,Slovenia,2005,0.41785,22.4,31.1
Slovenia_2006,Slovenia,2006,0.41233,24.4,32.8
Slovenia_2007,Slovenia,2007,0.40471,27,34.9
Slovenia_2008,Slovenia,2008,0.40939,27.9,36.1
Slovenia_2009,Slovenia,2009,0.42973,23.7,33.1
Slovenia_2010,Slovenia,2010,0.43313,23.8,33.4
Slovenia_2011,Slovenia,2011,0.43844,23.7,33.6
Slovenia_2012,Slovenia,2012,0.44153,22.6,32.6
Slovenia_2013,Slovenia,2013,0.44007,22.3,32.2
Slovenia_2014,Slovenia,2014,0.44475,22.9,33.1
Slovenia_2015,Slovenia,2015,0.45144,23.2,33.8
South Africa_2008,South Africa,2008,0.2423,9.18,13.8
South Korea_2006,South Korea,2006,0.38224,23.3,30
South Korea_2007,South Korea,2007,0.37661,25.4,31.6
South Korea_2008,South Korea,2008,0.38798,25.4,32.3
South Korea_2009,South Korea,2009,0.4229,23.4,32.4
South Korea_2010,South Korea,2010,0.43056,24.9,34.4
South Korea_2011,South Korea,2011,0.4366,25.5,35.4
South Korea_2012,South Korea,2012,0.42785,26.6,36
South Korea_2013,South Korea,2013,0.43518,27.1,37
South Korea_2014,South Korea,2014,0.45206,27,38
South Korea_2015,South Korea,2015,0.45584,27.5,38.8
Spain_1990,Spain,1990,0.51136,15.4,27.5
Spain_1991,Spain,1991,0.50084,16.3,28.2
Spain_1992,Spain,1992,0.45583,18,28.3
Spain_1993,Spain,1993,0.5121,15.7,27.9
Spain_1994,Spain,1994,0.51538,16,28.4
Spain_1995,Spain,1995,0.47717,17.8,29
Spain_1996,Spain,1996,0.50185,17.5,29.7
Spain_1997,Spain,1997,0.508,18.1,30.7
Spain_1998,Spain,1998,0.46362,20.9,31.9
Spain_1999,Spain,1999,0.46482,22,33.2
Spain_2000,Spain,2000,0.46323,23.5,34.8
Spain_2001,Spain,2001,0.47248,24,35.9
Spain_2002,Spain,2002,0.46389,24.8,36.3
Spain_2003,Spain,2003,0.43535,26.9,36.8
Spain_2004,Spain,2004,0.4211,28.3,37.3
Spain_2005,Spain,2005,0.40551,30.1,38
Spain_2006,Spain,2006,0.40311,31.2,38.9
Spain_2007,Spain,2007,0.40328,31.8,39.5
Spain_2008,Spain,2008,0.43347,29.3,39.2
Spain_2009,Spain,2009,0.47833,25,37.4
Spain_2010,Spain,2010,0.48052,24.8,37.3
Spain_2011,Spain,2011,0.50438,23.3,36.9
Spain_2012,Spain,2012,0.49554,22.8,35.8
Spain_2013,Spain,2013,0.4883,22.8,35.4
Spain_2014,Spain,2014,0.49916,22.8,36
Spain_2015,Spain,2015,0.51323,23.3,37.4
Sweden_1990,Sweden,1990,0.52927,20.1,34.2
Sweden_1991,Sweden,1991,0.52008,19.9,33.5
Sweden_1992,Sweden,1992,0.51752,19.6,33
Sweden_1993,Sweden,1993,0.55524,17.6,32.1
Sweden_1994,Sweden,1994,0.64055,15.9,33.1
Sweden_1995,Sweden,1995,0.53459,19.9,34.2
Sweden_1996,Sweden,1996,0.52901,20.5,34.7
Sweden_1997,Sweden,1997,0.56211,20.1,35.8
Sweden_1998,Sweden,1998,0.54416,21.9,37.3
Sweden_1999,Sweden,1999,0.56214,22.3,38.8
Sweden_2000,Sweden,2000,0.6119,21.7,40.6
Sweden_2001,Sweden,2001,0.54814,24.6,41.1
Sweden_2002,Sweden,2002,0.53962,25.6,41.9
Sweden_2003,Sweden,2003,0.49283,28.7,42.7
Sweden_2004,Sweden,2004,0.48834,30.4,44.4
Sweden_2005,Sweden,2005,0.54885,27.8,45.4
Sweden_2006,Sweden,2006,0.49359,32.5,47.3
Sweden_2007,Sweden,2007,0.49486,33.5,48.6
Sweden_2008,Sweden,2008,0.52678,31,48
Sweden_2009,Sweden,2009,0.64013,23.9,45.5
Sweden_2010,Sweden,2010,0.54159,30,47.8
Sweden_2011,Sweden,2011,0.53359,31.3,48.9
Sweden_2012,Sweden,2012,0.52569,31.3,48.3
Sweden_2013,Sweden,2013,0.52664,31.4,48.5
Sweden_2014,Sweden,2014,0.53375,31.6,49.3
Sweden_2015,Sweden,2015,0.55115,31.8,50.9
Switzerland_1990,Switzerland,1990,1,20,56.3
Switzerland_1991,Switzerland,1991,0.93489,20.6,55.1
Switzerland_1992,Switzerland,1992,0.95056,20,54.5
Switzerland_1993,Switzerland,1993,0.99807,18.8,53.9
Switzerland_1994,Switzerland,1994,0.93503,20.2,54.2
Switzerland_1995,Switzerland,1995,0.89744,21,54.1
Switzerland_1996,Switzerland,1996,0.94705,19.9,54.1
Switzerland_1997,Switzerland,1997,1,19.3,55.2
Switzerland_1998,Switzerland,1998,0.99955,20.3,56.7
Switzerland_1999,Switzerland,1999,1,20.8,57.4
Switzerland_2000,Switzerland,2000,0.96819,23.5,59.4
Switzerland_2001,Switzerland,2001,0.89732,25.9,59.9
Switzerland_2002,Switzerland,2002,0.85581,26.7,59.5
Switzerland_2003,Switzerland,2003,0.85351,26.2,59
Switzerland_2004,Switzerland,2004,0.84396,28,60.3
Switzerland_2005,Switzerland,2005,0.83557,29.8,61.6
Switzerland_2006,Switzerland,2006,0.86656,31.1,63.7
Switzerland_2007,Switzerland,2007,0.89734,32.1,65.6
Switzerland_2008,Switzerland,2008,0.97195,31,66.6
Switzerland_2009,Switzerland,2009,0.97991,28.2,64.4
Switzerland_2010,Switzerland,2010,1,29,65.8
Switzerland_2011,Switzerland,2011,0.98366,30.2,66.3
Switzerland_2012,Switzerland,2012,0.97224,30.7,66.4
Switzerland_2013,Switzerland,2013,0.97931,31.2,66.9
Thailand_1994,Thailand,1994,0.04527,8.68,9.36
Thailand_1995,Thailand,1995,0.06731,9.76,10
Thailand_1996,Thailand,1996,0.08546,10.1,10.5
Thailand_1997,Thailand,1997,0.07467,9.35,10.1
Thailand_1998,Thailand,1998,0.04888,6.52,9.18
Thailand_1999,Thailand,1999,0.06398,6.98,9.49
Thailand_2000,Thailand,2000,0.07524,7.69,9.81
Thailand_2001,Thailand,2001,0.09115,7.66,10.1
Thailand_2002,Thailand,2002,0.11083,8.16,10.6
Thailand_2003,Thailand,2003,0.12802,9.32,11.3
Thailand_2004,Thailand,2004,0.14124,10.2,11.9
Thailand_2005,Thailand,2005,0.15291,10.5,12.3
Thailand_2006,Thailand,2006,0.15755,11.5,12.8
Thailand_2007,Thailand,2007,0.18266,11.5,13.5
Thailand_2008,Thailand,2008,0.18151,11.8,13.6
Thailand_2009,Thailand,2009,0.19449,10.8,13.5
Thailand_2010,Thailand,2010,0.20428,12.1,14.4
Thailand_2011,Thailand,2011,0.18585,13.3,14.4
Thailand_2012,Thailand,2012,0.209,13.8,15.4
Thailand_2013,Thailand,2013,0.21625,14.1,15.8
Thailand_2014,Thailand,2014,0.21764,14.2,15.9
Thailand_2015,Thailand,2015,0.22607,14.4,16.3
Thailand_2016,Thailand,2016,0.2371,14.6,16.8
Trinidad and Tobago_1990,Trinidad and Tobago,1990,0.17455,4,10.1
Trinidad and Tobago_1991,Trinidad and Tobago,1991,0.09771,7.99,10.3
Trinidad and Tobago_1992,Trinidad and Tobago,1992,0.30282,3.94,11.3
Tunisia_2009,Tunisia,2009,0.15117,5.71,10.5
Turkey_2009,Turkey,2009,0.35085,12.1,18.7
Turkey_2010,Turkey,2010,0.34154,14,20
Turkey_2011,Turkey,2011,0.35904,15.5,21.9
Turkey_2012,Turkey,2012,0.37767,15.5,22.6
Turkey_2013,Turkey,2013,0.41227,15.7,24.1
Turkey_2014,Turkey,2014,0.43887,15.5,24.9
Turkey_2015,Turkey,2015,0.46514,15.6,26
Ukraine_1995,Ukraine,1995,0.00558,5.38,7.91
Ukraine_1996,Ukraine,1996,0.00664,4.52,7.18
Ukraine_1997,Ukraine,1997,0.00636,4.72,7.03
Ukraine_1998,Ukraine,1998,0.00785,3.82,6.96
Ukraine_1999,Ukraine,1999,0.00817,3.67,7.01
Ukraine_2000,Ukraine,2000,0.00735,4.08,7.5
Ukraine_2001,Ukraine,2001,0.0062,4.84,8.24
Ukraine_2002,Ukraine,2002,0.03123,4.79,8.77
Ukraine_2003,Ukraine,2003,0.10757,4.88,9.68
Ukraine_2004,Ukraine,2004,0.16372,6.28,10.9
United Kingdom_1990,United Kingdom,1990,0.5372,17.5,31.2
United Kingdom_1991,United Kingdom,1991,0.50196,18.4,30.8
United Kingdom_1992,United Kingdom,1992,0.51028,18.1,30.8
United Kingdom_1993,United Kingdom,1993,0.5474,17.4,31.5
United Kingdom_1994,United Kingdom,1994,0.52518,19,32.6
United Kingdom_1995,United Kingdom,1995,0.51286,20.1,33.4
United Kingdom_1996,United Kingdom,1996,0.53521,19.8,34.1
United Kingdom_1997,United Kingdom,1997,0.51638,21.8,35.7
United Kingdom_1998,United Kingdom,1998,0.50084,23.3,36.7
United Kingdom_1999,United Kingdom,1999,0.49314,24.5,37.7
United Kingdom_2000,United Kingdom,2000,0.4856,25.9,38.9
United Kingdom_2001,United Kingdom,2001,0.52945,24.3,39.6
United Kingdom_2002,United Kingdom,2002,0.53523,24.5,40.2
United Kingdom_2003,United Kingdom,2003,0.55602,24.4,41.3
United Kingdom_2004,United Kingdom,2004,0.53496,25.9,42
United Kingdom_2005,United Kingdom,2005,0.52539,27,42.8
United Kingdom_2006,United Kingdom,2006,0.52976,27.4,43.6
United Kingdom_2007,United Kingdom,2007,0.54077,27.3,44.2
United Kingdom_2008,United Kingdom,2008,0.57472,25.4,43.8
United Kingdom_2009,United Kingdom,2009,0.63677,21.5,41.6
United Kingdom_2010,United Kingdom,2010,0.62318,22.3,42.1
United Kingdom_2011,United Kingdom,2011,0.63441,22.1,42.4
United Kingdom_2012,United Kingdom,2012,0.63328,22.4,42.8
United Kingdom_2013,United Kingdom,2013,0.64537,22.3,43.3
United Kingdom_2014,United Kingdom,2014,0.65613,22.5,44.2
United Kingdom_2015,United Kingdom,2015,0.66489,22.7,45
United States_1990,United States,1990,0.47466,27.8,40.4
United States_1991,United States,1991,0.49017,26.5,39.9
United States_1992,United States,1992,0.4774,27.9,40.7
United States_1993,United States,1993,0.50623,26.8,41.3
United States_1994,United States,1994,0.47852,29.3,42.4
United States_1995,United States,1995,0.4804,29.7,43
United States_1996,United States,1996,0.47489,31,44.1
United States_1997,United States,1997,0.46082,33.2,45.5
United States_1998,United States,1998,0.44463,35.8,47
United States_1999,United States,1999,0.46164,36,48.7
United States_2000,United States,2000,0.47243,36.4,50.1
United States_2001,United States,2001,0.47768,36,50.1
United States_2002,United States,2002,0.48632,35.7,50.5
United States_2003,United States,2003,0.50067,35.5,51.5
United States_2004,United States,2004,0.48529,37.9,53
United States_2005,United States,2005,0.47904,39.6,54.4
United States_2006,United States,2006,0.48812,39.8,55.4
United States_2007,United States,2007,0.51962,38,55.9
Venezuela_1990,Venezuela,1990,0.47128,6.12,15.4
Venezuela_1991,Venezuela,1991,0.43322,7.8,16.6
Venezuela_1992,Venezuela,1992,0.36679,10,17.3
Venezuela_1993,Venezuela,1993,0.40195,8.92,17.1
Venezuela_1994,Venezuela,1994,0.4126,7.99,16.4
