dmu,country,year,efficiencies,foreign_investment,mean_years_in_school
Kyrgyzstan_2011,Kyrgyzstan,2011,0.01437,69.6,10.6
Kyrgyzstan_2012,Kyrgyzstan,2012,0.01601,62.45,10.7
Kyrgyzstan_2013,Kyrgyzstan,2013,0.01496,66.84,10.7
Kyrgyzstan_2014,Kyrgyzstan,2014,0.01585,63.09,10.8
Kyrgyzstan_2015,Kyrgyzstan,2015,0.01323,75.6,10.8
Latvia_2004,Latvia,2004,0.01597,62.6,11.7
Latvia_2005,Latvia,2005,0.1722,63.26,12.1
Latvia_2006,Latvia,2006,0.20127,66.41,12.2
Latvia_2007,Latvia,2007,0.23557,67.24,12.3
Latvia_2008,Latvia,2008,0.21387,62.5,12.2
Latvia_2009,Latvia,2009,0.27342,57.932,12.3
Latvia_2010,Latvia,2010,0.34369,60.48,12.5
Latvia_2011,Latvia,2011,0.36327,64.03,12.6
Latvia_2012,Latvia,2012,0.37312,62.34,12.6
Latvia_2013,Latvia,2013,0.41653,61.78,12.7
Latvia_2014,Latvia,2014,0.4962,61.83,12.9
Latvia_2015,Latvia,2015,0.45879,61.48,12.8
Lithuania_2004,Lithuania,2004,0.01603,62.39,11.5
Lithuania_2005,Lithuania,2005,0.05474,63.45,11.8
Lithuania_2006,Lithuania,2006,0.1276,65.99,12
Lithuania_2007,Lithuania,2007,0.16746,65.05,12.1
Lithuania_2008,Lithuania,2008,0.21521,62.11,12.2
Lithuania_2009,Lithuania,2009,0.01738,57.537,11.5
Lithuania_2010,Lithuania,2010,0.01627,61.47,11.6
Lithuania_2011,Lithuania,2011,0.05529,62.82,11.8
Lithuania_2012,Lithuania,2012,0.01664,60.08,11.7
Lithuania_2013,Lithuania,2013,0.09886,60.15,11.9
Lithuania_2014,Lithuania,2014,0.55968,59.236,13
Lithuania_2015,Lithuania,2015,0.5435,61,13
Lithuania_2016,Lithuania,2016,0.54137,61.24,13
Luxembourg_2002,Luxembourg,2002,0.01309,76.4,10.7
Luxembourg_2003,Luxembourg,2003,0.0137,73,10.9
Luxembourg_2004,Luxembourg,2004,0.01364,73.3,11.1
Luxembourg_2005,Luxembourg,2005,0.01412,70.8,11.3
Luxembourg_2006,Luxembourg,2006,0.00749,133.6,11.5
Luxembourg_2007,Luxembourg,2007,1,1,11.7
Luxembourg_2008,Luxembourg,2008,0.01416,70.6,11.7
Luxembourg_2009,Luxembourg,2009,0.03201,108.5,11.8
Luxembourg_2010,Luxembourg,2010,0.02711,128.1,11.8
Luxembourg_2011,Luxembourg,2011,0.04771,72.8,11.8
Luxembourg_2012,Luxembourg,2012,0.03432,101.2,11.8
Luxembourg_2013,Luxembourg,2013,0.0418,83.1,11.8
Luxembourg_2014,Luxembourg,2014,0.09791,86,12
Luxembourg_2015,Luxembourg,2015,0.10618,79.3,12
Malaysia_2007,Malaysia,2007,0.01583,63.19,8.8
Malaysia_2008,Malaysia,2008,0.01619,61.78,9.4
Malaysia_2009,Malaysia,2009,0.01708,58.5567,9.6
Malaysia_2010,Malaysia,2010,0.01593,62.77,9.8
Malaysia_2011,Malaysia,2011,0.01573,63.57,10.1
Malaysia_2012,Malaysia,2012,0.01631,61.33,10.1
Malaysia_2013,Malaysia,2013,0.01613,61.99,10.1
Malaysia_2014,Malaysia,2014,0.01622,61.64,10.1
Malta_2006,Malta,2006,0.00234,427.5,9.8
Malta_2007,Malta,2007,0.00197,507.5,9.9
Malta_2008,Malta,2008,0.00451,221.5,10
Malta_2009,Malta,2009,0.01332,75.1,10.2
Malta_2010,Malta,2010,0.00623,160.5,10.3
Malta_2011,Malta,2011,0.00717,139.5,10.5
Malta_2012,Malta,2012,0.01068,93.6,10.8
Malta_2013,Malta,2013,0.01579,63.33,11
Malta_2014,Malta,2014,0.01671,59.84,11.1
Malta_2015,Malta,2015,0.01095,91.3,11.2
Mexico_1990,Mexico,1990,0.0168,59.51,5.56
Mexico_1991,Mexico,1991,0.01666,60.02,5.7
Mexico_1992,Mexico,1992,0.01675,59.71,5.9
Mexico_1993,Mexico,1993,0.01684,59.377,6.1
Mexico_1994,Mexico,1994,0.01651,60.58,6.2
Mexico_1995,Mexico,1995,0.01635,61.15,6.4
Moldova_1997,Moldova,1997,0.01598,62.58,8.8
Moldova_1998,Moldova,1998,0.01589,62.95,8.8
Moldova_1999,Moldova,1999,0.0162,61.73,8.9
Moldova_2000,Moldova,2000,0.01462,68.4,9
Moldova_2001,Moldova,2001,0.01527,65.49,9.3
Moldova_2002,Moldova,2002,0.01573,63.56,9.6
Moldova_2003,Moldova,2003,0.01607,62.22,9.8
Moldova_2004,Moldova,2004,0.01555,64.31,10.1
Moldova_2005,Moldova,2005,0.01541,64.88,10.4
Moldova_2006,Moldova,2006,0.01513,66.09,10.6
Moldova_2007,Moldova,2007,0.01414,70.7,10.9
Moldova_2008,Moldova,2008,0.01418,70.5,10.9
Moldova_2009,Moldova,2009,0.01579,63.35,11
Moldova_2010,Moldova,2010,0.01593,62.76,11.1
Moldova_2011,Moldova,2011,0.01589,62.93,11.1
Moldova_2012,Moldova,2012,0.01629,61.38,11.4
Moldova_2013,Moldova,2013,0.01638,61.05,11.6
Moldova_2014,Moldova,2014,0.01609,62.14,11.6
Moldova_2015,Moldova,2015,0.01628,61.42,11.6
Moldova_2016,Moldova,2016,0.01678,59.58,11.6
Mongolia_2016,Mongolia,2016,0.04695,21.299999999999997,10.1
North Macedonia_2009,North Macedonia,2009,0.01632,61.26,8.9
North Macedonia_2010,North Macedonia,2010,0.01621,61.7,9.1
North Macedonia_2011,North Macedonia,2011,0.01579,63.34,9.3
North Macedonia_2012,North Macedonia,2012,0.01614,61.97,9.3
North Macedonia_2013,North Macedonia,2013,0.01607,62.22,9.4
Norway_1990,Norway,1990,0.01685,59.336,10.47
Norway_1991,Norway,1991,0.01718,58.21,11.6
Norway_1992,Norway,1992,0.01724,57.989,11.6
Norway_1993,Norway,1993,0.01686,59.322,11.7
Norway_1994,Norway,1994,0.01649,60.65,11.7
Norway_1995,Norway,1995,0.05782,60.07,11.8
Norway_1996,Norway,1996,0.05709,60.84,11.8
Norway_1997,Norway,1997,0.09701,61.3,11.9
Norway_1998,Norway,1998,0.09567,62.16,11.9
Norway_1999,Norway,1999,0.13561,62.09,12
Norway_2000,Norway,2000,0.13287,63.37,12
Norway_2001,Norway,2001,0.18056,60.33,12.1
Norway_2002,Norway,2002,0.18143,60.04,12.1
Norway_2003,Norway,2003,0.22156,60.33,12.2
Norway_2004,Norway,2004,0.42633,60.36,12.7
Norway_2005,Norway,2005,0.29652,61.76,12.4
Norway_2006,Norway,2006,0.33559,61.94,12.5
Norway_2007,Norway,2007,0.35956,64.69,12.6
Norway_2008,Norway,2008,0.40879,62.95,12.7
Norway_2009,Norway,2009,0.42366,60.74,12.7
Norway_2010,Norway,2010,0.40493,63.55,12.7
Norway_2011,Norway,2011,0.46569,60.57,12.8
Norway_2012,Norway,2012,0.36355,63.98,12.6
Norway_2013,Norway,2013,0.44186,58.238,12.7
Norway_2014,Norway,2014,0.35142,59.151,12.5
Norway_2015,Norway,2015,0.34421,60.39,12.5
Poland_2004,Poland,2004,0.01564,63.94,11.6
Poland_2005,Poland,2005,0.0161,62.11,11.6
Poland_2006,Poland,2006,0.01545,64.73,11.7
Poland_2007,Poland,2007,0.05399,64.33,11.8
Poland_2008,Poland,2008,0.09712,61.23,11.9
Poland_2009,Poland,2009,0.17658,61.69,12.1
Poland_2010,Poland,2010,0.21445,62.33,12.2
Poland_2011,Poland,2011,0.25544,62.01,12.3
Poland_2012,Poland,2012,0.01667,59.98,11.7
Poland_2013,Poland,2013,0.18573,58.653,12.1
Poland_2014,Poland,2014,0.01609,62.15,11.3
Poland_2015,Poland,2015,0.1767,61.65,12.1
Portugal_2003,Portugal,2003,0.01544,64.77,7.2
Portugal_2004,Portugal,2004,0.01672,59.81,7.4
Portugal_2005,Portugal,2005,0.01661,60.21,7.5
Portugal_2006,Portugal,2006,0.0154,64.92,7.6
Portugal_2007,Portugal,2007,0.01639,61,7.7
Portugal_2008,Portugal,2008,0.01627,61.47,7.8
Portugal_2009,Portugal,2009,0.01645,60.78,7.9
Portugal_2010,Portugal,2010,0.01606,62.27,8.1
Portugal_2011,Portugal,2011,0.016,62.51,8.3
Portugal_2012,Portugal,2012,0.01462,68.4,8.5
Portugal_2013,Portugal,2013,0.01528,65.45,8.6
Portugal_2014,Portugal,2014,0.01569,63.74,8.9
Romania_2006,Romania,2006,0.01481,67.52,10.3
Romania_2007,Romania,2007,0.01555,64.28999999999999,10.5
Romania_2008,Romania,2008,0.01541,64.88,10.6
Romania_2009,Romania,2009,0.01635,61.16,10.6
Romania_2010,Romania,2010,0.01655,60.43,10.7
Romania_2011,Romania,2011,0.01673,59.79,10.8
Romania_2012,Romania,2012,0.01659,60.29,10.9
Romania_2013,Romania,2013,0.01652,60.52,10.9
Romania_2014,Romania,2014,0.01655,60.43,10.9
Romania_2015,Romania,2015,0.01641,60.93,10.9
Romania_2016,Romania,2016,0.01618,61.82,11
Russia_1997,Russia,1997,0.01675,59.7,10.6
Russia_1998,Russia,1998,0.0168,59.52,10.8
Serbia_2012,Serbia,2012,0.01628,61.44,10.5
Serbia_2013,Serbia,2013,0.01593,62.76,10.4
Serbia_2014,Serbia,2014,0.01594,62.75,10.7
Serbia_2015,Serbia,2015,0.01553,64.41,11
Slovakia_2006,Slovakia,2006,0.01502,66.56,10.9
Slovakia_2007,Slovakia,2007,0.01554,64.34,11.1
Slovakia_2008,Slovakia,2008,0.01585,63.1,11.2
Slovakia_2009,Slovakia,2009,0.01661,60.2,11.4
Slovakia_2010,Slovakia,2010,0.01644,60.83,11.6
Slovakia_2011,Slovakia,2011,0.17031,63.96,12.1
Slovakia_2012,Slovakia,2012,0.26234,60.38,12.3
Slovakia_2013,Slovakia,2013,0.22457,59.52,12.2
Slovakia_2014,Slovakia,2014,0.27244,58.141,12.3
Slovenia_2004,Slovenia,2004,0.13867,60.72,12
Slovenia_2005,Slovenia,2005,0.01635,61.18,11.7
Slovenia_2006,Slovenia,2006,0.05765,60.25,11.8
Slovenia_2007,Slovenia,2007,0.05564,62.42,11.8
Slovenia_2008,Slovenia,2008,0.09839,60.44,11.9
Slovenia_2009,Slovenia,2009,0.18842,57.814,12.1
Slovenia_2010,Slovenia,2010,0.18413,59.162,12.1
Slovenia_2011,Slovenia,2011,0.22204,60.2,12.2
Slovenia_2012,Slovenia,2012,0.01707,58.572,11.7
Slovenia_2013,Slovenia,2013,0.01703,58.715,11.7
Slovenia_2014,Slovenia,2014,0.09823,60.54,11.9
Slovenia_2015,Slovenia,2015,0.1347,62.51,12
South Africa_2008,South Africa,2008,0.01623,61.63,9.7
South Korea_2006,South Korea,2006,0.01684,59.37,11.4
South Korea_2007,South Korea,2007,0.01688,59.253,11.5
South Korea_2008,South Korea,2008,0.01679,59.57,11.6
South Korea_2009,South Korea,2009,0.01682,59.456,11
South Korea_2010,South Korea,2010,0.05854,59.33,11.8
South Korea_2011,South Korea,2011,0.05859,59.28,11.8
South Korea_2012,South Korea,2012,0.10038,59.243,11.9
South Korea_2013,South Korea,2013,0.14168,59.431,12
South Korea_2014,South Korea,2014,0.18424,59.125,12.1
South Korea_2015,South Korea,2015,0.18532,58.78,12.1
Spain_1990,Spain,1990,0.01636,61.11,6.52
Spain_1991,Spain,1991,0.01649,60.66,6.4
Spain_1992,Spain,1992,0.0165,60.6,6.7
Spain_1993,Spain,1993,0.01651,60.56,7.1
Spain_1994,Spain,1994,0.01663,60.15,7.4
Spain_1995,Spain,1995,0.01671,59.85,7.7
Spain_1996,Spain,1996,0.01666,60.03,7.9
Spain_1997,Spain,1997,0.01664,60.1,8
Spain_1998,Spain,1998,0.01638,61.04,8.1
Spain_1999,Spain,1999,0.01624,61.59,8.2
Spain_2000,Spain,2000,0.01532,65.27,8.4
Spain_2001,Spain,2001,0.01585,63.1,8.5
Spain_2002,Spain,2002,0.01561,64.05,8.5
Spain_2003,Spain,2003,0.01616,61.89,8.6
Spain_2004,Spain,2004,0.01643,60.86,8.6
Spain_2005,Spain,2005,0.01644,60.84,8.9
Spain_2006,Spain,2006,0.01636,61.11,9
Spain_2007,Spain,2007,0.01584,63.13,9.1
Spain_2008,Spain,2008,0.01586,63.04,9.2
Spain_2009,Spain,2009,0.01691,59.14,9.3
Spain_2010,Spain,2010,0.01637,61.07,9.4
Spain_2011,Spain,2011,0.01658,60.31,9.5
Spain_2012,Spain,2012,0.01665,60.07,9.5
Spain_2013,Spain,2013,0.01613,62,9.5
Spain_2014,Spain,2014,0.01642,60.9,9.7
Spain_2015,Spain,2015,0.01655,60.43,9.7
Sweden_1990,Sweden,1990,0.01688,59.257,10.54
Sweden_1991,Sweden,1991,0.01644,60.82,10.6
Sweden_1992,Sweden,1992,0.01709,58.49809,10.7
Sweden_1993,Sweden,1993,0.0166,60.24,10.8
Sweden_1994,Sweden,1994,0.01633,61.24,10.9
Sweden_1995,Sweden,1995,0.0156,64.09,10.9
Sweden_1996,Sweden,1996,0.01656,60.38,11
Sweden_1997,Sweden,1997,0.01604,62.33,11.1
Sweden_1998,Sweden,1998,0.0149,67.12,11.2
Sweden_1999,Sweden,1999,0.01227,81.5,11.3
Sweden_2000,Sweden,2000,0.01489,67.18,11.4
Sweden_2001,Sweden,2001,0.01515,66.02,11.5
Sweden_2002,Sweden,2002,0.01529,65.39,11.6
Sweden_2003,Sweden,2003,0.0576,60.3,11.8
Sweden_2004,Sweden,2004,0.25191,62.88,12.3
Sweden_2005,Sweden,2005,0.28704,63.8,12.4
Sweden_2006,Sweden,2006,0.28745,63.71,12.4
Sweden_2007,Sweden,2007,0.30618,67.89,12.5
Sweden_2008,Sweden,2008,0.201,66.5,12.2
Sweden_2009,Sweden,2009,0.22075,60.55,12.2
Sweden_2010,Sweden,2010,0.27019,58.626,12.3
Sweden_2011,Sweden,2011,0.30665,59.72,12.4
Sweden_2012,Sweden,2012,0.30896,59.274,12.4
Sweden_2013,Sweden,2013,0.22762,58.724,12.2
Sweden_2014,Sweden,2014,0.2778,57.02,12.3
Sweden_2015,Sweden,2015,0.30255,60.53,12.4
Switzerland_1990,Switzerland,1990,0.01651,60.58,10.19
Switzerland_1991,Switzerland,1991,0.01679,59.55,9.7
Switzerland_1992,Switzerland,1992,0.01698,58.903,9.7
Switzerland_1993,Switzerland,1993,0.01691,59.126,9.7
Switzerland_1994,Switzerland,1994,0.01674,59.72,9.8
Switzerland_1995,Switzerland,1995,0.01676,59.68,9.8
Switzerland_1996,Switzerland,1996,0.01669,59.93,10.1
Switzerland_1997,Switzerland,1997,0.0163,61.34,10.4
Switzerland_1998,Switzerland,1998,0.01607,62.23,10.8
Switzerland_1999,Switzerland,1999,0.01578,63.37,11.1
Switzerland_2000,Switzerland,2000,0.01498,66.75,11.4
Switzerland_2001,Switzerland,2001,0.01616,61.9,11.6
Switzerland_2002,Switzerland,2002,0.01635,61.16,11.7
Switzerland_2003,Switzerland,2003,0.05433,63.93,11.8
Switzerland_2004,Switzerland,2004,0.0987,60.25,11.9
Switzerland_2005,Switzerland,2005,0.14239,59.134,12
Switzerland_2006,Switzerland,2006,0.22436,70.6,12.3
Switzerland_2007,Switzerland,2007,0.34021,68.37,12.6
Switzerland_2008,Switzerland,2008,0.51979,59.024,12.9
Switzerland_2009,Switzerland,2009,0.60521,67.03999999999999,13.3
Switzerland_2010,Switzerland,2010,0.66048,61.43,13.3
Switzerland_2011,Switzerland,2011,0.66102,61.38,13.3
Switzerland_2012,Switzerland,2012,0.66978,64.27,13.4
Switzerland_2013,Switzerland,2013,0.78267,55,13.4
Thailand_1994,Thailand,1994,0.01683,59.432,4.9
Thailand_1995,Thailand,1995,0.01674,59.72,5
Thailand_1996,Thailand,1996,0.01673,59.78,5.2
Thailand_1997,Thailand,1997,0.01637,61.09,5.5
Thailand_1998,Thailand,1998,0.0154,64.93,5.7
Thailand_1999,Thailand,1999,0.01579,63.32,5.9
Thailand_2000,Thailand,2000,0.01635,61.16,6.1
Thailand_2001,Thailand,2001,0.01595,62.71,6.3
Thailand_2002,Thailand,2002,0.0164,60.99,6.5
Thailand_2003,Thailand,2003,0.01614,61.94,6.7
Thailand_2004,Thailand,2004,0.01616,61.89,6.8
Thailand_2005,Thailand,2005,0.01591,62.84,7
Thailand_2006,Thailand,2006,0.01599,62.52,7
Thailand_2007,Thailand,2007,0.01619,61.78,7.1
Thailand_2008,Thailand,2008,0.01628,61.44,7.3
Thailand_2009,Thailand,2009,0.01645,60.78,7.5
Thailand_2010,Thailand,2010,0.01592,62.82,7.7
Thailand_2011,Thailand,2011,0.0169,59.167,7.5
Thailand_2012,Thailand,2012,0.0162,61.74,7.7
Thailand_2013,Thailand,2013,0.01605,62.29,7.5
Thailand_2014,Thailand,2014,0.01674,59.72,7.6
Thailand_2015,Thailand,2015,0.01647,60.72,7.6
Thailand_2016,Thailand,2016,0.01685,59.343,7.6
Trinidad and Tobago_1990,Trinidad and Tobago,1990,0.01649,60.66,7.94
Trinidad and Tobago_1991,Trinidad and Tobago,1991,0.01621,61.69,8.1
Trinidad and Tobago_1992,Trinidad and Tobago,1992,0.01619,61.77,8.2
Tunisia_2009,Tunisia,2009,0.01613,62.01,6.4
Turkey_2009,Turkey,2009,0.01672,59.82,6.5
Turkey_2010,Turkey,2010,0.01676,59.67,6.7
Turkey_2011,Turkey,2011,0.01655,60.43,7.2
Turkey_2012,Turkey,2012,0.01665,60.06,7.5
Turkey_2013,Turkey,2013,0.01669,59.92,7.7
Turkey_2014,Turkey,2014,0.01669,59.92,7.6
Turkey_2015,Turkey,2015,0.01647,60.73,7.8
Ukraine_1995,Ukraine,1995,0.01693,59.054,10
Ukraine_1996,Ukraine,1996,0.01676,59.67,10.2
Ukraine_1997,Ukraine,1997,0.01674,59.74,10.3
Ukraine_1998,Ukraine,1998,0.01659,60.27,10.4
Ukraine_1999,Ukraine,1999,0.01665,60.07,10.6
Ukraine_2000,Ukraine,2000,0.01657,60.34,10.7
Ukraine_2001,Ukraine,2001,0.01653,60.51,10.4
Ukraine_2002,Ukraine,2002,0.01664,60.08,10.5
Ukraine_2003,Ukraine,2003,0.01633,61.24,10.6
Ukraine_2004,Ukraine,2004,0.01638,61.05,10.7
United Kingdom_1990,United Kingdom,1990,0.01606,62.28,8.88
United Kingdom_1991,United Kingdom,1991,0.01652,60.53,8.6
United Kingdom_1992,United Kingdom,1992,0.01654,60.45,9.3
United Kingdom_1993,United Kingdom,1993,0.01657,60.35,10
United Kingdom_1994,United Kingdom,1994,0.01661,60.22,10.7
United Kingdom_1995,United Kingdom,1995,0.01649,60.66,11.4
United Kingdom_1996,United Kingdom,1996,0.01645,60.78,11.4
United Kingdom_1997,United Kingdom,1997,0.01618,61.79,11.5
United Kingdom_1998,United Kingdom,1998,0.01535,65.14,11.5
United Kingdom_1999,United Kingdom,1999,0.0151,66.21,11.6
United Kingdom_2000,United Kingdom,2000,0.01463,68.37,11.7
United Kingdom_2001,United Kingdom,2001,0.0561,61.91,11.8
United Kingdom_2002,United Kingdom,2002,0.0936,63.53,11.9
United Kingdom_2003,United Kingdom,2003,0.13975,60.25,12
United Kingdom_2004,United Kingdom,2004,0.17544,62.09,12.1
United Kingdom_2005,United Kingdom,2005,0.19533,68.43,12.2
United Kingdom_2006,United Kingdom,2006,0.27752,65.99,12.4
United Kingdom_2007,United Kingdom,2007,0.35648,65.25,12.6
United Kingdom_2008,United Kingdom,2008,0.42024,67.12,12.8
United Kingdom_2009,United Kingdom,2009,0.60282,59.1,13.1
United Kingdom_2010,United Kingdom,2010,0.62275,61.18,13.2
United Kingdom_2011,United Kingdom,2011,0.55711,59.51,13
United Kingdom_2012,United Kingdom,2012,0.50947,60.22,12.9
United Kingdom_2013,United Kingdom,2013,0.38484,60.44,12.6
United Kingdom_2014,United Kingdom,2014,0.42598,60.41,12.7
United Kingdom_2015,United Kingdom,2015,0.46988,60.03,12.8
United States_1990,United States,1990,0.27366,59.69,12.32
United States_1991,United States,1991,0.31007,59.061,12.4
United States_1992,United States,1992,0.35253,58.965,12.5
United States_1993,United States,1993,0.39269,59.232,12.6
United States_1994,United States,1994,0.43419,59.268,12.7
United States_1995,United States,1995,0.43319,59.404,12.7
United States_1996,United States,1996,0.43097,59.71,12.7
United States_1997,United States,1997,0.42946,59.92,12.7
United States_1998,United States,1998,0.42304,60.83,12.7
United States_1999,United States,1999,0.4168,61.74,12.7
United States_2000,United States,2000,0.41566,61.91,12.7
United States_2001,United States,2001,0.42796,60.13,12.7
United States_2002,United States,2002,0.43235,59.52,12.7
United States_2003,United States,2003,0.4739,59.52,12.8
United States_2004,United States,2004,0.46816,60.25,12.8
United States_2005,United States,2005,0.47335,59.59,12.8
United States_2006,United States,2006,0.465,60.66,12.8
United States_2007,United States,2007,0.50378,60.9,12.9
Venezuela_1990,Venezuela,1990,0.01683,59.428,4.59
Venezuela_1991,Venezuela,1991,0.01611,62.08,4.8
Venezuela_1992,Venezuela,1992,0.0168,59.54,5
Venezuela_1993,Venezuela,1993,0.01692,59.119,5.1
Venezuela_1994,Venezuela,1994,0.0167,59.87,5.3
