dmu,country,year,efficiencies,material_footprint,life_expectancy
Kyrgyzstan_2015,Kyrgyzstan,2015,0.06803,8.52,71.9
Latvia_2004,Latvia,2004,0.03811,12,71.3
Latvia_2005,Latvia,2005,0.02763,13.6,70.9
Latvia_2006,Latvia,2006,0.01839,16,70.5
Latvia_2007,Latvia,2007,0.01927,19.5,70.9
Latvia_2008,Latvia,2008,0.03721,18.7,72.1
Latvia_2009,Latvia,2009,0.09755,15,72.9
Latvia_2010,Latvia,2010,0.12151,15.2,73.3
Latvia_2011,Latvia,2011,0.14003,17.3,73.9
Latvia_2012,Latvia,2012,0.1465,18.5,74.2
Latvia_2013,Latvia,2013,0.14264,19,74.2
Latvia_2014,Latvia,2014,0.15262,20.9,74.7
Latvia_2015,Latvia,2015,0.16468,21.7,75.1
Lithuania_2004,Lithuania,2004,0.02791,21.5,72
Lithuania_2005,Lithuania,2005,0.01963,23.3,71.3
Lithuania_2006,Lithuania,2006,0.01479,25.4,70.9
Lithuania_2007,Lithuania,2007,0.01052,29.9,70.6
Lithuania_2008,Lithuania,2008,0.01531,31.2,71.4
Lithuania_2009,Lithuania,2009,0.06043,25.8,73
Lithuania_2010,Lithuania,2010,0.06683,26.2,73.2
Lithuania_2011,Lithuania,2011,0.07692,29,73.7
Lithuania_2012,Lithuania,2012,0.08284,30.4,74
Lithuania_2013,Lithuania,2013,0.07797,32.3,74
Lithuania_2014,Lithuania,2014,0.09181,33.7,74.6
Lithuania_2015,Lithuania,2015,0.0914,34.9,74.7
Lithuania_2016,Lithuania,2016,0.09526,35.5,74.9
Luxembourg_2002,Luxembourg,2002,0.11292,88,78.7
Luxembourg_2003,Luxembourg,2003,0.11874,90.2,79
Luxembourg_2004,Luxembourg,2004,0.11478,97.8,79.2
Luxembourg_2005,Luxembourg,2005,0.11763,102,79.5
Luxembourg_2006,Luxembourg,2006,0.12399,103,79.8
Luxembourg_2007,Luxembourg,2007,0.12899,107,80.2
Luxembourg_2008,Luxembourg,2008,0.14126,105,80.6
Luxembourg_2009,Luxembourg,2009,0.15838,96.9,80.8
Luxembourg_2010,Luxembourg,2010,0.15926,99.6,81
Luxembourg_2011,Luxembourg,2011,0.15262,109,81.3
Luxembourg_2012,Luxembourg,2012,0.16651,103,81.5
Luxembourg_2013,Luxembourg,2013,0.16666,106,81.7
Luxembourg_2014,Luxembourg,2014,0.17561,105,82
Luxembourg_2015,Luxembourg,2015,0.18297,105,82.3
Malaysia_2007,Malaysia,2007,0.14696,20.4,74.5
Malaysia_2008,Malaysia,2008,0.13622,20.6,74.3
Malaysia_2009,Malaysia,2009,0.13484,20.1,74.2
Malaysia_2010,Malaysia,2010,0.13754,21.1,74.4
Malaysia_2011,Malaysia,2011,0.14192,21.8,74.6
Malaysia_2012,Malaysia,2012,0.14475,22.7,74.8
Malaysia_2013,Malaysia,2013,0.15754,23.9,75.3
Malaysia_2014,Malaysia,2014,0.15206,23.5,75.1
Malta_2006,Malta,2006,0.45945,30.6,80.3
Malta_2007,Malta,2007,0.46333,30.9,80.4
Malta_2008,Malta,2008,0.47846,31,80.6
Malta_2009,Malta,2009,0.59486000000000006,25.8,80.8
Malta_2010,Malta,2010,0.62241,25.9,81.1
Malta_2011,Malta,2011,0.6348,25.8,81.2
Malta_2012,Malta,2012,0.66509,25.4,81.4
Malta_2013,Malta,2013,0.65445,26.6,81.6
Malta_2014,Malta,2014,0.67637,26.5,81.8
Malta_2015,Malta,2015,0.7099,26.7,82.2
Mexico_1990,Mexico,1990,0.04339,8.19,70.8
Mexico_1991,Mexico,1991,0.0533,8.58,71.3
Mexico_1992,Mexico,1992,0.05528,9.01,71.5
Mexico_1993,Mexico,1993,0.06186,9.04,71.8
Mexico_1994,Mexico,1994,0.08379,9.45,72.2
Mexico_1995,Mexico,1995,0.11681,7.6,72.3
Moldova_1997,Moldova,1997,0.375,0.08,68.1
Moldova_1998,Moldova,1998,0.66667,0.05,68.8
Moldova_1999,Moldova,1999,0.83333,0.04,68.8
Moldova_2000,Moldova,2000,0.7,0.05,68.9
Moldova_2001,Moldova,2001,1,0.04,69.2
Moldova_2002,Moldova,2002,0.11275,0.34,69.1
Moldova_2003,Moldova,2003,0.76667,0.05,69.1
Moldova_2004,Moldova,2004,1,0.07,69.4
Moldova_2005,Moldova,2005,0.07292,0.48,68.9
Moldova_2006,Moldova,2006,0.29167,0.24,69.4
Moldova_2007,Moldova,2007,0.55385,0.2,69.6
Moldova_2008,Moldova,2008,0.37375,0.46,69.9
Moldova_2009,Moldova,2009,0.41704,0.51,70.1
Moldova_2010,Moldova,2010,0.27871,0.69,70
Moldova_2011,Moldova,2011,0.5857,0.92,71.7
Moldova_2012,Moldova,2012,1,0.6,72
Moldova_2013,Moldova,2013,0.40108,3.17,72.7
Moldova_2014,Moldova,2014,0.25882,3.43,72.3
Moldova_2015,Moldova,2015,0.19659,3.54,72.1
Moldova_2016,Moldova,2016,0.32118,3.66,72.6
Mongolia_2016,Mongolia,2016,0.00224,13.4,67.8
North Macedonia_2009,North Macedonia,2009,0.12993,12,73
North Macedonia_2010,North Macedonia,2010,0.16749,11.6,73.4
North Macedonia_2011,North Macedonia,2011,0.16772,13.3,73.7
North Macedonia_2012,North Macedonia,2012,0.17292,12.9,73.7
North Macedonia_2013,North Macedonia,2013,0.19224,13.1,74
Norway_1990,Norway,1990,0.24883,21.3,76.9
Norway_1991,Norway,1991,0.2541,23.9,77.2
Norway_1992,Norway,1992,0.24923,25.4,77.3
Norway_1993,Norway,1993,0.26952,25.4,77.5
Norway_1994,Norway,1994,0.28968,26.3,77.8
Norway_1995,Norway,1995,0.29686,27.4,78
Norway_1996,Norway,1996,0.30607,29.1,78.3
Norway_1997,Norway,1997,0.31512,29.9,78.5
Norway_1998,Norway,1998,0.28294,33.3,78.5
Norway_1999,Norway,1999,0.31348,31.7,78.7
Norway_2000,Norway,2000,0.33718,31,78.9
Norway_2001,Norway,2001,0.36197,30.3,79.1
Norway_2002,Norway,2002,0.36923,31.1,79.3
Norway_2003,Norway,2003,0.40237,31.1,79.7
Norway_2004,Norway,2004,0.41932,32.3,80.1
Norway_2005,Norway,2005,0.42865,33.4,80.4
Norway_2006,Norway,2006,0.43248,33.7,80.5
Norway_2007,Norway,2007,0.40783,37,80.7
Norway_2008,Norway,2008,0.42521,36.7,80.9
Norway_2009,Norway,2009,0.48702,33.1,81.1
Norway_2010,Norway,2010,0.485,34.3,81.3
Norway_2011,Norway,2011,0.47395,35.1,81.3
Norway_2012,Norway,2012,0.47957,36.3,81.6
Norway_2013,Norway,2013,0.48312,37.1,81.8
Norway_2014,Norway,2014,0.50952,37.2,82.2
Norway_2015,Norway,2015,0.51781,37.6,82.4
Poland_2004,Poland,2004,0.19428,17.9,75
Poland_2005,Poland,2005,0.19728,18.6,75.2
Poland_2006,Poland,2006,0.20135,18.7,75.3
Poland_2007,Poland,2007,0.18043,21.4,75.4
Poland_2008,Poland,2008,0.18592,21.8,75.6
Poland_2009,Poland,2009,0.21489,20.2,75.9
Poland_2010,Poland,2010,0.22761,21.6,76.5
Poland_2011,Poland,2011,0.22051,23.6,76.8
Poland_2012,Poland,2012,0.23556,22.5,76.9
Poland_2013,Poland,2013,0.27233,22.3,77.2
Poland_2014,Poland,2014,0.31292,22.7,77.6
Poland_2015,Poland,2015,0.30618,23.2,77.6
Portugal_2003,Portugal,2003,0.34788,21.9,77.8
Portugal_2004,Portugal,2004,0.39502,23.2,78.4
Portugal_2005,Portugal,2005,0.44912,22.7,78.8
Portugal_2006,Portugal,2006,0.50338,22.3,79.2
Portugal_2007,Portugal,2007,0.54863,21.4,79.4
Portugal_2008,Portugal,2008,0.59306,21.1,79.7
Portugal_2009,Portugal,2009,0.69302,18.8,79.9
Portugal_2010,Portugal,2010,0.70417,19.6,80.2
Portugal_2011,Portugal,2011,0.8008,18.2,80.5
Portugal_2012,Portugal,2012,0.8574,17.9,80.8
Portugal_2013,Portugal,2013,0.88089,18.3,81.1
Portugal_2014,Portugal,2014,0.90905,18.3,81.3
Romania_2006,Romania,2006,0.10518,13,72.8
Romania_2007,Romania,2007,0.13878,14,73.4
Romania_2008,Romania,2008,0.12143,16,73.4
Romania_2009,Romania,2009,0.15215,13.4,73.5
Romania_2010,Romania,2010,0.165,14.1,73.8
Romania_2011,Romania,2011,0.20221,15.3,74.6
Romania_2012,Romania,2012,0.22623,14.1,74.7
Romania_2013,Romania,2013,0.2445,15.4,75.3
Romania_2014,Romania,2014,0.21871,15.9,75
Romania_2015,Romania,2015,0.22959,16.4,75.3
Romania_2016,Romania,2016,0.2282,16.5,75.3
Russia_1997,Russia,1997,0.00446,6.72,67.2
Russia_1998,Russia,1998,0.00516,5.81,67.5
Serbia_2012,Serbia,2012,0.19913,16.5,74.8
Serbia_2013,Serbia,2013,0.18084,18.7,74.9
Serbia_2014,Serbia,2014,0.19003,18.3,75
Serbia_2015,Serbia,2015,0.18139,19.7,75.1
Slovakia_2006,Slovakia,2006,0.10961,29.1,74.7
Slovakia_2007,Slovakia,2007,0.10126,31.5,74.7
Slovakia_2008,Slovakia,2008,0.10733,32.4,75
Slovakia_2009,Slovakia,2009,0.13029,28.9,75.3
Slovakia_2010,Slovakia,2010,0.13605,31.2,75.8
Slovakia_2011,Slovakia,2011,0.13527,32.8,76
Slovakia_2012,Slovakia,2012,0.14103,33.5,76.3
Slovakia_2013,Slovakia,2013,0.15294,33.4,76.7
Slovakia_2014,Slovakia,2014,0.15634,33.9,76.9
Slovenia_2004,Slovenia,2004,0.29946,22,77.4
Slovenia_2005,Slovenia,2005,0.37462,22.4,78.1
Slovenia_2006,Slovenia,2006,0.36503,24.4,78.3
Slovenia_2007,Slovenia,2007,0.35851,27,78.6
Slovenia_2008,Slovenia,2008,0.39311,27.9,79.1
Slovenia_2009,Slovenia,2009,0.49539,23.7,79.4
Slovenia_2010,Slovenia,2010,0.52578,23.8,79.7
Slovenia_2011,Slovenia,2011,0.56061,23.7,80
Slovenia_2012,Slovenia,2012,0.61069,22.6,80.2
Slovenia_2013,Slovenia,2013,0.65357,22.3,80.5
Slovenia_2014,Slovenia,2014,0.72645,22.9,81.3
Slovenia_2015,Slovenia,2015,0.68374,23.2,81
South Africa_2008,South Africa,2008,0.00327,9.18,54.3
South Korea_2006,South Korea,2006,0.49283,23.3,79.3
South Korea_2007,South Korea,2007,0.5028,25.4,79.8
South Korea_2008,South Korea,2008,0.54337,25.4,80.2
South Korea_2009,South Korea,2009,0.62285,23.4,80.5
South Korea_2010,South Korea,2010,0.61636,24.9,80.8
South Korea_2011,South Korea,2011,0.64227,25.5,81.2
South Korea_2012,South Korea,2012,0.64477,26.6,81.5
South Korea_2013,South Korea,2013,0.6709,27.1,81.9
South Korea_2014,South Korea,2014,0.71155,27,82.3
South Korea_2015,South Korea,2015,0.72672,27.5,82.6
Spain_1990,Spain,1990,0.36088,15.4,77
Spain_1991,Spain,1991,0.35676,16.3,77.1
Spain_1992,Spain,1992,0.38032,18,77.5
Spain_1993,Spain,1993,0.46885,15.7,77.7
Spain_1994,Spain,1994,0.50837,16,78
Spain_1995,Spain,1995,0.47143,17.8,78.1
Spain_1996,Spain,1996,0.50896,17.5,78.3
Spain_1997,Spain,1997,0.56325,18.1,78.8
Spain_1998,Spain,1998,0.51245,20.9,79
Spain_1999,Spain,1999,0.49854,22,79.1
Spain_2000,Spain,2000,0.51057,23.5,79.5
Spain_2001,Spain,2001,0.53213,24,79.8
Spain_2002,Spain,2002,0.52536,24.8,79.9
Spain_2003,Spain,2003,0.49392,26.9,80
Spain_2004,Spain,2004,0.4968,28.3,80.3
Spain_2005,Spain,2005,0.49276,30.1,80.6
Spain_2006,Spain,2006,0.50842,31.2,81
Spain_2007,Spain,2007,0.51503,31.8,81.2
Spain_2008,Spain,2008,0.57656,29.3,81.4
Spain_2009,Spain,2009,0.71695,25,81.8
Spain_2010,Spain,2010,0.7539,24.8,82.1
Spain_2011,Spain,2011,0.82454,23.3,82.3
Spain_2012,Spain,2012,0.85393,22.8,82.4
Spain_2013,Spain,2013,0.88782,22.8,82.7
Spain_2014,Spain,2014,0.89912,22.8,82.8
Spain_2015,Spain,2015,0.87983,23.3,82.8
Sweden_1990,Sweden,1990,0.40467,20.1,78
Sweden_1991,Sweden,1991,0.42168,19.9,78.1
Sweden_1992,Sweden,1992,0.45443,19.6,78.3
Sweden_1993,Sweden,1993,0.53534,17.6,78.5
Sweden_1994,Sweden,1994,0.64119,15.9,78.8
Sweden_1995,Sweden,1995,0.55115,19.9,79.1
Sweden_1996,Sweden,1996,0.56015,20.5,79.3
Sweden_1997,Sweden,1997,0.59693,20.1,79.5
Sweden_1998,Sweden,1998,0.55963,21.9,79.6
Sweden_1999,Sweden,1999,0.5727,22.3,79.8
Sweden_2000,Sweden,2000,0.61228,21.7,80
Sweden_2001,Sweden,2001,0.56104,24.6,80.2
Sweden_2002,Sweden,2002,0.54919,25.6,80.3
Sweden_2003,Sweden,2003,0.50782,28.7,80.5
Sweden_2004,Sweden,2004,0.49638,30.4,80.7
Sweden_2005,Sweden,2005,0.5706,27.8,81
Sweden_2006,Sweden,2006,0.49601,32.5,81.1
Sweden_2007,Sweden,2007,0.49658,33.5,81.3
Sweden_2008,Sweden,2008,0.55325,31,81.5
Sweden_2009,Sweden,2009,0.73917,23.9,81.7
Sweden_2010,Sweden,2010,0.60605,30,81.9
Sweden_2011,Sweden,2011,0.5891,31.3,82
Sweden_2012,Sweden,2012,0.59734,31.3,82.1
Sweden_2013,Sweden,2013,0.61184,31.4,82.3
Sweden_2014,Sweden,2014,0.62428,31.6,82.5
Sweden_2015,Sweden,2015,0.62035,31.8,82.5
Switzerland_1990,Switzerland,1990,0.39381,20,77.9
Switzerland_1991,Switzerland,1991,0.40736,20.6,78.1
Switzerland_1992,Switzerland,1992,0.45822,20,78.4
Switzerland_1993,Switzerland,1993,0.52858,18.8,78.7
Switzerland_1994,Switzerland,1994,0.53021,20.2,79
Switzerland_1995,Switzerland,1995,0.49774,21,78.9
Switzerland_1996,Switzerland,1996,0.57704,19.9,79.3
Switzerland_1997,Switzerland,1997,0.63502,19.3,79.6
Switzerland_1998,Switzerland,1998,0.64181,20.3,79.9
Switzerland_1999,Switzerland,1999,0.65116,20.8,80.1
Switzerland_2000,Switzerland,2000,0.59827,23.5,80.3
Switzerland_2001,Switzerland,2001,0.57267,25.9,80.6
Switzerland_2002,Switzerland,2002,0.58446,26.7,80.9
Switzerland_2003,Switzerland,2003,0.61528,26.2,81.1
Switzerland_2004,Switzerland,2004,0.60333,28,81.4
Switzerland_2005,Switzerland,2005,0.59282,29.8,81.7
Switzerland_2006,Switzerland,2006,0.58461,31.1,81.9
Switzerland_2007,Switzerland,2007,0.59047,32.1,82.2
Switzerland_2008,Switzerland,2008,0.62805,31,82.4
Switzerland_2009,Switzerland,2009,0.69954,28.2,82.5
Switzerland_2010,Switzerland,2010,0.7069,29,82.8
Switzerland_2011,Switzerland,2011,0.70831,30.2,83
Switzerland_2012,Switzerland,2012,0.71128,30.7,83.1
Switzerland_2013,Switzerland,2013,0.72844,31.2,83.3
Thailand_1994,Thailand,1994,0.04329,8.68,70.9
Thailand_1995,Thailand,1995,0.03432,9.76,70.7
Thailand_1996,Thailand,1996,0.03115,10.1,70.6
Thailand_1997,Thailand,1997,0.05763,9.35,71.7
Thailand_1998,Thailand,1998,0.08577,6.52,71.8
Thailand_1999,Thailand,1999,0.06844,6.98,71.4
Thailand_2000,Thailand,2000,0.07272,7.69,71.8
Thailand_2001,Thailand,2001,0.1785,7.66,72.8
Thailand_2002,Thailand,2002,0.20283,8.16,73.1
Thailand_2003,Thailand,2003,0.22904,9.32,73.6
Thailand_2004,Thailand,2004,0.21869,10.2,73.7
Thailand_2005,Thailand,2005,0.31293,10.5,74.8
Thailand_2006,Thailand,2006,0.33576,11.5,75.4
Thailand_2007,Thailand,2007,0.3858,11.5,76
Thailand_2008,Thailand,2008,0.41664,11.8,76.5
Thailand_2009,Thailand,2009,0.49074,10.8,76.9
Thailand_2010,Thailand,2010,0.45931,12.1,77
Thailand_2011,Thailand,2011,0.49535,13.3,77.4
Thailand_2012,Thailand,2012,0.53341,13.8,77.7
Thailand_2013,Thailand,2013,0.57687,14.1,78
Thailand_2014,Thailand,2014,0.59095,14.2,78.1
Thailand_2015,Thailand,2015,0.60064,14.4,78.2
Thailand_2016,Thailand,2016,0.55712,14.6,78
Trinidad and Tobago_1990,Trinidad and Tobago,1990,0.02769,4,69.6
Trinidad and Tobago_1991,Trinidad and Tobago,1991,0.02152,7.99,69.9
Trinidad and Tobago_1992,Trinidad and Tobago,1992,0.03329,3.94,69.7
Tunisia_2009,Tunisia,2009,0.77701,5.71,76
Turkey_2009,Turkey,2009,0.43009,12.1,76.8
Turkey_2010,Turkey,2010,0.36487000000000003,14,76.7
Turkey_2011,Turkey,2011,0.33575,15.5,76.8
Turkey_2012,Turkey,2012,0.35856,15.5,77
Turkey_2013,Turkey,2013,0.35399,15.7,77
Turkey_2014,Turkey,2014,0.37518,15.5,77.1
Turkey_2015,Turkey,2015,0.42232,15.6,77.4
Ukraine_1995,Ukraine,1995,0.00558,5.38,67
Ukraine_1996,Ukraine,1996,0.00664,4.52,67.3
Ukraine_1997,Ukraine,1997,0.00636,4.72,67.9
Ukraine_1998,Ukraine,1998,0.00829,3.82,68.7
Ukraine_1999,Ukraine,1999,0.00817,3.67,68.3
Ukraine_2000,Ukraine,2000,0.00735,4.08,68
Ukraine_2001,Ukraine,2001,0.0062,4.84,68.2
Ukraine_2002,Ukraine,2002,0.00626,4.79,68.1
Ukraine_2003,Ukraine,2003,0.00615,4.88,68.3
Ukraine_2004,Ukraine,2004,0.00478,6.28,68
United Kingdom_1990,United Kingdom,1990,0.24257,17.5,75.8
United Kingdom_1991,United Kingdom,1991,0.24634,18.4,76.1
United Kingdom_1992,United Kingdom,1992,0.26102,18.1,76.3
United Kingdom_1993,United Kingdom,1993,0.27703,17.4,76.4
United Kingdom_1994,United Kingdom,1994,0.26885,19,76.7
United Kingdom_1995,United Kingdom,1995,0.25891,20.1,76.8
United Kingdom_1996,United Kingdom,1996,0.28069,19.8,77
United Kingdom_1997,United Kingdom,1997,0.29039,21.8,77.3
United Kingdom_1998,United Kingdom,1998,0.29381,23.3,77.5
United Kingdom_1999,United Kingdom,1999,0.28993,24.5,77.6
United Kingdom_2000,United Kingdom,2000,0.31405,25.9,78
United Kingdom_2001,United Kingdom,2001,0.36653,24.3,78.3
United Kingdom_2002,United Kingdom,2002,0.38457,24.5,78.5
United Kingdom_2003,United Kingdom,2003,0.39671,24.4,78.6
United Kingdom_2004,United Kingdom,2004,0.41352,25.9,79
United Kingdom_2005,United Kingdom,2005,0.4253,27,79.3
United Kingdom_2006,United Kingdom,2006,0.43789,27.4,79.5
United Kingdom_2007,United Kingdom,2007,0.46781,27.3,79.8
United Kingdom_2008,United Kingdom,2008,0.52309,25.4,80
United Kingdom_2009,United Kingdom,2009,0.65392,21.5,80.3
United Kingdom_2010,United Kingdom,2010,0.66512,22.3,80.6
United Kingdom_2011,United Kingdom,2011,0.69446,22.1,80.8
United Kingdom_2012,United Kingdom,2012,0.69666,22.4,80.9
United Kingdom_2013,United Kingdom,2013,0.71133,22.3,81
United Kingdom_2014,United Kingdom,2014,0.71646,22.5,81.1
United Kingdom_2015,United Kingdom,2015,0.6988,22.7,81
United States_1990,United States,1990,0.14924,27.8,75.7
United States_1991,United States,1991,0.1638,26.5,75.9
United States_1992,United States,1992,0.15902,27.9,76
United States_1993,United States,1993,0.16197,26.8,75.9
United States_1994,United States,1994,0.15142,29.3,76
United States_1995,United States,1995,0.15261,29.7,76.1
United States_1996,United States,1996,0.1555,31,76.4
United States_1997,United States,1997,0.15675,33.2,76.8
United States_1998,United States,1998,0.14804,35.8,76.9
United States_1999,United States,1999,0.14722,36,76.9
United States_2000,United States,2000,0.15268,36.4,77
United States_2001,United States,2001,0.16153,36,77.1
United States_2002,United States,2002,0.17011,35.7,77.2
United States_2003,United States,2003,0.17832,35.5,77.3
United States_2004,United States,2004,0.19422,37.9,77.7
United States_2005,United States,2005,0.18588,39.6,77.7
United States_2006,United States,2006,0.20437,39.8,78
United States_2007,United States,2007,0.22761,38,78.2
Venezuela_1990,Venezuela,1990,0.16073,6.12,72.4
Venezuela_1991,Venezuela,1991,0.1876,7.8,72.9
Venezuela_1992,Venezuela,1992,0.14633,10,72.9
Venezuela_1993,Venezuela,1993,0.15329,8.92,72.8
Venezuela_1994,Venezuela,1994,0.11111,7.99,72.3
