dmu,country,year,efficiencies,CO2,income_share_20
Kyrgyzstan_2008,Kyrgyzstan,2008,0.34583,1.44,8.4
Kyrgyzstan_2009,Kyrgyzstan,2009,0.41542,1.26,9.1
Kyrgyzstan_2010,Kyrgyzstan,2010,0.42564,1.17,8.7
Kyrgyzstan_2011,Kyrgyzstan,2011,0.71616,1.37,9.7
Kyrgyzstan_2012,Kyrgyzstan,2012,0.50835,1.78,9.6
Kyrgyzstan_2013,Kyrgyzstan,2013,0.4,1.69,9.3
Kyrgyzstan_2014,Kyrgyzstan,2014,0.69942,1.73,10
Kyrgyzstan_2015,Kyrgyzstan,2015,0.47894,1.73,9.5
Latvia_2004,Latvia,2004,0.14647,3.4,6.5
Latvia_2005,Latvia,2005,0.14352,3.47,5.9
Latvia_2006,Latvia,2006,0.13316,3.74,6.8
Latvia_2007,Latvia,2007,0.12672,3.93,6.4
Latvia_2008,Latvia,2008,0.13175,3.78,6.1
Latvia_2009,Latvia,2009,0.1431,3.48,5.9
Latvia_2010,Latvia,2010,0.12327,4.04,6.2
Latvia_2011,Latvia,2011,0.13351,3.73,6.4
Latvia_2012,Latvia,2012,0.13681,3.64,6.5
Latvia_2013,Latvia,2013,0.13795,3.61,6.5
Latvia_2014,Latvia,2014,0.13989,3.56,6.6
Latvia_2015,Latvia,2015,0.13644,3.65,7.1
Lithuania_2004,Lithuania,2004,0.12769,3.9,5.8
Lithuania_2005,Lithuania,2005,0.11801,4.22,6.4
Lithuania_2006,Lithuania,2006,0.11422,4.36,6.9
Lithuania_2007,Lithuania,2007,0.10289,4.84,6.8
Lithuania_2008,Lithuania,2008,0.10596,4.7,6.6
Lithuania_2009,Lithuania,2009,0.12296,4.05,5.7
Lithuania_2010,Lithuania,2010,0.11344,4.39,6.5
Lithuania_2011,Lithuania,2011,0.10897,4.57,7.1
Lithuania_2012,Lithuania,2012,0.1071,4.65,6.5
Lithuania_2013,Lithuania,2013,0.11422,4.36,6.7
Lithuania_2014,Lithuania,2014,0.11475,4.34,6
Lithuania_2015,Lithuania,2015,0.11116,4.48,6.1
Lithuania_2016,Lithuania,2016,0.10969,4.54,6
Luxembourg_2002,Luxembourg,2002,0.02204,22.6,8.333333333333334
Luxembourg_2003,Luxembourg,2003,0.02128,23.4,8.3
Luxembourg_2004,Luxembourg,2004,0.01901,26.2,8.3
Luxembourg_2005,Luxembourg,2005,0.01879,26.5,8.2
Luxembourg_2006,Luxembourg,2006,0.01938,25.7,8.2
Luxembourg_2007,Luxembourg,2007,0.02084,23.9,8.3
Luxembourg_2008,Luxembourg,2008,0.02156,23.1,7.8
Luxembourg_2009,Luxembourg,2009,0.02316,21.5,8
Luxembourg_2010,Luxembourg,2010,0.02253,22.1,8.2
Luxembourg_2011,Luxembourg,2011,0.02327,21.4,7.8
Luxembourg_2012,Luxembourg,2012,0.02429,20.5,7.3
Luxembourg_2013,Luxembourg,2013,0.02621,19,7.6
Luxembourg_2014,Luxembourg,2014,0.02814,17.7,7.9
Luxembourg_2015,Luxembourg,2015,0.03018,16.5,7.4
Malaysia_2007,Malaysia,2007,0.0727,6.85,4.9
Malaysia_2008,Malaysia,2008,0.06694,7.44,4.8
Malaysia_2009,Malaysia,2009,0.07004,7.11,4.933333333333334
Malaysia_2010,Malaysia,2010,0.06484,7.68,5.066666666666666
Malaysia_2011,Malaysia,2011,0.06553,7.6,5.2
Malaysia_2012,Malaysia,2012,0.06703,7.43,5.5
Malaysia_2013,Malaysia,2013,0.06256,7.96,5.8
Malaysia_2014,Malaysia,2014,0.06163,8.08,5.8
Malta_2006,Malta,2006,0.07769,6.41,8.6
Malta_2007,Malta,2007,0.07568,6.58,8.3
Malta_2008,Malta,2008,0.07389,6.74,8.5
Malta_2009,Malta,2009,0.08098,6.15,8.2
Malta_2010,Malta,2010,0.08137,6.12,8.4
Malta_2011,Malta,2011,0.07955,6.26,8.5
Malta_2012,Malta,2012,0.07568,6.58,8.4
Malta_2013,Malta,2013,0.08691,5.73,8.6
Malta_2014,Malta,2014,0.0883,5.64,8.6
Malta_2015,Malta,2015,0.12576,3.96,8.5
Mexico_1990,Mexico,1990,0.13175,3.78,4.033333333333333
Mexico_1991,Mexico,1991,0.12902,3.86,3.9666666666666663
Mexico_1992,Mexico,1992,0.13037,3.82,3.9
Mexico_1993,Mexico,1993,0.13037,3.82,3.85
Mexico_1994,Mexico,1994,0.12769,3.9,3.8
Mexico_1995,Mexico,1995,0.13757,3.62,3.5
Moldova_1997,Moldova,1997,0.29294,1.7,6.5
Moldova_1998,Moldova,1998,0.32763,1.52,6
Moldova_1999,Moldova,1999,0.44865,1.11,6
Moldova_2000,Moldova,2000,0.58519,0.851,6.9
Moldova_2001,Moldova,2001,0.55028,0.905,6.7
Moldova_2002,Moldova,2002,0.51287,0.971,7
Moldova_2003,Moldova,2003,0.46981,1.06,7.6
Moldova_2004,Moldova,2004,0.44865,1.11,7.4
Moldova_2005,Moldova,2005,0.41849,1.19,7
Moldova_2006,Moldova,2006,0.41157,1.21,7.1
Moldova_2007,Moldova,2007,0.41157,1.21,7.4
Moldova_2008,Moldova,2008,0.39524,1.26,7.3
Moldova_2009,Moldova,2009,0.44865,1.11,7.6
Moldova_2010,Moldova,2010,0.42203,1.18,8.1
Moldova_2011,Moldova,2011,0.41157,1.21,8.5
Moldova_2012,Moldova,2012,0.42564,1.17,9
Moldova_2013,Moldova,2013,0.43619,1.2,9.1
Moldova_2014,Moldova,2014,0.84581,1.16,9.7
Moldova_2015,Moldova,2015,0.83148,1.18,9.7
Moldova_2016,Moldova,2016,1,1.21,10
Mongolia_2016,Mongolia,2016,0.06007,8.29,8
North Macedonia_2009,North Macedonia,2009,0.11857,4.2,4.1
North Macedonia_2010,North Macedonia,2010,0.12,4.15,3.7
North Macedonia_2011,North Macedonia,2011,0.11091,4.49,4.4
North Macedonia_2012,North Macedonia,2012,0.11718,4.25,4.9
North Macedonia_2013,North Macedonia,2013,0.1314,3.79,5.6
Norway_1990,Norway,1990,0.15809,8.32,10.04
Norway_1991,Norway,1991,0.15259,7.93,10
Norway_1992,Norway,1992,0.14232,8.1,9.925
Norway_1993,Norway,1993,0.13043,8.4,9.85
Norway_1994,Norway,1994,0.11826,8.78,9.775
Norway_1995,Norway,1995,0.11061,8.87,9.7
Norway_1996,Norway,1996,0.10295,9.53,9.7
Norway_1997,Norway,1997,0.10339,9.49,9.7
Norway_1998,Norway,1998,0.10328,9.5,9.7
Norway_1999,Norway,1999,0.1021,9.61,9.7
Norway_2000,Norway,2000,0.10371,9.46,9.7
Norway_2001,Norway,2001,0.09581,9.71,9.633333333333333
Norway_2002,Norway,2002,0.09296,9.46,9.566666666666666
Norway_2003,Norway,2003,0.08533,9.71,9.5
Norway_2004,Norway,2004,0.05123,9.72,8.8
Norway_2005,Norway,2005,0.05242,9.5,9
Norway_2006,Norway,2006,0.06293,9.53,9.2
Norway_2007,Norway,2007,0.07669,9.81,9.4
Norway_2008,Norway,2008,0.05498,9.52,9.1
Norway_2009,Norway,2009,0.08267,9.1,9.4
Norway_2010,Norway,2010,0.08749,9.47,9.5
Norway_2011,Norway,2011,0.09006,9.2,9.5
Norway_2012,Norway,2012,0.08368,8.99,9.4
Norway_2013,Norway,2013,0.0763,8.86,9.3
Norway_2014,Norway,2014,0.05989,8.74,9.1
Norway_2015,Norway,2015,0.05711,8.72,9
Poland_2004,Poland,2004,0.05907,8.43,5.7
Poland_2005,Poland,2005,0.05922,8.41,6.4
Poland_2006,Poland,2006,0.05685,8.76,6.8
Poland_2007,Poland,2007,0.05685,8.76,7.2
Poland_2008,Poland,2008,0.05804,8.58,7.3
Poland_2009,Poland,2009,0.06051,8.23,7.3
Poland_2010,Poland,2010,0.05718,8.71,7.3
Poland_2011,Poland,2011,0.05724,8.7,7.3
Poland_2012,Poland,2012,0.05845,8.52,7.2
Poland_2013,Poland,2013,0.05907,8.43,7.2
Poland_2014,Poland,2014,0.06141,8.11,7.2
Poland_2015,Poland,2015,0.06058,8.22,7.4
Portugal_2003,Portugal,2003,0.08045,6.19,6.2
Portugal_2004,Portugal,2004,0.07745,6.43,6.4
Portugal_2005,Portugal,2005,0.07523,6.62,6.7
Portugal_2006,Portugal,2006,0.08098,6.15,6.7
Portugal_2007,Portugal,2007,0.08441,5.9,6.9
Portugal_2008,Portugal,2008,0.08783,5.67,6.9
Portugal_2009,Portugal,2009,0.09239,5.39,7.2
Portugal_2010,Portugal,2010,0.0996,5,7
Portugal_2011,Portugal,2011,0.10163,4.9,6.8
Portugal_2012,Portugal,2012,0.10484,4.75,6.4
Portugal_2013,Portugal,2013,0.10826,4.6,6.2
Portugal_2014,Portugal,2014,0.10803,4.61,6.5
Romania_2006,Romania,2006,0.10061,4.95,5
Romania_2007,Romania,2007,0.09784,5.09,5.5
Romania_2008,Romania,2008,0.09861,5.05,5.8
Romania_2009,Romania,2009,0.11718,4.25,6
Romania_2010,Romania,2010,0.12117,4.11,5.7
Romania_2011,Romania,2011,0.11267,4.42,5.5
Romania_2012,Romania,2012,0.11636,4.28,5.3
Romania_2013,Romania,2013,0.12969,3.84,5
Romania_2014,Romania,2014,0.12868,3.87,4.9
Romania_2015,Romania,2015,0.12737,3.91,5.1
Romania_2016,Romania,2016,0.13003,3.83,5.6
Russia_1997,Russia,1997,0.04985,9.99,6.3
Russia_1998,Russia,1998,0.0503,9.9,6.2
Serbia_2012,Serbia,2012,0.10184,4.89,4.7
Serbia_2013,Serbia,2013,0.0996,5,4.7
Serbia_2014,Serbia,2014,0.11914,4.18,4.3
Serbia_2015,Serbia,2015,0.10101,4.93,4.4
Slovakia_2006,Slovakia,2006,0.08557,7.9,9.3
Slovakia_2007,Slovakia,2007,0.10902,7.6,9.5
Slovakia_2008,Slovakia,2008,0.07819,7.67,9.2
Slovakia_2009,Slovakia,2009,0.07135,6.98,8.6
Slovakia_2010,Slovakia,2010,0.06985,7.13,8.5
Slovakia_2011,Slovakia,2011,0.07074,7.04,8.7
Slovakia_2012,Slovakia,2012,0.07489,6.65,8.6
Slovakia_2013,Slovakia,2013,0.0758,6.57,8.3
Slovakia_2014,Slovakia,2014,0.08032,6.2,8.4
Slovenia_2004,Slovenia,2004,0.12634,8.37,9.8
Slovenia_2005,Slovenia,2005,0.13338,8.5,9.9
Slovenia_2006,Slovenia,2006,0.14119,8.57,10
Slovenia_2007,Slovenia,2007,0.14086,8.59,10
Slovenia_2008,Slovenia,2008,0.19275,9.01,10.2
Slovenia_2009,Slovenia,2009,0.13168,8.03,9.8
Slovenia_2010,Slovenia,2010,0.12234,8.02,9.7
Slovenia_2011,Slovenia,2011,0.12295,7.98,9.7
Slovenia_2012,Slovenia,2012,0.09783,7.69,9.4
Slovenia_2013,Slovenia,2013,0.08148,7.36,9.2
Slovenia_2014,Slovenia,2014,0.11485,6.55,9.4
Slovenia_2015,Slovenia,2015,0.13752,6.58,9.6
South Africa_2008,South Africa,2008,0.0501,9.94,2.6
South Korea_2006,South Korea,2006,0.05226,9.53,7.3
South Korea_2007,South Korea,2007,0.04931,10.1,7.25
South Korea_2008,South Korea,2008,0.04835,10.3,7.2
South Korea_2009,South Korea,2009,0.04835,10.3,7.25
South Korea_2010,South Korea,2010,0.04368,11.4,7.3
South Korea_2011,South Korea,2011,0.0422,11.8,7.3
South Korea_2012,South Korea,2012,0.04256,11.7,7.3
South Korea_2013,South Korea,2013,0.0422,11.8,7.4
South Korea_2014,South Korea,2014,0.04293,11.6,7.5
South Korea_2015,South Korea,2015,0.04256,11.7,7.5
Spain_1990,Spain,1990,0.08441,5.9,7.7
Spain_1991,Spain,1991,0.08124,6.13,7.4
Spain_1992,Spain,1992,0.07867,6.33,7.1
Spain_1993,Spain,1993,0.08164,6.1,6.800000000000001
Spain_1994,Spain,1994,0.07781,6.4,6.5
Spain_1995,Spain,1995,0.07411,6.72,6.2
Spain_1996,Spain,1996,0.07793,6.39,6.38
Spain_1997,Spain,1997,0.07455,6.68,6.56
Spain_1998,Spain,1998,0.07259,6.86,6.74
Spain_1999,Spain,1999,0.0673,7.4,6.92
Spain_2000,Spain,2000,0.06535,7.62,7.1
Spain_2001,Spain,2001,0.06579,7.57,7.133333333333333
Spain_2002,Spain,2002,0.06264,7.95,7.166666666666667
Spain_2003,Spain,2003,0.06296,7.91,7.2
Spain_2004,Spain,2004,0.06095,8.17,6.9
Spain_2005,Spain,2005,0.0595,8.37,7
Spain_2006,Spain,2006,0.06194,8.04,6.7
Spain_2007,Spain,2007,0.06156,8.09,6.7
Spain_2008,Spain,2008,0.06831,7.29,6.6
Spain_2009,Spain,2009,0.07818,6.37,6.3
Spain_2010,Spain,2010,0.08245,6.04,6.3
Spain_2011,Spain,2011,0.08245,6.04,6
Spain_2012,Spain,2012,0.08398,5.93,6.1
Spain_2013,Spain,2013,0.09274,5.37,5.7
Spain_2014,Spain,2014,0.09138,5.45,5.7
Spain_2015,Spain,2015,0.08571,5.81,5.8
Sweden_1990,Sweden,1990,0.17351,6.71,9.94
Sweden_1991,Sweden,1991,0.16034,6.69,9.82
Sweden_1992,Sweden,1992,0.14843,6.61,9.7
Sweden_1993,Sweden,1993,0.13794,6.56,9.6
Sweden_1994,Sweden,1994,0.12185,6.8,9.5
Sweden_1995,Sweden,1995,0.11228,6.7,9.4
Sweden_1996,Sweden,1996,0.10337,7.13,9.38
Sweden_1997,Sweden,1997,0.11019,6.55,9.36
Sweden_1998,Sweden,1998,0.10672,6.62,9.34
Sweden_1999,Sweden,1999,0.10972,6.3,9.32
Sweden_2000,Sweden,2000,0.10974,6.16,9.3
Sweden_2001,Sweden,2001,0.10799,6.26,9.3
Sweden_2002,Sweden,2002,0.10646,6.35,9.3
Sweden_2003,Sweden,2003,0.10579,6.39,9.3
Sweden_2004,Sweden,2004,0.10764,6.28,9.3
Sweden_2005,Sweden,2005,0.08356,5.96,8.7
Sweden_2006,Sweden,2006,0.10165,5.9,9.2
Sweden_2007,Sweden,2007,0.08646,5.76,8.9
Sweden_2008,Sweden,2008,0.09071,5.49,8.6
Sweden_2009,Sweden,2009,0.09842,5.06,8.6
Sweden_2010,Sweden,2010,0.08845,5.63,8.6
Sweden_2011,Sweden,2011,0.09632,5.17,8.5
Sweden_2012,Sweden,2012,0.10247,4.86,8.5
Sweden_2013,Sweden,2013,0.10687,4.66,8.1
Sweden_2014,Sweden,2014,0.11166,4.46,8.4
Sweden_2015,Sweden,2015,0.11293,4.41,8.2
Switzerland_1990,Switzerland,1990,0.075,6.64,7.48
Switzerland_1991,Switzerland,1991,0.07249,6.87,7.49
Switzerland_1992,Switzerland,1992,0.07345,6.78,7.5
Switzerland_1993,Switzerland,1993,0.07843,6.35,7.5375
Switzerland_1994,Switzerland,1994,0.08084,6.16,7.575
Switzerland_1995,Switzerland,1995,0.08019,6.21,7.6125
Switzerland_1996,Switzerland,1996,0.07943,6.27,7.65
Switzerland_1997,Switzerland,1997,0.08177,6.09,7.6875
Switzerland_1998,Switzerland,1998,0.07905,6.3,7.725
Switzerland_1999,Switzerland,1999,0.07968,6.25,7.7625
Switzerland_2000,Switzerland,2000,0.08151,6.11,7.8
Switzerland_2001,Switzerland,2001,0.0793,6.28,7.949999999999999
Switzerland_2002,Switzerland,2002,0.08272,6.02,8.1
Switzerland_2003,Switzerland,2003,0.08098,6.15,7.925
Switzerland_2004,Switzerland,2004,0.08058,6.18,7.75
Switzerland_2005,Switzerland,2005,0.08032,6.2,7.575
Switzerland_2006,Switzerland,2006,0.08177,6.09,7.4
Switzerland_2007,Switzerland,2007,0.08646,5.76,7.4
Switzerland_2008,Switzerland,2008,0.08484,5.87,7.5
Switzerland_2009,Switzerland,2009,0.08814,5.65,7.8
Switzerland_2010,Switzerland,2010,0.08631,5.77,7.8
Switzerland_2011,Switzerland,2011,0.09595,5.19,7.9
Switzerland_2012,Switzerland,2012,0.09432,5.28,8.1
Switzerland_2013,Switzerland,2013,0.09343,5.33,7.9
Thailand_1994,Thailand,1994,0.21747,2.29,6.1
Thailand_1995,Thailand,1995,0.18864,2.64,6.15
Thailand_1996,Thailand,1996,0.17232,2.89,6.2
Thailand_1997,Thailand,1997,0.16881,2.95,6.300000000000001
Thailand_1998,Thailand,1998,0.19228,2.59,6.4
Thailand_1999,Thailand,1999,0.18652,2.67,6.1
Thailand_2000,Thailand,2000,0.18376,2.71,6.2
Thailand_2001,Thailand,2001,0.17352,2.87,6.25
Thailand_2002,Thailand,2002,0.166,3,6.3
Thailand_2003,Thailand,2003,0.1581,3.15,6.199999999999999
Thailand_2004,Thailand,2004,0.14821,3.36,6.1
Thailand_2005,Thailand,2005,0.14519,3.43,6.05
Thailand_2006,Thailand,2006,0.14393,3.46,6
Thailand_2007,Thailand,2007,0.14269,3.49,6.5
Thailand_2008,Thailand,2008,0.14519,3.43,6.4
Thailand_2009,Thailand,2009,0.13681,3.64,6.5
Thailand_2010,Thailand,2010,0.13037,3.82,6.6
Thailand_2011,Thailand,2011,0.13245,3.76,7.2
Thailand_2012,Thailand,2012,0.12481,3.99,6.6
Thailand_2013,Thailand,2013,0.11942,4.17,6.9
Thailand_2014,Thailand,2014,0.12236,4.07,7.1
Thailand_2015,Thailand,2015,0.12146,4.1,7.5
Thailand_2016,Thailand,2016,0.12236,4.07,7.3
Trinidad and Tobago_1990,Trinidad and Tobago,1990,0.03583,13.9,5.2
Trinidad and Tobago_1991,Trinidad and Tobago,1991,0.03609,13.8,5.35
Trinidad and Tobago_1992,Trinidad and Tobago,1992,0.03213,15.5,5.5
Tunisia_2009,Tunisia,2009,0.21558,2.31,6.640000000000001
Turkey_2009,Turkey,2009,0.11242,4.43,5.9
Turkey_2010,Turkey,2010,0.11448,4.35,5.9
Turkey_2011,Turkey,2011,0.10756,4.63,5.8
Turkey_2012,Turkey,2012,0.10506,4.74,5.8
Turkey_2013,Turkey,2013,0.10945,4.55,5.8
Turkey_2014,Turkey,2014,0.10618,4.69,5.8
Turkey_2015,Turkey,2015,0.10247,4.86,5.6
Ukraine_1995,Ukraine,1995,0.06493,7.67,6.2
Ukraine_1996,Ukraine,1996,0.07165,6.95,7.1
Ukraine_1997,Ukraine,1997,0.07334,6.79,7.383333333333333
Ukraine_1998,Ukraine,1998,0.07534,6.61,7.666666666666667
Ukraine_1999,Ukraine,1999,0.08218,6.06,7.95
Ukraine_2000,Ukraine,2000,0.08513,5.85,8.233333333333334
Ukraine_2001,Ukraine,2001,0.0793,6.28,8.516666666666667
Ukraine_2002,Ukraine,2002,0.08071,6.17,8.8
Ukraine_2003,Ukraine,2003,0.08103,6.46,9.1
Ukraine_2004,Ukraine,2004,0.07568,6.58,8.8
United Kingdom_1990,United Kingdom,1990,0.04743,10.5,6.9399999999999995
United Kingdom_1991,United Kingdom,1991,0.04698,10.6,6.8
United Kingdom_1992,United Kingdom,1992,0.04835,10.3,6.866666666666666
United Kingdom_1993,United Kingdom,1993,0.04931,10.1,6.933333333333334
United Kingdom_1994,United Kingdom,1994,0.04995,9.97,7
United Kingdom_1995,United Kingdom,1995,0.05087,9.79,7.1
United Kingdom_1996,United Kingdom,1996,0.04931,10.1,7.1
United Kingdom_1997,United Kingdom,1997,0.05161,9.65,7
United Kingdom_1998,United Kingdom,1998,0.05129,9.71,6.9
United Kingdom_1999,United Kingdom,1999,0.05215,9.55,6.8
United Kingdom_2000,United Kingdom,2000,0.05171,9.63,6.6
United Kingdom_2001,United Kingdom,2001,0.05108,9.75,6.8
United Kingdom_2002,United Kingdom,2002,0.0527,9.45,7.1
United Kingdom_2003,United Kingdom,2003,0.05188,9.6,7.2
United Kingdom_2004,United Kingdom,2004,0.05198,9.58,6.7
United Kingdom_2005,United Kingdom,2005,0.05264,9.46,6.9
United Kingdom_2006,United Kingdom,2006,0.05338,9.33,7
United Kingdom_2007,United Kingdom,2007,0.05473,9.1,6.9
United Kingdom_2008,United Kingdom,2008,0.05678,8.77,7.2
United Kingdom_2009,United Kingdom,2009,0.06328,7.87,7.2
United Kingdom_2010,United Kingdom,2010,0.06171,8.07,7.3
United Kingdom_2011,United Kingdom,2011,0.06785,7.34,7.4
United Kingdom_2012,United Kingdom,2012,0.06587,7.56,7.6
United Kingdom_2013,United Kingdom,2013,0.06766,7.36,7.4
United Kingdom_2014,United Kingdom,2014,0.07422,6.71,7.3
United Kingdom_2015,United Kingdom,2015,0.07757,6.42,7.4
United States_1990,United States,1990,0.02453,20.3,5.6
United States_1991,United States,1991,0.02503,19.9,5.6
United States_1992,United States,1992,0.02465,20.2,5.5
United States_1993,United States,1993,0.02441,20.4,5.2
United States_1994,United States,1994,0.02429,20.5,5.4
United States_1995,United States,1995,0.02429,20.5,5.5
United States_1996,United States,1996,0.02371,21,5.5
United States_1997,United States,1997,0.02371,21,5.4
United States_1998,United States,1998,0.02383,20.9,5.4
United States_1999,United States,1999,0.02383,20.9,5.5
United States_2000,United States,2000,0.02338,21.3,5.5
United States_2001,United States,2001,0.02406,20.7,5.4
United States_2002,United States,2002,0.02406,20.7,5.3
United States_2003,United States,2003,0.02406,20.7,5.2
United States_2004,United States,2004,0.02383,20.9,5.3
United States_2005,United States,2005,0.02394,20.8,5.3
United States_2006,United States,2006,0.02453,20.3,5.2
United States_2007,United States,2007,0.02441,20.4,5.2
Venezuela_1990,Venezuela,1990,0.08019,6.21,4.6000000000000005
Venezuela_1991,Venezuela,1991,0.08691,5.73,4.8
Venezuela_1992,Venezuela,1992,0.09689,5.14,5
Venezuela_1993,Venezuela,1993,0.08441,5.9,4.7
Venezuela_1994,Venezuela,1994,0.08245,6.04,4.3999999999999995
