dmu,country,year,efficiencies,CO2,income
Kyrgyzstan_2013,Kyrgyzstan,2013,0.30499,1.69,4.63
Kyrgyzstan_2014,Kyrgyzstan,2014,0.30188,1.73,4.72
Kyrgyzstan_2015,Kyrgyzstan,2015,0.30583,1.73,4.81
Latvia_2004,Latvia,2004,0.45413,3.4,18.2
Latvia_2005,Latvia,2005,0.49084,3.47,20.3
Latvia_2006,Latvia,2006,0.51013,3.74,23
Latvia_2007,Latvia,2007,0.53368,3.93,25.5
Latvia_2008,Latvia,2008,0.54283,3.78,24.9
Latvia_2009,Latvia,2009,0.51992,3.48,21.7
Latvia_2010,Latvia,2010,0.43847,4.04,21.2
Latvia_2011,Latvia,2011,0.4932,3.73,22.1
Latvia_2012,Latvia,2012,0.54497,3.64,24
Latvia_2013,Latvia,2013,0.56419,3.61,24.7
Latvia_2014,Latvia,2014,0.58702,3.56,25.4
Latvia_2015,Latvia,2015,0.59747,3.65,26.6
Lithuania_2004,Lithuania,2004,0.41534,3.9,19.2
Lithuania_2005,Lithuania,2005,0.41798,4.22,21.1
Lithuania_2006,Lithuania,2006,0.43759,4.36,23
Lithuania_2007,Lithuania,2007,0.43804,4.84,25.8
Lithuania_2008,Lithuania,2008,0.46722,4.7,26.8
Lithuania_2009,Lithuania,2009,0.47295,4.05,23.1
Lithuania_2010,Lithuania,2010,0.45014,4.39,23.9
Lithuania_2011,Lithuania,2011,0.46724,4.57,26
Lithuania_2012,Lithuania,2012,0.48039,4.65,27.3
Lithuania_2013,Lithuania,2013,0.53494,4.36,28.6
Lithuania_2014,Lithuania,2014,0.56011,4.34,29.9
Lithuania_2015,Lithuania,2015,0.55615,4.48,30.7
Lithuania_2016,Lithuania,2016,0.56883,4.54,31.9
Luxembourg_2002,Luxembourg,2002,0.62288,22.6,103
Luxembourg_2003,Luxembourg,2003,0.62229,23.4,105
Luxembourg_2004,Luxembourg,2004,0.58353,26.2,108
Luxembourg_2005,Luxembourg,2005,0.58607,26.5,109
Luxembourg_2006,Luxembourg,2006,0.64202,25.7,113
Luxembourg_2007,Luxembourg,2007,1,23.9,121
Luxembourg_2008,Luxembourg,2008,0.9145,23.1,118
Luxembourg_2009,Luxembourg,2009,0.75617,21.5,112
Luxembourg_2010,Luxembourg,2010,0.78846,22.1,114
Luxembourg_2011,Luxembourg,2011,0.77103,21.4,113
Luxembourg_2012,Luxembourg,2012,0.79306,20.5,112
Luxembourg_2013,Luxembourg,2013,0.86842,19,113
Luxembourg_2014,Luxembourg,2014,0.9322,17.7,113
Luxembourg_2015,Luxembourg,2015,1,16.5,113
Malaysia_2007,Malaysia,2007,0.23979,6.85,19.5
Malaysia_2008,Malaysia,2008,0.22689,7.44,20.1
Malaysia_2009,Malaysia,2009,0.22996,7.11,19.4
Malaysia_2010,Malaysia,2010,0.22375,7.68,20.5
Malaysia_2011,Malaysia,2011,0.23408,7.6,21.3
Malaysia_2012,Malaysia,2012,0.2476,7.43,22.1
Malaysia_2013,Malaysia,2013,0.23873,7.96,22.9
Malaysia_2014,Malaysia,2014,0.24457,8.08,23.9
Malta_2006,Malta,2006,0.37569,6.41,29.6
Malta_2007,Malta,2007,0.38096,6.58,30.9
Malta_2008,Malta,2008,0.38316,6.74,31.9
Malta_2009,Malta,2009,0.41252,6.15,31.3
Malta_2010,Malta,2010,0.43436,6.12,32.9
Malta_2011,Malta,2011,0.42465,6.26,32.9
Malta_2012,Malta,2012,0.41552,6.58,33.9
Malta_2013,Malta,2013,0.49567,5.73,35.3
Malta_2014,Malta,2014,0.52912,5.64,37.2
Malta_2015,Malta,2015,0.80336,3.96,39.8
Mexico_1990,Mexico,1990,0.3423,3.78,14.9
Mexico_1991,Mexico,1991,0.34306,3.86,15.3
Mexico_1992,Mexico,1992,0.35261,3.82,15.6
Mexico_1993,Mexico,1993,0.35261,3.82,15.6
Mexico_1994,Mexico,1994,0.35509,3.9,16.1
Mexico_1995,Mexico,1995,0.35534,3.62,14.8
Moldova_1997,Moldova,1997,0.3411,1.7,5.48
Moldova_1998,Moldova,1998,0.36354,1.52,5.12
Moldova_1999,Moldova,1999,0.48689,1.11,4.96
Moldova_2000,Moldova,2000,0.64487,0.851,5.07
Moldova_2001,Moldova,2001,0.63403,0.905,5.4
Moldova_2002,Moldova,2002,0.6245,0.971,5.83
Moldova_2003,Moldova,2003,0.60067,1.06,6.23
Moldova_2004,Moldova,2004,0.60639,1.11,6.71
Moldova_2005,Moldova,2005,0.59875,1.19,7.23
Moldova_2006,Moldova,2006,0.61203,1.21,7.6
Moldova_2007,Moldova,2007,0.62769,1.21,7.85
Moldova_2008,Moldova,2008,0.64008,1.26,8.47
Moldova_2009,Moldova,2009,0.69312,1.11,7.98
Moldova_2010,Moldova,2010,0.68862,1.18,8.55
Moldova_2011,Moldova,2011,0.70287,1.21,9.05
Moldova_2012,Moldova,2012,0.72366,1.17,9
Moldova_2013,Moldova,2013,0.75736,1.2,9.82
Moldova_2014,Moldova,2014,0.81484,1.16,10.3
Moldova_2015,Moldova,2015,0.80746,1.18,10.4
Moldova_2016,Moldova,2016,0.81876,1.21,10.9
Mongolia_2016,Mongolia,2016,0.12042,8.29,11
North Macedonia_2009,North Macedonia,2009,0.27559,4.2,13.1
North Macedonia_2010,North Macedonia,2010,0.28621,4.15,13.5
North Macedonia_2011,North Macedonia,2011,0.2696,4.49,13.8
North Macedonia_2012,North Macedonia,2012,0.28304,4.25,13.7
North Macedonia_2013,North Macedonia,2013,0.3254,3.79,14.1
Norway_1990,Norway,1990,0.40332,8.32,42.1
Norway_1991,Norway,1991,0.43367,7.93,43.2
Norway_1992,Norway,1992,0.43674,8.1,44.5
Norway_1993,Norway,1993,0.43016,8.4,45.5
Norway_1994,Norway,1994,0.42881,8.78,47.5
Norway_1995,Norway,1995,0.43984,8.87,49.3
Norway_1996,Norway,1996,0.42688,9.53,51.5
Norway_1997,Norway,1997,0.44785,9.49,53.9
Norway_1998,Norway,1998,0.45615,9.5,55
Norway_1999,Norway,1999,0.45645,9.61,55.7
Norway_2000,Norway,2000,0.47491,9.46,57.1
Norway_2001,Norway,2001,0.46971,9.71,58
Norway_2002,Norway,2002,0.48613,9.46,58.5
Norway_2003,Norway,2003,0.47517,9.71,58.7
Norway_2004,Norway,2004,0.49028,9.72,60.7
Norway_2005,Norway,2005,0.51121,9.5,61.9
Norway_2006,Norway,2006,0.51676,9.53,62.8
Norway_2007,Norway,2007,0.51205,9.81,64.1
Norway_2008,Norway,2008,0.52367,9.52,63.6
Norway_2009,Norway,2009,0.53201,9.1,61.7
Norway_2010,Norway,2010,0.50883,9.47,61.4
Norway_2011,Norway,2011,0.52211,9.2,61.2
Norway_2012,Norway,2012,0.54105,8.99,62
Norway_2013,Norway,2013,0.54814,8.86,61.9
Norway_2014,Norway,2014,0.56,8.74,62.4
Norway_2015,Norway,2015,0.5665,8.72,63
Poland_2004,Poland,2004,0.18406,8.43,18.3
Poland_2005,Poland,2005,0.1899,8.41,18.9
Poland_2006,Poland,2006,0.1927,8.76,20.1
Poland_2007,Poland,2007,0.20481,8.76,21.5
Poland_2008,Poland,2008,0.21706,8.58,22.4
Poland_2009,Poland,2009,0.23274,8.23,23.1
Poland_2010,Poland,2010,0.22775,8.71,24
Poland_2011,Poland,2011,0.23759,8.7,25.1
Poland_2012,Poland,2012,0.24617,8.52,25.5
Poland_2013,Poland,2013,0.2515,8.43,25.8
Poland_2014,Poland,2014,0.2689,8.11,26.6
Poland_2015,Poland,2015,0.27636,8.22,27.8
Portugal_2003,Portugal,2003,0.39884,6.19,30.4
Portugal_2004,Portugal,2004,0.38984,6.43,30.9
Portugal_2005,Portugal,2005,0.38094,6.62,31.1
Portugal_2006,Portugal,2006,0.41499,6.15,31.5
Portugal_2007,Portugal,2007,0.44285,5.9,32.3
Portugal_2008,Portugal,2008,0.46081,5.67,32.3
Portugal_2009,Portugal,2009,0.47069,5.39,31.3
Portugal_2010,Portugal,2010,0.51498,5,31.8
Portugal_2011,Portugal,2011,0.51776,4.9,31.3
Portugal_2012,Portugal,2012,0.51655,4.75,30.2
Portugal_2013,Portugal,2013,0.5301,4.6,30
Portugal_2014,Portugal,2014,0.53553,4.61,30.4
Romania_2006,Romania,2006,0.31193,4.95,18.2
Romania_2007,Romania,2007,0.32717,5.09,19.8
Romania_2008,Romania,2008,0.36279,5.05,22
Romania_2009,Romania,2009,0.41324,4.25,21
Romania_2010,Romania,2010,0.41441,4.11,20.3
Romania_2011,Romania,2011,0.39392,4.42,20.8
Romania_2012,Romania,2012,0.41566,4.28,21.3
Romania_2013,Romania,2013,0.48105,3.84,22.2
Romania_2014,Romania,2014,0.49495,3.87,23.1
Romania_2015,Romania,2015,0.50539,3.91,23.9
Romania_2016,Romania,2016,0.5397,3.83,25.1
Russia_1997,Russia,1997,0.1151,9.99,13
Russia_1998,Russia,1998,0.11156,9.9,12.4
Serbia_2012,Serbia,2012,0.2646,4.89,14.9
Serbia_2013,Serbia,2013,0.26636,5,15.4
Serbia_2014,Serbia,2014,0.31498,4.18,15.2
Serbia_2015,Serbia,2015,0.27322,4.93,15.6
Slovakia_2006,Slovakia,2006,0.22999,7.9,21.8
Slovakia_2007,Slovakia,2007,0.26201,7.6,24.1
Slovakia_2008,Slovakia,2008,0.27345,7.67,25.5
Slovakia_2009,Slovakia,2009,0.28419,6.98,24
Slovakia_2010,Slovakia,2010,0.29416,7.13,25.5
Slovakia_2011,Slovakia,2011,0.30546,7.04,26.2
Slovakia_2012,Slovakia,2012,0.32679,6.65,26.5
Slovakia_2013,Slovakia,2013,0.33193,6.57,26.6
Slovakia_2014,Slovakia,2014,0.36029,6.2,27.3
Slovenia_2004,Slovenia,2004,0.29133,8.37,30
Slovenia_2005,Slovenia,2005,0.29669,8.5,31.1
Slovenia_2006,Slovenia,2006,0.3093,8.57,32.8
Slovenia_2007,Slovenia,2007,0.32711,8.59,34.9
Slovenia_2008,Slovenia,2008,0.32196,9.01,36.1
Slovenia_2009,Slovenia,2009,0.33293,8.03,33.1
Slovenia_2010,Slovenia,2010,0.33618,8.02,33.4
Slovenia_2011,Slovenia,2011,0.33977,7.98,33.6
Slovenia_2012,Slovenia,2012,0.34272,7.69,32.6
Slovenia_2013,Slovenia,2013,0.35397,7.36,32.2
Slovenia_2014,Slovenia,2014,0.40816,6.55,33.1
Slovenia_2015,Slovenia,2015,0.41436,6.58,33.8
South Africa_2008,South Africa,2008,0.12178,9.94,13.8
South Korea_2006,South Korea,2006,0.25587,9.53,30
South Korea_2007,South Korea,2007,0.25344,10.1,31.6
South Korea_2008,South Korea,2008,0.25367,10.3,32.3
South Korea_2009,South Korea,2009,0.25441,10.3,32.4
South Korea_2010,South Korea,2010,0.24316,11.4,34.4
South Korea_2011,South Korea,2011,0.24134,11.8,35.4
South Korea_2012,South Korea,2012,0.24729,11.7,36
South Korea_2013,South Korea,2013,0.25162,11.8,37
South Korea_2014,South Korea,2014,0.26249,11.6,38
South Korea_2015,South Korea,2015,0.26543,11.7,38.8
Spain_1990,Spain,1990,0.38118,5.9,27.5
Spain_1991,Spain,1991,0.37554,6.13,28.2
Spain_1992,Spain,1992,0.36487000000000003,6.33,28.3
Spain_1993,Spain,1993,0.37365,6.1,27.9
Spain_1994,Spain,1994,0.36206,6.4,28.4
Spain_1995,Spain,1995,0.35159,6.72,29
Spain_1996,Spain,1996,0.37805,6.39,29.7
Spain_1997,Spain,1997,0.37298,6.68,30.7
Spain_1998,Spain,1998,0.37646,6.86,31.9
Spain_1999,Spain,1999,0.3623,7.4,33.2
Spain_2000,Spain,2000,0.36776,7.62,34.8
Spain_2001,Spain,2001,0.3812,7.57,35.9
Spain_2002,Spain,2002,0.36679,7.95,36.3
Spain_2003,Spain,2003,0.37344,7.91,36.8
Spain_2004,Spain,2004,0.36619,8.17,37.3
Spain_2005,Spain,2005,0.36378,8.37,38
Spain_2006,Spain,2006,0.3872,8.04,38.9
Spain_2007,Spain,2007,0.39043,8.09,39.5
Spain_2008,Spain,2008,0.43015,7.29,39.2
Spain_2009,Spain,2009,0.47086,6.37,37.4
Spain_2010,Spain,2010,0.49533,6.04,37.3
Spain_2011,Spain,2011,0.49031,6.04,36.9
Spain_2012,Spain,2012,0.48535,5.93,35.8
Spain_2013,Spain,2013,0.53031,5.37,35.4
Spain_2014,Spain,2014,0.53088,5.45,36
Spain_2015,Spain,2015,0.51625,5.81,37.4
Sweden_1990,Sweden,1990,0.41085,6.71,34.2
Sweden_1991,Sweden,1991,0.40415,6.69,33.5
Sweden_1992,Sweden,1992,0.40331,6.61,33
Sweden_1993,Sweden,1993,0.39598,6.56,32.1
Sweden_1994,Sweden,1994,0.39315,6.8,33.1
Sweden_1995,Sweden,1995,0.41147,6.7,34.2
Sweden_1996,Sweden,1996,0.39197,7.13,34.7
Sweden_1997,Sweden,1997,0.43941,6.55,35.8
Sweden_1998,Sweden,1998,0.45193,6.62,37.3
Sweden_1999,Sweden,1999,0.49294,6.3,38.8
Sweden_2000,Sweden,2000,0.52629,6.16,40.6
Sweden_2001,Sweden,2001,0.52394,6.26,41.1
Sweden_2002,Sweden,2002,0.52606,6.35,41.9
Sweden_2003,Sweden,2003,0.53226,6.39,42.7
Sweden_2004,Sweden,2004,0.5621,6.28,44.4
Sweden_2005,Sweden,2005,0.605,5.96,45.4
Sweden_2006,Sweden,2006,0.63556,5.9,47.3
Sweden_2007,Sweden,2007,0.66812,5.76,48.6
Sweden_2008,Sweden,2008,0.69269,5.49,48
Sweden_2009,Sweden,2009,0.7141,5.06,45.5
Sweden_2010,Sweden,2010,0.67277,5.63,47.8
Sweden_2011,Sweden,2011,0.74876,5.17,48.9
Sweden_2012,Sweden,2012,0.78716,4.86,48.3
Sweden_2013,Sweden,2013,0.8242,4.66,48.5
Sweden_2014,Sweden,2014,0.87475,4.46,49.3
Sweden_2015,Sweden,2015,0.91217,4.41,50.9
Switzerland_1990,Switzerland,1990,0.66747,6.64,56.3
Switzerland_1991,Switzerland,1991,0.63188,6.87,55.1
Switzerland_1992,Switzerland,1992,0.63356,6.78,54.5
Switzerland_1993,Switzerland,1993,0.6693,6.35,53.9
Switzerland_1994,Switzerland,1994,0.69364,6.16,54.2
Switzerland_1995,Switzerland,1995,0.68683,6.21,54.1
Switzerland_1996,Switzerland,1996,0.68026,6.27,54.1
Switzerland_1997,Switzerland,1997,0.71406,6.09,55.2
Switzerland_1998,Switzerland,1998,0.70831,6.3,56.7
Switzerland_1999,Switzerland,1999,0.72246,6.25,57.4
Switzerland_2000,Switzerland,2000,0.76383,6.11,59.4
Switzerland_2001,Switzerland,2001,0.74919,6.28,59.9
Switzerland_2002,Switzerland,2002,0.77651,6.02,59.5
Switzerland_2003,Switzerland,2003,0.75393,6.15,59
Switzerland_2004,Switzerland,2004,0.76621,6.18,60.3
Switzerland_2005,Switzerland,2005,0.77964,6.2,61.6
Switzerland_2006,Switzerland,2006,0.81986,6.09,63.7
Switzerland_2007,Switzerland,2007,0.89183,5.76,65.6
Switzerland_2008,Switzerland,2008,0.89608,5.87,66.6
Switzerland_2009,Switzerland,2009,0.89309,5.65,64.4
Switzerland_2010,Switzerland,2010,0.89291,5.77,65.8
Switzerland_2011,Switzerland,2011,1,5.19,66.3
Switzerland_2012,Switzerland,2012,0.98737,5.28,66.4
Switzerland_2013,Switzerland,2013,1,5.33,66.9
Thailand_1994,Thailand,1994,0.38164,2.29,9.36
Thailand_1995,Thailand,1995,0.34942,2.64,10
Thailand_1996,Thailand,1996,0.33231,2.89,10.5
Thailand_1997,Thailand,1997,0.31527,2.95,10.1
Thailand_1998,Thailand,1998,0.33217,2.59,9.18
Thailand_1999,Thailand,1999,0.33102,2.67,9.49
Thailand_2000,Thailand,2000,0.33508,2.71,9.81
Thailand_2001,Thailand,2001,0.32406,2.87,10.1
Thailand_2002,Thailand,2002,0.32265,3,10.6
Thailand_2003,Thailand,2003,0.32413,3.15,11.3
Thailand_2004,Thailand,2004,0.31741,3.36,11.9
Thailand_2005,Thailand,2005,0.31977,3.43,12.3
Thailand_2006,Thailand,2006,0.32795,3.46,12.8
Thailand_2007,Thailand,2007,0.34034,3.49,13.5
Thailand_2008,Thailand,2008,0.3485,3.43,13.6
Thailand_2009,Thailand,2009,0.32631,3.64,13.5
Thailand_2010,Thailand,2010,0.32879,3.82,14.4
Thailand_2011,Thailand,2011,0.33404,3.76,14.4
Thailand_2012,Thailand,2012,0.33378,3.99,15.4
Thailand_2013,Thailand,2013,0.32665,4.17,15.8
Thailand_2014,Thailand,2014,0.33653,4.07,15.9
Thailand_2015,Thailand,2015,0.34147,4.1,16.3
Thailand_2016,Thailand,2016,0.3533,4.07,16.8
Trinidad and Tobago_1990,Trinidad and Tobago,1990,0.06691,13.9,10.1
Trinidad and Tobago_1991,Trinidad and Tobago,1991,0.06849,13.8,10.3
Trinidad and Tobago_1992,Trinidad and Tobago,1992,0.06587,15.5,11.3
Tunisia_2009,Tunisia,2009,0.41575,2.31,10.5
Turkey_2009,Turkey,2009,0.3571,4.43,18.7
Turkey_2010,Turkey,2010,0.38632,4.35,20
Turkey_2011,Turkey,2011,0.39406,4.63,21.9
Turkey_2012,Turkey,2012,0.39611,4.74,22.6
Turkey_2013,Turkey,2013,0.43764,4.55,24.1
Turkey_2014,Turkey,2014,0.4375,4.69,24.9
Turkey_2015,Turkey,2015,0.43936,4.86,26
Ukraine_1995,Ukraine,1995,0.09962,7.67,7.91
Ukraine_1996,Ukraine,1996,0.10197,6.95,7.18
Ukraine_1997,Ukraine,1997,0.1027,6.79,7.03
Ukraine_1998,Ukraine,1998,0.1047,6.61,6.96
Ukraine_1999,Ukraine,1999,0.11482,6.06,7.01
Ukraine_2000,Ukraine,2000,0.1253,5.85,7.5
Ukraine_2001,Ukraine,2001,0.12565,6.28,8.24
Ukraine_2002,Ukraine,2002,0.1344,6.17,8.77
Ukraine_2003,Ukraine,2003,0.13904,6.46,9.68
Ukraine_2004,Ukraine,2004,0.15056,6.58,10.9
United Kingdom_1990,United Kingdom,1990,0.2409,10.5,31.2
United Kingdom_1991,United Kingdom,1991,0.23577,10.6,30.8
United Kingdom_1992,United Kingdom,1992,0.24263,10.3,30.8
United Kingdom_1993,United Kingdom,1993,0.25269,10.1,31.5
United Kingdom_1994,United Kingdom,1994,0.26435,9.97,32.6
United Kingdom_1995,United Kingdom,1995,0.2754,9.79,33.4
United Kingdom_1996,United Kingdom,1996,0.2722,10.1,34.1
United Kingdom_1997,United Kingdom,1997,0.29746,9.65,35.7
United Kingdom_1998,United Kingdom,1998,0.30343,9.71,36.7
United Kingdom_1999,United Kingdom,1999,0.31645,9.55,37.7
United Kingdom_2000,United Kingdom,2000,0.32327,9.63,38.9
United Kingdom_2001,United Kingdom,2001,0.32473,9.75,39.6
United Kingdom_2002,United Kingdom,2002,0.33985,9.45,40.2
United Kingdom_2003,United Kingdom,2003,0.34323,9.6,41.3
United Kingdom_2004,United Kingdom,2004,0.34949,9.58,42
United Kingdom_2005,United Kingdom,2005,0.36033,9.46,42.8
United Kingdom_2006,United Kingdom,2006,0.37185,9.33,43.6
United Kingdom_2007,United Kingdom,2007,0.38624000000000003,9.1,44.2
United Kingdom_2008,United Kingdom,2008,0.39732,8.77,43.8
United Kingdom_2009,United Kingdom,2009,0.42157,7.87,41.6
United Kingdom_2010,United Kingdom,2010,0.41582,8.07,42.1
United Kingdom_2011,United Kingdom,2011,0.46027,7.34,42.4
United Kingdom_2012,United Kingdom,2012,0.45089,7.56,42.8
United Kingdom_2013,United Kingdom,2013,0.46829,7.36,43.3
United Kingdom_2014,United Kingdom,2014,0.52382,6.71,44.2
United Kingdom_2015,United Kingdom,2015,0.55693,6.42,45
United States_1990,United States,1990,0.15896,20.3,40.4
United States_1991,United States,1991,0.16025,19.9,39.9
United States_1992,United States,1992,0.16087,20.2,40.7
United States_1993,United States,1993,0.16152,20.4,41.3
United States_1994,United States,1994,0.1648,20.5,42.4
United States_1995,United States,1995,0.16702,20.5,43
United States_1996,United States,1996,0.16701,21,44.1
United States_1997,United States,1997,0.17207,21,45.5
United States_1998,United States,1998,0.17833,20.9,47
United States_1999,United States,1999,0.18449,20.9,48.7
United States_2000,United States,2000,0.18601,21.3,50.1
United States_2001,United States,2001,0.1914,20.7,50.1
United States_2002,United States,2002,0.19287,20.7,50.5
United States_2003,United States,2003,0.19653,20.7,51.5
United States_2004,United States,2004,0.20009,20.9,53
United States_2005,United States,2005,0.20615,20.8,54.4
United States_2006,United States,2006,0.21496,20.3,55.4
United States_2007,United States,2007,0.21577,20.4,55.9
Venezuela_1990,Venezuela,1990,0.21446,6.21,15.4
Venezuela_1991,Venezuela,1991,0.2483,5.73,16.6
Venezuela_1992,Venezuela,1992,0.28712,5.14,17.3
Venezuela_1993,Venezuela,1993,0.24757,5.9,17.1
Venezuela_1994,Venezuela,1994,0.23305,6.04,16.4
