dmu,country,year,efficiencies,CO2,mean_years_in_school
Kyrgyzstan_2013,Kyrgyzstan,2013,0.56704,1.69,10.7
Kyrgyzstan_2014,Kyrgyzstan,2014,0.56688,1.73,10.8
Kyrgyzstan_2015,Kyrgyzstan,2015,0.56688,1.73,10.8
Latvia_2004,Latvia,2004,0.39548,3.4,11.7
Latvia_2005,Latvia,2005,0.60031,3.47,12.1
Latvia_2006,Latvia,2006,0.60633,3.74,12.2
Latvia_2007,Latvia,2007,0.624,3.93,12.3
Latvia_2008,Latvia,2008,0.59992,3.78,12.2
Latvia_2009,Latvia,2009,0.70469,3.48,12.3
Latvia_2010,Latvia,2010,0.6984,4.04,12.5
Latvia_2011,Latvia,2011,0.80594,3.73,12.6
Latvia_2012,Latvia,2012,0.82587,3.64,12.6
Latvia_2013,Latvia,2013,0.88387,3.61,12.7
Latvia_2014,Latvia,2014,1,3.56,12.9
Latvia_2015,Latvia,2015,0.92476,3.65,12.8
Lithuania_2004,Lithuania,2004,0.29169,3.9,11.5
Lithuania_2005,Lithuania,2005,0.36238,4.22,11.8
Lithuania_2006,Lithuania,2006,0.43543,4.36,12
Lithuania_2007,Lithuania,2007,0.43039,4.84,12.1
Lithuania_2008,Lithuania,2008,0.48249,4.7,12.2
Lithuania_2009,Lithuania,2009,0.28089,4.05,11.5
Lithuania_2010,Lithuania,2010,0.26424,4.39,11.6
Lithuania_2011,Lithuania,2011,0.33462,4.57,11.8
Lithuania_2012,Lithuania,2012,0.28916,4.65,11.7
Lithuania_2013,Lithuania,2013,0.39308,4.36,11.9
Lithuania_2014,Lithuania,2014,0.89954,4.34,13
Lithuania_2015,Lithuania,2015,0.87143,4.48,13
Lithuania_2016,Lithuania,2016,0.85991,4.54,13
Luxembourg_2002,Luxembourg,2002,0.0424,22.6,10.7
Luxembourg_2003,Luxembourg,2003,0.04287,23.4,10.9
Luxembourg_2004,Luxembourg,2004,0.04,26.2,11.1
Luxembourg_2005,Luxembourg,2005,0.04124,26.5,11.3
Luxembourg_2006,Luxembourg,2006,0.04426,25.7,11.5
Luxembourg_2007,Luxembourg,2007,0.05626,23.9,11.7
Luxembourg_2008,Luxembourg,2008,0.05821,23.1,11.7
Luxembourg_2009,Luxembourg,2009,0.07113,21.5,11.8
Luxembourg_2010,Luxembourg,2010,0.0692,22.1,11.8
Luxembourg_2011,Luxembourg,2011,0.07146,21.4,11.8
Luxembourg_2012,Luxembourg,2012,0.0746,20.5,11.8
Luxembourg_2013,Luxembourg,2013,0.08049,19,11.8
Luxembourg_2014,Luxembourg,2014,0.10726,17.7,12
Luxembourg_2015,Luxembourg,2015,0.11506,16.5,12
Malaysia_2007,Malaysia,2007,0.08552,6.85,8.8
Malaysia_2008,Malaysia,2008,0.0929,7.44,9.4
Malaysia_2009,Malaysia,2009,0.10215,7.11,9.6
Malaysia_2010,Malaysia,2010,0.09915,7.68,9.8
Malaysia_2011,Malaysia,2011,0.1084,7.6,10.1
Malaysia_2012,Malaysia,2012,0.11088,7.43,10.1
Malaysia_2013,Malaysia,2013,0.1035,7.96,10.1
Malaysia_2014,Malaysia,2014,0.10196,8.08,10.1
Malta_2006,Malta,2006,0.11879,6.41,9.8
Malta_2007,Malta,2007,0.11839,6.58,9.9
Malta_2008,Malta,2008,0.1189,6.74,10
Malta_2009,Malta,2009,0.1376,6.15,10.2
Malta_2010,Malta,2010,0.14194,6.12,10.3
Malta_2011,Malta,2011,0.14592,6.26,10.5
Malta_2012,Malta,2012,0.14904,6.58,10.8
Malta_2013,Malta,2013,0.17898,5.73,11
Malta_2014,Malta,2014,0.18581,5.64,11.1
Malta_2015,Malta,2015,0.27029,3.96,11.2
Mexico_1990,Mexico,1990,0.13175,3.78,5.56
Mexico_1991,Mexico,1991,0.12902,3.86,5.7
Mexico_1992,Mexico,1992,0.13037,3.82,5.9
Mexico_1993,Mexico,1993,0.13037,3.82,6.1
Mexico_1994,Mexico,1994,0.12769,3.9,6.2
Mexico_1995,Mexico,1995,0.13757,3.62,6.4
Moldova_1997,Moldova,1997,0.3446,1.7,8.8
Moldova_1998,Moldova,1998,0.3854,1.52,8.8
Moldova_1999,Moldova,1999,0.54358,1.11,8.9
Moldova_2000,Moldova,2000,0.72966,0.851,9
Moldova_2001,Moldova,2001,0.74434,0.905,9.3
Moldova_2002,Moldova,2002,0.748,0.971,9.6
Moldova_2003,Moldova,2003,0.71834,1.06,9.8
Moldova_2004,Moldova,2004,0.74218,1.11,10.1
Moldova_2005,Moldova,2005,0.74879,1.19,10.4
Moldova_2006,Moldova,2006,0.77346,1.21,10.6
Moldova_2007,Moldova,2007,0.82902,1.21,10.9
Moldova_2008,Moldova,2008,0.79613,1.26,10.9
Moldova_2009,Moldova,2009,0.9239,1.11,11
Moldova_2010,Moldova,2010,0.88809,1.18,11.1
Moldova_2011,Moldova,2011,0.86607,1.21,11.1
Moldova_2012,Moldova,2012,0.95314,1.17,11.4
Moldova_2013,Moldova,2013,0.96667,1.2,11.6
Moldova_2014,Moldova,2014,1,1.16,11.6
Moldova_2015,Moldova,2015,0.98305,1.18,11.6
Moldova_2016,Moldova,2016,0.95868,1.21,11.6
Mongolia_2016,Mongolia,2016,0.09938,8.29,10.1
North Macedonia_2009,North Macedonia,2009,0.14366,4.2,8.9
North Macedonia_2010,North Macedonia,2010,0.15386,4.15,9.1
North Macedonia_2011,North Macedonia,2011,0.15003,4.49,9.3
North Macedonia_2012,North Macedonia,2012,0.1585,4.25,9.3
North Macedonia_2013,North Macedonia,2013,0.18237,3.79,9.4
Norway_1990,Norway,1990,0.10898,8.32,10.47
Norway_1991,Norway,1991,0.14628,7.93,11.6
Norway_1992,Norway,1992,0.14321,8.1,11.6
Norway_1993,Norway,1993,0.16007,8.4,11.7
Norway_1994,Norway,1994,0.15315,8.78,11.7
Norway_1995,Norway,1995,0.1724,8.87,11.8
Norway_1996,Norway,1996,0.16046,9.53,11.8
Norway_1997,Norway,1997,0.18059,9.49,11.9
Norway_1998,Norway,1998,0.1804,9.5,11.9
Norway_1999,Norway,1999,0.19755,9.61,12
Norway_2000,Norway,2000,0.20068,9.46,12
Norway_2001,Norway,2001,0.21453,9.71,12.1
Norway_2002,Norway,2002,0.2202,9.46,12.1
Norway_2003,Norway,2003,0.23354,9.71,12.2
Norway_2004,Norway,2004,0.32827,9.72,12.7
Norway_2005,Norway,2005,0.27757,9.5,12.4
Norway_2006,Norway,2006,0.29607,9.53,12.5
Norway_2007,Norway,2007,0.30644,9.81,12.6
Norway_2008,Norway,2008,0.33516,9.52,12.7
Norway_2009,Norway,2009,0.35063,9.1,12.7
Norway_2010,Norway,2010,0.33693,9.47,12.7
Norway_2011,Norway,2011,0.36689,9.2,12.8
Norway_2012,Norway,2012,0.33439,8.99,12.6
Norway_2013,Norway,2013,0.36013,8.86,12.7
Norway_2014,Norway,2014,0.32283,8.74,12.5
Norway_2015,Norway,2015,0.32357,8.72,12.5
Poland_2004,Poland,2004,0.1376,8.43,11.6
Poland_2005,Poland,2005,0.13793,8.41,11.6
Poland_2006,Poland,2006,0.15349,8.76,11.7
Poland_2007,Poland,2007,0.17457,8.76,11.8
Poland_2008,Poland,2008,0.19975,8.58,11.9
Poland_2009,Poland,2009,0.25311,8.23,12.1
Poland_2010,Poland,2010,0.26036,8.71,12.2
Poland_2011,Poland,2011,0.28187,8.7,12.3
Poland_2012,Poland,2012,0.15782,8.52,11.7
Poland_2013,Poland,2013,0.2471,8.43,12.1
Poland_2014,Poland,2014,0.13474,8.11,11.3
Poland_2015,Poland,2015,0.25342,8.22,12.1
Portugal_2003,Portugal,2003,0.08045,6.19,7.2
Portugal_2004,Portugal,2004,0.07745,6.43,7.4
Portugal_2005,Portugal,2005,0.07523,6.62,7.5
Portugal_2006,Portugal,2006,0.08098,6.15,7.6
Portugal_2007,Portugal,2007,0.08441,5.9,7.7
Portugal_2008,Portugal,2008,0.08783,5.67,7.8
Portugal_2009,Portugal,2009,0.09239,5.39,7.9
Portugal_2010,Portugal,2010,0.0996,5,8.1
Portugal_2011,Portugal,2011,0.10163,4.9,8.3
Portugal_2012,Portugal,2012,0.11224,4.75,8.5
Portugal_2013,Portugal,2013,0.11971,4.6,8.6
Portugal_2014,Portugal,2014,0.13088,4.61,8.9
Romania_2006,Romania,2006,0.17548,4.95,10.3
Romania_2007,Romania,2007,0.17946,5.09,10.5
Romania_2008,Romania,2008,0.18532,5.05,10.6
Romania_2009,Romania,2009,0.22021,4.25,10.6
Romania_2010,Romania,2010,0.23316,4.11,10.7
Romania_2011,Romania,2011,0.22188,4.42,10.8
Romania_2012,Romania,2012,0.23437,4.28,10.9
Romania_2013,Romania,2013,0.26123,3.84,10.9
Romania_2014,Romania,2014,0.2592,3.87,10.9
Romania_2015,Romania,2015,0.25655,3.91,10.9
Romania_2016,Romania,2016,0.26776,3.83,11
Russia_1997,Russia,1997,0.09368,9.99,10.6
Russia_1998,Russia,1998,0.09906,9.9,10.8
Serbia_2012,Serbia,2012,0.1868,4.89,10.5
Serbia_2013,Serbia,2013,0.17821,5,10.4
Serbia_2014,Serbia,2014,0.22926,4.18,10.7
Serbia_2015,Serbia,2015,0.20802,4.93,11
Slovakia_2006,Slovakia,2006,0.12698,7.9,10.9
Slovakia_2007,Slovakia,2007,0.13789,7.6,11.1
Slovakia_2008,Slovakia,2008,0.13955,7.67,11.2
Slovakia_2009,Slovakia,2009,0.15977,6.98,11.4
Slovakia_2010,Slovakia,2010,0.16269,7.13,11.6
Slovakia_2011,Slovakia,2011,0.29589,7.04,12.1
Slovakia_2012,Slovakia,2012,0.36877,6.65,12.3
Slovakia_2013,Slovakia,2013,0.34516,6.57,12.2
Slovakia_2014,Slovakia,2014,0.39553,6.2,12.3
Slovenia_2004,Slovenia,2004,0.22682,8.37,12
Slovenia_2005,Slovenia,2005,0.15819,8.5,11.7
Slovenia_2006,Slovenia,2006,0.17844,8.57,11.8
Slovenia_2007,Slovenia,2007,0.17802,8.59,11.8
Slovenia_2008,Slovenia,2008,0.19022,9.01,11.9
Slovenia_2009,Slovenia,2009,0.25941,8.03,12.1
Slovenia_2010,Slovenia,2010,0.25974,8.02,12.1
Slovenia_2011,Slovenia,2011,0.28417,7.98,12.2
Slovenia_2012,Slovenia,2012,0.17485,7.69,11.7
Slovenia_2013,Slovenia,2013,0.18269,7.36,11.7
Slovenia_2014,Slovenia,2014,0.26166,6.55,11.9
Slovenia_2015,Slovenia,2015,0.28852,6.58,12
South Africa_2008,South Africa,2008,0.07484,9.94,9.7
South Korea_2006,South Korea,2006,0.11702,9.53,11.4
South Korea_2007,South Korea,2007,0.11263,10.1,11.5
South Korea_2008,South Korea,2008,0.11262,10.3,11.6
South Korea_2009,South Korea,2009,0.09957,10.3,11
South Korea_2010,South Korea,2010,0.13414,11.4,11.8
South Korea_2011,South Korea,2011,0.1296,11.8,11.8
South Korea_2012,South Korea,2012,0.14648,11.7,11.9
South Korea_2013,South Korea,2013,0.16089,11.8,12
South Korea_2014,South Korea,2014,0.17958,11.6,12.1
South Korea_2015,South Korea,2015,0.17804,11.7,12.1
Spain_1990,Spain,1990,0.08441,5.9,6.52
Spain_1991,Spain,1991,0.08124,6.13,6.4
Spain_1992,Spain,1992,0.07867,6.33,6.7
Spain_1993,Spain,1993,0.08164,6.1,7.1
Spain_1994,Spain,1994,0.07781,6.4,7.4
Spain_1995,Spain,1995,0.07411,6.72,7.7
Spain_1996,Spain,1996,0.07793,6.39,7.9
Spain_1997,Spain,1997,0.07455,6.68,8
Spain_1998,Spain,1998,0.07259,6.86,8.1
Spain_1999,Spain,1999,0.0673,7.4,8.2
Spain_2000,Spain,2000,0.06766,7.62,8.4
Spain_2001,Spain,2001,0.07043,7.57,8.5
Spain_2002,Spain,2002,0.06706,7.95,8.5
Spain_2003,Spain,2003,0.06962,7.91,8.6
Spain_2004,Spain,2004,0.0674,8.17,8.6
Spain_2005,Spain,2005,0.07209,8.37,8.9
Spain_2006,Spain,2006,0.07723,8.04,9
Spain_2007,Spain,2007,0.07892,8.09,9.1
Spain_2008,Spain,2008,0.08999,7.29,9.2
Spain_2009,Spain,2009,0.10575,6.37,9.3
Spain_2010,Spain,2010,0.11444,6.04,9.4
Spain_2011,Spain,2011,0.11734,6.04,9.5
Spain_2012,Spain,2012,0.11952,5.93,9.5
Spain_2013,Spain,2013,0.13198,5.37,9.5
Spain_2014,Spain,2014,0.13649,5.45,9.7
Spain_2015,Spain,2015,0.12803,5.81,9.7
Sweden_1990,Sweden,1990,0.13747,6.71,10.54
Sweden_1991,Sweden,1991,0.13989,6.69,10.6
Sweden_1992,Sweden,1992,0.14498,6.61,10.7
Sweden_1993,Sweden,1993,0.1495,6.56,10.8
Sweden_1994,Sweden,1994,0.14752,6.8,10.9
Sweden_1995,Sweden,1995,0.14972,6.7,10.9
Sweden_1996,Sweden,1996,0.14383,7.13,11
Sweden_1997,Sweden,1997,0.15999,6.55,11.1
Sweden_1998,Sweden,1998,0.16168,6.62,11.2
Sweden_1999,Sweden,1999,0.17345,6.3,11.3
Sweden_2000,Sweden,2000,0.18104,6.16,11.4
Sweden_2001,Sweden,2001,0.18172,6.26,11.5
Sweden_2002,Sweden,2002,0.18268,6.35,11.6
Sweden_2003,Sweden,2003,0.23932,6.39,11.8
Sweden_2004,Sweden,2004,0.39049,6.28,12.3
Sweden_2005,Sweden,2005,0.44244,5.96,12.4
Sweden_2006,Sweden,2006,0.44694,5.9,12.4
Sweden_2007,Sweden,2007,0.48985,5.76,12.5
Sweden_2008,Sweden,2008,0.41306,5.49,12.2
Sweden_2009,Sweden,2009,0.44816,5.06,12.2
Sweden_2010,Sweden,2010,0.43558,5.63,12.3
Sweden_2011,Sweden,2011,0.51004,5.17,12.4
Sweden_2012,Sweden,2012,0.54258,4.86,12.4
Sweden_2013,Sweden,2013,0.48663,4.66,12.2
Sweden_2014,Sweden,2014,0.54984,4.46,12.3
Sweden_2015,Sweden,2015,0.59794,4.41,12.4
Switzerland_1990,Switzerland,1990,0.12711,6.64,10.19
Switzerland_1991,Switzerland,1991,0.10828,6.87,9.7
Switzerland_1992,Switzerland,1992,0.10972,6.78,9.7
Switzerland_1993,Switzerland,1993,0.11715,6.35,9.7
Switzerland_1994,Switzerland,1994,0.12361,6.16,9.8
Switzerland_1995,Switzerland,1995,0.12261,6.21,9.8
Switzerland_1996,Switzerland,1996,0.13139,6.27,10.1
Switzerland_1997,Switzerland,1997,0.14632,6.09,10.4
Switzerland_1998,Switzerland,1998,0.15567,6.3,10.8
Switzerland_1999,Switzerland,1999,0.16767,6.25,11.1
Switzerland_2000,Switzerland,2000,0.18252,6.11,11.4
Switzerland_2001,Switzerland,2001,0.18471,6.28,11.6
Switzerland_2002,Switzerland,2002,0.22336,6.02,11.7
Switzerland_2003,Switzerland,2003,0.24866,6.15,11.8
Switzerland_2004,Switzerland,2004,0.27732,6.18,11.9
Switzerland_2005,Switzerland,2005,0.30620000000000003,6.2,12
Switzerland_2006,Switzerland,2006,0.40268,6.09,12.3
Switzerland_2007,Switzerland,2007,0.5219,5.76,12.6
Switzerland_2008,Switzerland,2008,0.60647,5.87,12.9
Switzerland_2009,Switzerland,2009,0.87363,5.65,13.3
Switzerland_2010,Switzerland,2010,0.85546,5.77,13.3
Switzerland_2011,Switzerland,2011,0.95106,5.19,13.3
Switzerland_2012,Switzerland,2012,1,5.28,13.4
Switzerland_2013,Switzerland,2013,0.99062,5.33,13.4
Thailand_1994,Thailand,1994,0.21747,2.29,4.9
Thailand_1995,Thailand,1995,0.18864,2.64,5
Thailand_1996,Thailand,1996,0.17232,2.89,5.2
Thailand_1997,Thailand,1997,0.16881,2.95,5.5
Thailand_1998,Thailand,1998,0.19228,2.59,5.7
Thailand_1999,Thailand,1999,0.18652,2.67,5.9
Thailand_2000,Thailand,2000,0.18376,2.71,6.1
Thailand_2001,Thailand,2001,0.17352,2.87,6.3
Thailand_2002,Thailand,2002,0.166,3,6.5
Thailand_2003,Thailand,2003,0.1581,3.15,6.7
Thailand_2004,Thailand,2004,0.14821,3.36,6.8
Thailand_2005,Thailand,2005,0.14519,3.43,7
Thailand_2006,Thailand,2006,0.14393,3.46,7
Thailand_2007,Thailand,2007,0.14269,3.49,7.1
Thailand_2008,Thailand,2008,0.14519,3.43,7.3
Thailand_2009,Thailand,2009,0.13681,3.64,7.5
Thailand_2010,Thailand,2010,0.13037,3.82,7.7
Thailand_2011,Thailand,2011,0.13245,3.76,7.5
Thailand_2012,Thailand,2012,0.12481,3.99,7.7
Thailand_2013,Thailand,2013,0.11942,4.17,7.5
Thailand_2014,Thailand,2014,0.12236,4.07,7.6
Thailand_2015,Thailand,2015,0.12146,4.1,7.6
Thailand_2016,Thailand,2016,0.12236,4.07,7.6
Trinidad and Tobago_1990,Trinidad and Tobago,1990,0.03583,13.9,7.94
Trinidad and Tobago_1991,Trinidad and Tobago,1991,0.03609,13.8,8.1
Trinidad and Tobago_1992,Trinidad and Tobago,1992,0.03213,15.5,8.2
Tunisia_2009,Tunisia,2009,0.21558,2.31,6.4
Turkey_2009,Turkey,2009,0.11242,4.43,6.5
Turkey_2010,Turkey,2010,0.11448,4.35,6.7
Turkey_2011,Turkey,2011,0.10756,4.63,7.2
Turkey_2012,Turkey,2012,0.10506,4.74,7.5
Turkey_2013,Turkey,2013,0.10945,4.55,7.7
Turkey_2014,Turkey,2014,0.10618,4.69,7.6
Turkey_2015,Turkey,2015,0.10247,4.86,7.8
Ukraine_1995,Ukraine,1995,0.10449,7.67,10
Ukraine_1996,Ukraine,1996,0.12176,6.95,10.2
Ukraine_1997,Ukraine,1997,0.12793,6.79,10.3
Ukraine_1998,Ukraine,1998,0.1348,6.61,10.4
Ukraine_1999,Ukraine,1999,0.15444,6.06,10.6
Ukraine_2000,Ukraine,2000,0.16381,5.85,10.7
Ukraine_2001,Ukraine,2001,0.14189,6.28,10.4
Ukraine_2002,Ukraine,2002,0.14805,6.17,10.5
Ukraine_2003,Ukraine,2003,0.14487,6.46,10.6
Ukraine_2004,Ukraine,2004,0.14564,6.58,10.7
United Kingdom_1990,United Kingdom,1990,0.05713,10.5,8.88
United Kingdom_1991,United Kingdom,1991,0.05195,10.6,8.6
United Kingdom_1992,United Kingdom,1992,0.0654,10.3,9.3
United Kingdom_1993,United Kingdom,1993,0.07935,10.1,10
United Kingdom_1994,United Kingdom,1994,0.09612,9.97,10.7
United Kingdom_1995,United Kingdom,1995,0.11391,9.79,11.4
United Kingdom_1996,United Kingdom,1996,0.11041,10.1,11.4
United Kingdom_1997,United Kingdom,1997,0.11788,9.65,11.5
United Kingdom_1998,United Kingdom,1998,0.11716,9.71,11.5
United Kingdom_1999,United Kingdom,1999,0.12147,9.55,11.6
United Kingdom_2000,United Kingdom,2000,0.13963,9.63,11.7
United Kingdom_2001,United Kingdom,2001,0.15684,9.75,11.8
United Kingdom_2002,United Kingdom,2002,0.18136,9.45,11.9
United Kingdom_2003,United Kingdom,2003,0.19776,9.6,12
United Kingdom_2004,United Kingdom,2004,0.21744,9.58,12.1
United Kingdom_2005,United Kingdom,2005,0.23971,9.46,12.2
United Kingdom_2006,United Kingdom,2006,0.28263,9.33,12.4
United Kingdom_2007,United Kingdom,2007,0.33035,9.1,12.6
United Kingdom_2008,United Kingdom,2008,0.38488,8.77,12.8
United Kingdom_2009,United Kingdom,2009,0.53977,7.87,13.1
United Kingdom_2010,United Kingdom,2010,0.56902,8.07,13.2
United Kingdom_2011,United Kingdom,2011,0.53188,7.34,13
United Kingdom_2012,United Kingdom,2012,0.4709,7.56,12.9
United Kingdom_2013,United Kingdom,2013,0.40844,7.36,12.6
United Kingdom_2014,United Kingdom,2014,0.47552,6.71,12.7
United Kingdom_2015,United Kingdom,2015,0.52576,6.42,12.8
United States_1990,United States,1990,0.12262,20.3,12.32
United States_1991,United States,1991,0.13251,19.9,12.4
United States_1992,United States,1992,0.13968,20.2,12.5
United States_1993,United States,1993,0.14736,20.4,12.6
United States_1994,United States,1994,0.15565,20.5,12.7
United States_1995,United States,1995,0.15565,20.5,12.7
United States_1996,United States,1996,0.15194,21,12.7
United States_1997,United States,1997,0.15194,21,12.7
United States_1998,United States,1998,0.15267,20.9,12.7
United States_1999,United States,1999,0.15267,20.9,12.7
United States_2000,United States,2000,0.1498,21.3,12.7
United States_2001,United States,2001,0.15414,20.7,12.7
United States_2002,United States,2002,0.15414,20.7,12.7
United States_2003,United States,2003,0.16306,20.7,12.8
United States_2004,United States,2004,0.1615,20.9,12.8
United States_2005,United States,2005,0.16228,20.8,12.8
United States_2006,United States,2006,0.16628,20.3,12.8
United States_2007,United States,2007,0.17451,20.4,12.9
Venezuela_1990,Venezuela,1990,0.08019,6.21,4.59
Venezuela_1991,Venezuela,1991,0.08691,5.73,4.8
Venezuela_1992,Venezuela,1992,0.09689,5.14,5
Venezuela_1993,Venezuela,1993,0.08441,5.9,5.1
Venezuela_1994,Venezuela,1994,0.08245,6.04,5.3
