dmu,country,year,efficiencies,foreign_investment,income_share_20
Kyrgyzstan_2007,Kyrgyzstan,2007,0.01563,63.97,7.6
Kyrgyzstan_2008,Kyrgyzstan,2008,0.05065,65.83,8.4
Kyrgyzstan_2009,Kyrgyzstan,2009,0.31456,62.54,9.1
Kyrgyzstan_2010,Kyrgyzstan,2010,0.15121,68.36,8.7
Kyrgyzstan_2011,Kyrgyzstan,2011,0.48387,69.6,9.7
Kyrgyzstan_2012,Kyrgyzstan,2012,0.50189,62.45,9.6
Kyrgyzstan_2013,Kyrgyzstan,2013,0.36417,66.84,9.3
Kyrgyzstan_2014,Kyrgyzstan,2014,0.64479,63.09,10
Kyrgyzstan_2015,Kyrgyzstan,2015,0.38372,75.6,9.5
Latvia_2004,Latvia,2004,0.01597,62.6,6.5
Latvia_2005,Latvia,2005,0.01581,63.26,5.9
Latvia_2006,Latvia,2006,0.01506,66.41,6.8
Latvia_2007,Latvia,2007,0.01487,67.24,6.4
Latvia_2008,Latvia,2008,0.016,62.5,6.1
Latvia_2009,Latvia,2009,0.01726,57.932,5.9
Latvia_2010,Latvia,2010,0.01653,60.48,6.2
Latvia_2011,Latvia,2011,0.01562,64.03,6.4
Latvia_2012,Latvia,2012,0.01604,62.34,6.5
Latvia_2013,Latvia,2013,0.01619,61.78,6.5
Latvia_2014,Latvia,2014,0.01617,61.83,6.6
Latvia_2015,Latvia,2015,0.01627,61.48,7.1
Lithuania_2004,Lithuania,2004,0.01603,62.39,5.8
Lithuania_2005,Lithuania,2005,0.01576,63.45,6.4
Lithuania_2006,Lithuania,2006,0.01515,65.99,6.9
Lithuania_2007,Lithuania,2007,0.01537,65.05,6.8
Lithuania_2008,Lithuania,2008,0.0161,62.11,6.6
Lithuania_2009,Lithuania,2009,0.01738,57.537,5.7
Lithuania_2010,Lithuania,2010,0.01627,61.47,6.5
Lithuania_2011,Lithuania,2011,0.01592,62.82,7.1
Lithuania_2012,Lithuania,2012,0.01664,60.08,6.5
Lithuania_2013,Lithuania,2013,0.01663,60.15,6.7
Lithuania_2014,Lithuania,2014,0.01688,59.236,6
Lithuania_2015,Lithuania,2015,0.01639,61,6.1
Lithuania_2016,Lithuania,2016,0.01633,61.24,6
Luxembourg_2002,Luxembourg,2002,0.02327,76.4,8.333333333333334
Luxembourg_2003,Luxembourg,2003,0.0137,73,8.3
Luxembourg_2004,Luxembourg,2004,0.01364,73.3,8.3
Luxembourg_2005,Luxembourg,2005,0.01412,70.8,8.2
Luxembourg_2006,Luxembourg,2006,0.00749,133.6,8.2
Luxembourg_2007,Luxembourg,2007,1,1,8.3
Luxembourg_2008,Luxembourg,2008,0.01416,70.6,7.8
Luxembourg_2009,Luxembourg,2009,0.00922,108.5,8
Luxembourg_2010,Luxembourg,2010,0.00781,128.1,8.2
Luxembourg_2011,Luxembourg,2011,0.01374,72.8,7.8
Luxembourg_2012,Luxembourg,2012,0.00988,101.2,7.3
Luxembourg_2013,Luxembourg,2013,0.01203,83.1,7.6
Luxembourg_2014,Luxembourg,2014,0.01163,86,7.9
Luxembourg_2015,Luxembourg,2015,0.01261,79.3,7.4
Malaysia_2007,Malaysia,2007,0.01583,63.19,4.9
Malaysia_2008,Malaysia,2008,0.01619,61.78,4.8
Malaysia_2009,Malaysia,2009,0.01708,58.5567,4.933333333333334
Malaysia_2010,Malaysia,2010,0.01593,62.77,5.066666666666666
Malaysia_2011,Malaysia,2011,0.01573,63.57,5.2
Malaysia_2012,Malaysia,2012,0.01631,61.33,5.5
Malaysia_2013,Malaysia,2013,0.01613,61.99,5.8
Malaysia_2014,Malaysia,2014,0.01622,61.64,5.8
Malta_2006,Malta,2006,0.01872,427.5,8.6
Malta_2007,Malta,2007,0.00197,507.5,8.3
Malta_2008,Malta,2008,0.02559,221.5,8.5
Malta_2009,Malta,2009,0.01332,75.1,8.2
Malta_2010,Malta,2010,0.02077,160.5,8.4
Malta_2011,Malta,2011,0.04063,139.5,8.5
Malta_2012,Malta,2012,0.03562,93.6,8.4
Malta_2013,Malta,2013,0.12636,63.33,8.6
Malta_2014,Malta,2014,0.13373,59.84,8.6
Malta_2015,Malta,2015,0.06208,91.3,8.5
Mexico_1990,Mexico,1990,0.0168,59.51,4.033333333333333
Mexico_1991,Mexico,1991,0.01666,60.02,3.9666666666666663
Mexico_1992,Mexico,1992,0.01675,59.71,3.9
Mexico_1993,Mexico,1993,0.01684,59.377,3.85
Mexico_1994,Mexico,1994,0.01651,60.58,3.8
Mexico_1995,Mexico,1995,0.01635,61.15,3.5
Moldova_1997,Moldova,1997,0.01598,62.58,6.5
Moldova_1998,Moldova,1998,0.01589,62.95,6
Moldova_1999,Moldova,1999,0.0162,61.73,6
Moldova_2000,Moldova,2000,0.01462,68.4,6.9
Moldova_2001,Moldova,2001,0.01527,65.49,6.7
Moldova_2002,Moldova,2002,0.01573,63.56,7
Moldova_2003,Moldova,2003,0.01607,62.22,7.6
Moldova_2004,Moldova,2004,0.01555,64.31,7.4
Moldova_2005,Moldova,2005,0.01541,64.88,7
Moldova_2006,Moldova,2006,0.01513,66.09,7.1
Moldova_2007,Moldova,2007,0.01414,70.7,7.4
Moldova_2008,Moldova,2008,0.01418,70.5,7.3
Moldova_2009,Moldova,2009,0.01579,63.35,7.6
Moldova_2010,Moldova,2010,0.01593,62.76,8.1
Moldova_2011,Moldova,2011,0.09007,62.93,8.5
Moldova_2012,Moldova,2012,0.28248,61.38,9
Moldova_2013,Moldova,2013,0.32224,61.05,9.1
Moldova_2014,Moldova,2014,0.54196,62.14,9.7
Moldova_2015,Moldova,2015,0.54831,61.42,9.7
Moldova_2016,Moldova,2016,0.68277,59.58,10
Mongolia_2016,Mongolia,2016,0.04695,21.299999999999997,8
North Macedonia_2009,North Macedonia,2009,0.01632,61.26,4.1
North Macedonia_2010,North Macedonia,2010,0.01621,61.7,3.7
North Macedonia_2011,North Macedonia,2011,0.01579,63.34,4.4
North Macedonia_2012,North Macedonia,2012,0.01614,61.97,4.9
North Macedonia_2013,North Macedonia,2013,0.01607,62.22,5.6
Norway_1990,Norway,1990,0.70132,59.336,10.04
Norway_1991,Norway,1991,0.69884,58.21,10
Norway_1992,Norway,1992,0.67132,57.989,9.925
Norway_1993,Norway,1993,0.62672,59.322,9.85
Norway_1994,Norway,1994,0.58414,60.65,9.775
Norway_1995,Norway,1995,0.56064,60.07,9.7
Norway_1996,Norway,1996,0.55354,60.84,9.7
Norway_1997,Norway,1997,0.54939,61.3,9.7
Norway_1998,Norway,1998,0.54179,62.16,9.7
Norway_1999,Norway,1999,0.5424,62.09,9.7
Norway_2000,Norway,2000,0.53144,63.37,9.7
Norway_2001,Norway,2001,0.53243,60.33,9.633333333333333
Norway_2002,Norway,2002,0.50908,60.04,9.566666666666666
Norway_2003,Norway,2003,0.48084,60.33,9.5
Norway_2004,Norway,2004,0.20992,60.36,8.8
Norway_2005,Norway,2005,0.28074,61.76,9
Norway_2006,Norway,2006,0.35529,61.94,9.2
Norway_2007,Norway,2007,0.41235,64.69,9.4
Norway_2008,Norway,2008,0.31251,62.95,9.1
Norway_2009,Norway,2009,0.43917,60.74,9.4
Norway_2010,Norway,2010,0.45648,63.55,9.5
Norway_2011,Norway,2011,0.47894,60.57,9.5
Norway_2012,Norway,2012,0.41693,63.98,9.4
Norway_2013,Norway,2013,0.41796,58.238,9.3
Norway_2014,Norway,2014,0.33259,59.151,9.1
Norway_2015,Norway,2015,0.28711,60.39,9
Poland_2004,Poland,2004,0.01564,63.94,5.7
Poland_2005,Poland,2005,0.0161,62.11,6.4
Poland_2006,Poland,2006,0.01545,64.73,6.8
Poland_2007,Poland,2007,0.01554,64.33,7.2
Poland_2008,Poland,2008,0.01633,61.23,7.3
Poland_2009,Poland,2009,0.01621,61.69,7.3
Poland_2010,Poland,2010,0.01604,62.33,7.3
Poland_2011,Poland,2011,0.01613,62.01,7.3
Poland_2012,Poland,2012,0.01667,59.98,7.2
Poland_2013,Poland,2013,0.01705,58.653,7.2
Poland_2014,Poland,2014,0.01609,62.15,7.2
Poland_2015,Poland,2015,0.01622,61.65,7.4
Portugal_2003,Portugal,2003,0.01544,64.77,6.2
Portugal_2004,Portugal,2004,0.01672,59.81,6.4
Portugal_2005,Portugal,2005,0.01661,60.21,6.7
Portugal_2006,Portugal,2006,0.0154,64.92,6.7
Portugal_2007,Portugal,2007,0.01639,61,6.9
Portugal_2008,Portugal,2008,0.01627,61.47,6.9
Portugal_2009,Portugal,2009,0.01645,60.78,7.2
Portugal_2010,Portugal,2010,0.01606,62.27,7
Portugal_2011,Portugal,2011,0.016,62.51,6.8
Portugal_2012,Portugal,2012,0.01462,68.4,6.4
Portugal_2013,Portugal,2013,0.01528,65.45,6.2
Portugal_2014,Portugal,2014,0.01569,63.74,6.5
Romania_2006,Romania,2006,0.01481,67.52,5
Romania_2007,Romania,2007,0.01555,64.28999999999999,5.5
Romania_2008,Romania,2008,0.01541,64.88,5.8
Romania_2009,Romania,2009,0.01635,61.16,6
Romania_2010,Romania,2010,0.01655,60.43,5.7
Romania_2011,Romania,2011,0.01673,59.79,5.5
Romania_2012,Romania,2012,0.01659,60.29,5.3
Romania_2013,Romania,2013,0.01652,60.52,5
Romania_2014,Romania,2014,0.01655,60.43,4.9
Romania_2015,Romania,2015,0.01641,60.93,5.1
Romania_2016,Romania,2016,0.01618,61.82,5.6
Russia_1997,Russia,1997,0.01675,59.7,6.3
Russia_1998,Russia,1998,0.0168,59.52,6.2
Serbia_2012,Serbia,2012,0.01628,61.44,4.7
Serbia_2013,Serbia,2013,0.01593,62.76,4.7
Serbia_2014,Serbia,2014,0.01594,62.75,4.3
Serbia_2015,Serbia,2015,0.01553,64.41,4.4
Slovakia_2006,Slovakia,2006,0.3657,66.56,9.3
Slovakia_2007,Slovakia,2007,0.45087,64.34,9.5
Slovakia_2008,Slovakia,2008,0.34876,63.1,9.2
Slovakia_2009,Slovakia,2009,0.13293,60.2,8.6
Slovakia_2010,Slovakia,2010,0.09318,60.83,8.5
Slovakia_2011,Slovakia,2011,0.16161,63.96,8.7
Slovakia_2012,Slovakia,2012,0.13253,60.38,8.6
Slovakia_2013,Slovakia,2013,0.0168,59.52,8.3
Slovakia_2014,Slovakia,2014,0.05735,58.141,8.4
Slovenia_2004,Slovenia,2004,0.59308,60.72,9.8
Slovenia_2005,Slovenia,2005,0.62677,61.18,9.9
Slovenia_2006,Slovenia,2006,0.67518,60.25,10
Slovenia_2007,Slovenia,2007,0.65171,62.42,10
Slovenia_2008,Slovenia,2008,0.7503,60.44,10.2
Slovenia_2009,Slovenia,2009,0.62289,57.814,9.8
Slovenia_2010,Slovenia,2010,0.56924,59.162,9.7
Slovenia_2011,Slovenia,2011,0.55943,60.2,9.7
Slovenia_2012,Slovenia,2012,0.45542,58.572,9.4
Slovenia_2013,Slovenia,2013,0.37481,58.715,9.2
Slovenia_2014,Slovenia,2014,0.44062,60.54,9.4
Slovenia_2015,Slovenia,2015,0.50141,62.51,9.6
South Africa_2008,South Africa,2008,0.01623,61.63,2.6
South Korea_2006,South Korea,2006,0.01684,59.37,7.3
South Korea_2007,South Korea,2007,0.01688,59.253,7.25
South Korea_2008,South Korea,2008,0.01679,59.57,7.2
South Korea_2009,South Korea,2009,0.01682,59.456,7.25
South Korea_2010,South Korea,2010,0.01685,59.33,7.3
South Korea_2011,South Korea,2011,0.01687,59.28,7.3
South Korea_2012,South Korea,2012,0.01688,59.243,7.3
South Korea_2013,South Korea,2013,0.01683,59.431,7.4
South Korea_2014,South Korea,2014,0.01691,59.125,7.5
South Korea_2015,South Korea,2015,0.01701,58.78,7.5
Spain_1990,Spain,1990,0.01636,61.11,7.7
Spain_1991,Spain,1991,0.01649,60.66,7.4
Spain_1992,Spain,1992,0.0165,60.6,7.1
Spain_1993,Spain,1993,0.01651,60.56,6.800000000000001
Spain_1994,Spain,1994,0.01663,60.15,6.5
Spain_1995,Spain,1995,0.01671,59.85,6.2
Spain_1996,Spain,1996,0.01666,60.03,6.38
Spain_1997,Spain,1997,0.01664,60.1,6.56
Spain_1998,Spain,1998,0.01638,61.04,6.74
Spain_1999,Spain,1999,0.01624,61.59,6.92
Spain_2000,Spain,2000,0.01532,65.27,7.1
Spain_2001,Spain,2001,0.01585,63.1,7.133333333333333
Spain_2002,Spain,2002,0.01561,64.05,7.166666666666667
Spain_2003,Spain,2003,0.01616,61.89,7.2
Spain_2004,Spain,2004,0.01643,60.86,6.9
Spain_2005,Spain,2005,0.01644,60.84,7
Spain_2006,Spain,2006,0.01636,61.11,6.7
Spain_2007,Spain,2007,0.01584,63.13,6.7
Spain_2008,Spain,2008,0.01586,63.04,6.6
Spain_2009,Spain,2009,0.01691,59.14,6.3
Spain_2010,Spain,2010,0.01637,61.07,6.3
Spain_2011,Spain,2011,0.01658,60.31,6
Spain_2012,Spain,2012,0.01665,60.07,6.1
Spain_2013,Spain,2013,0.01613,62,5.7
Spain_2014,Spain,2014,0.01642,60.9,5.7
Spain_2015,Spain,2015,0.01655,60.43,5.8
Sweden_1990,Sweden,1990,0.66286,59.257,9.94
Sweden_1991,Sweden,1991,0.59978,60.82,9.82
Sweden_1992,Sweden,1992,0.5757,58.49809,9.7
Sweden_1993,Sweden,1993,0.52031,60.24,9.6
Sweden_1994,Sweden,1994,0.4737,61.24,9.5
Sweden_1995,Sweden,1995,0.41621,64.09,9.4
Sweden_1996,Sweden,1996,0.43406,60.38,9.38
Sweden_1997,Sweden,1997,0.41299,62.33,9.36
Sweden_1998,Sweden,1998,0.37656,67.12,9.34
Sweden_1999,Sweden,1999,0.30439,81.5,9.32
Sweden_2000,Sweden,2000,0.36233,67.18,9.3
Sweden_2001,Sweden,2001,0.36869,66.02,9.3
Sweden_2002,Sweden,2002,0.37224,65.39,9.3
Sweden_2003,Sweden,2003,0.40367,60.3,9.3
Sweden_2004,Sweden,2004,0.3871,62.88,9.3
Sweden_2005,Sweden,2005,0.16201,63.8,8.7
Sweden_2006,Sweden,2006,0.34542,63.71,9.2
Sweden_2007,Sweden,2007,0.22101,67.89,8.9
Sweden_2008,Sweden,2008,0.12034,66.5,8.6
Sweden_2009,Sweden,2009,0.13216,60.55,8.6
Sweden_2010,Sweden,2010,0.1365,58.626,8.6
Sweden_2011,Sweden,2011,0.09491,59.72,8.5
Sweden_2012,Sweden,2012,0.09563,59.274,8.5
Sweden_2013,Sweden,2013,0.01703,58.724,8.1
Sweden_2014,Sweden,2014,0.05847,57.02,8.4
Sweden_2015,Sweden,2015,0.01652,60.53,8.2
Switzerland_1990,Switzerland,1990,0.01651,60.58,7.48
Switzerland_1991,Switzerland,1991,0.01679,59.55,7.49
Switzerland_1992,Switzerland,1992,0.01698,58.903,7.5
Switzerland_1993,Switzerland,1993,0.01691,59.126,7.5375
Switzerland_1994,Switzerland,1994,0.01674,59.72,7.575
Switzerland_1995,Switzerland,1995,0.01676,59.68,7.6125
Switzerland_1996,Switzerland,1996,0.01669,59.93,7.65
Switzerland_1997,Switzerland,1997,0.0163,61.34,7.6875
Switzerland_1998,Switzerland,1998,0.01607,62.23,7.725
Switzerland_1999,Switzerland,1999,0.01578,63.37,7.7625
Switzerland_2000,Switzerland,2000,0.01498,66.75,7.8
Switzerland_2001,Switzerland,2001,0.01616,61.9,7.949999999999999
Switzerland_2002,Switzerland,2002,0.01635,61.16,8.1
Switzerland_2003,Switzerland,2003,0.01564,63.93,7.925
Switzerland_2004,Switzerland,2004,0.0166,60.25,7.75
Switzerland_2005,Switzerland,2005,0.01691,59.134,7.575
Switzerland_2006,Switzerland,2006,0.01416,70.6,7.4
Switzerland_2007,Switzerland,2007,0.01463,68.37,7.4
Switzerland_2008,Switzerland,2008,0.01694,59.024,7.5
Switzerland_2009,Switzerland,2009,0.01492,67.03999999999999,7.8
Switzerland_2010,Switzerland,2010,0.01628,61.43,7.8
Switzerland_2011,Switzerland,2011,0.01629,61.38,7.9
Switzerland_2012,Switzerland,2012,0.01556,64.27,8.1
Switzerland_2013,Switzerland,2013,0.01818,55,7.9
Thailand_1994,Thailand,1994,0.01683,59.432,6.1
Thailand_1995,Thailand,1995,0.01674,59.72,6.15
Thailand_1996,Thailand,1996,0.01673,59.78,6.2
Thailand_1997,Thailand,1997,0.01637,61.09,6.300000000000001
Thailand_1998,Thailand,1998,0.0154,64.93,6.4
Thailand_1999,Thailand,1999,0.01579,63.32,6.1
Thailand_2000,Thailand,2000,0.01635,61.16,6.2
Thailand_2001,Thailand,2001,0.01595,62.71,6.25
Thailand_2002,Thailand,2002,0.0164,60.99,6.3
Thailand_2003,Thailand,2003,0.01614,61.94,6.199999999999999
Thailand_2004,Thailand,2004,0.01616,61.89,6.1
Thailand_2005,Thailand,2005,0.01591,62.84,6.05
Thailand_2006,Thailand,2006,0.01599,62.52,6
Thailand_2007,Thailand,2007,0.01619,61.78,6.5
Thailand_2008,Thailand,2008,0.01628,61.44,6.4
Thailand_2009,Thailand,2009,0.01645,60.78,6.5
Thailand_2010,Thailand,2010,0.01592,62.82,6.6
Thailand_2011,Thailand,2011,0.0169,59.167,7.2
Thailand_2012,Thailand,2012,0.0162,61.74,6.6
Thailand_2013,Thailand,2013,0.01605,62.29,6.9
Thailand_2014,Thailand,2014,0.01674,59.72,7.1
Thailand_2015,Thailand,2015,0.01647,60.72,7.5
Thailand_2016,Thailand,2016,0.01685,59.343,7.3
Trinidad and Tobago_1990,Trinidad and Tobago,1990,0.01649,60.66,5.2
Trinidad and Tobago_1991,Trinidad and Tobago,1991,0.01621,61.69,5.35
Trinidad and Tobago_1992,Trinidad and Tobago,1992,0.01619,61.77,5.5
Tunisia_2009,Tunisia,2009,0.01613,62.01,6.640000000000001
Turkey_2009,Turkey,2009,0.01672,59.82,5.9
Turkey_2010,Turkey,2010,0.01676,59.67,5.9
Turkey_2011,Turkey,2011,0.01655,60.43,5.8
Turkey_2012,Turkey,2012,0.01665,60.06,5.8
Turkey_2013,Turkey,2013,0.01669,59.92,5.8
Turkey_2014,Turkey,2014,0.01669,59.92,5.8
Turkey_2015,Turkey,2015,0.01647,60.73,5.6
Ukraine_1995,Ukraine,1995,0.01693,59.054,6.2
Ukraine_1996,Ukraine,1996,0.01676,59.67,7.1
Ukraine_1997,Ukraine,1997,0.01674,59.74,7.383333333333333
Ukraine_1998,Ukraine,1998,0.01659,60.27,7.666666666666667
Ukraine_1999,Ukraine,1999,0.01665,60.07,7.95
Ukraine_2000,Ukraine,2000,0.01657,60.34,8.233333333333334
Ukraine_2001,Ukraine,2001,0.1001,60.51,8.516666666666667
Ukraine_2002,Ukraine,2002,0.21089,60.08,8.8
Ukraine_2003,Ukraine,2003,0.32124,61.24,9.1
Ukraine_2004,Ukraine,2004,0.20754,61.05,8.8
United Kingdom_1990,United Kingdom,1990,0.01606,62.28,6.9399999999999995
United Kingdom_1991,United Kingdom,1991,0.01652,60.53,6.8
United Kingdom_1992,United Kingdom,1992,0.01654,60.45,6.866666666666666
United Kingdom_1993,United Kingdom,1993,0.01657,60.35,6.933333333333334
United Kingdom_1994,United Kingdom,1994,0.01661,60.22,7
United Kingdom_1995,United Kingdom,1995,0.01649,60.66,7.1
United Kingdom_1996,United Kingdom,1996,0.01645,60.78,7.1
United Kingdom_1997,United Kingdom,1997,0.01618,61.79,7
United Kingdom_1998,United Kingdom,1998,0.01535,65.14,6.9
United Kingdom_1999,United Kingdom,1999,0.0151,66.21,6.8
United Kingdom_2000,United Kingdom,2000,0.01463,68.37,6.6
United Kingdom_2001,United Kingdom,2001,0.01615,61.91,6.8
United Kingdom_2002,United Kingdom,2002,0.01574,63.53,7.1
United Kingdom_2003,United Kingdom,2003,0.0166,60.25,7.2
United Kingdom_2004,United Kingdom,2004,0.01611,62.09,6.7
United Kingdom_2005,United Kingdom,2005,0.01461,68.43,6.9
United Kingdom_2006,United Kingdom,2006,0.01515,65.99,7
United Kingdom_2007,United Kingdom,2007,0.01533,65.25,6.9
United Kingdom_2008,United Kingdom,2008,0.0149,67.12,7.2
United Kingdom_2009,United Kingdom,2009,0.01692,59.1,7.2
United Kingdom_2010,United Kingdom,2010,0.01635,61.18,7.3
United Kingdom_2011,United Kingdom,2011,0.0168,59.51,7.4
United Kingdom_2012,United Kingdom,2012,0.01661,60.22,7.6
United Kingdom_2013,United Kingdom,2013,0.01655,60.44,7.4
United Kingdom_2014,United Kingdom,2014,0.01655,60.41,7.3
United Kingdom_2015,United Kingdom,2015,0.01666,60.03,7.4
United States_1990,United States,1990,0.01675,59.69,5.6
United States_1991,United States,1991,0.01693,59.061,5.6
United States_1992,United States,1992,0.01696,58.965,5.5
United States_1993,United States,1993,0.01688,59.232,5.2
United States_1994,United States,1994,0.01687,59.268,5.4
United States_1995,United States,1995,0.01683,59.404,5.5
United States_1996,United States,1996,0.01675,59.71,5.5
United States_1997,United States,1997,0.01669,59.92,5.4
United States_1998,United States,1998,0.01644,60.83,5.4
United States_1999,United States,1999,0.0162,61.74,5.5
United States_2000,United States,2000,0.01615,61.91,5.5
United States_2001,United States,2001,0.01663,60.13,5.4
United States_2002,United States,2002,0.0168,59.52,5.3
United States_2003,United States,2003,0.0168,59.52,5.2
United States_2004,United States,2004,0.0166,60.25,5.3
United States_2005,United States,2005,0.01678,59.59,5.3
United States_2006,United States,2006,0.01649,60.66,5.2
United States_2007,United States,2007,0.01642,60.9,5.2
Venezuela_1990,Venezuela,1990,0.01683,59.428,4.6000000000000005
Venezuela_1991,Venezuela,1991,0.01611,62.08,4.8
Venezuela_1992,Venezuela,1992,0.0168,59.54,5
Venezuela_1993,Venezuela,1993,0.01692,59.119,4.7
Venezuela_1994,Venezuela,1994,0.0167,59.87,4.3999999999999995
