dmu,country,year,efficiencies,foreign_investment,life_expectancy
Kyrgyzstan_2012,Kyrgyzstan,2012,0.01601,62.45,70.7
Kyrgyzstan_2013,Kyrgyzstan,2013,0.01496,66.84,71.2
Kyrgyzstan_2014,Kyrgyzstan,2014,0.01585,63.09,71.6
Kyrgyzstan_2015,Kyrgyzstan,2015,0.01323,75.6,71.9
Latvia_2004,Latvia,2004,0.01597,62.6,71.3
Latvia_2005,Latvia,2005,0.01581,63.26,70.9
Latvia_2006,Latvia,2006,0.01506,66.41,70.5
Latvia_2007,Latvia,2007,0.01487,67.24,70.9
Latvia_2008,Latvia,2008,0.016,62.5,72.1
Latvia_2009,Latvia,2009,0.01726,57.932,72.9
Latvia_2010,Latvia,2010,0.01653,60.48,73.3
Latvia_2011,Latvia,2011,0.01562,64.03,73.9
Latvia_2012,Latvia,2012,0.01604,62.34,74.2
Latvia_2013,Latvia,2013,0.01619,61.78,74.2
Latvia_2014,Latvia,2014,0.01617,61.83,74.7
Latvia_2015,Latvia,2015,0.01627,61.48,75.1
Lithuania_2004,Lithuania,2004,0.01603,62.39,72
Lithuania_2005,Lithuania,2005,0.01576,63.45,71.3
Lithuania_2006,Lithuania,2006,0.01515,65.99,70.9
Lithuania_2007,Lithuania,2007,0.01537,65.05,70.6
Lithuania_2008,Lithuania,2008,0.0161,62.11,71.4
Lithuania_2009,Lithuania,2009,0.01738,57.537,73
Lithuania_2010,Lithuania,2010,0.01627,61.47,73.2
Lithuania_2011,Lithuania,2011,0.01592,62.82,73.7
Lithuania_2012,Lithuania,2012,0.01664,60.08,74
Lithuania_2013,Lithuania,2013,0.01663,60.15,74
Lithuania_2014,Lithuania,2014,0.01688,59.236,74.6
Lithuania_2015,Lithuania,2015,0.01639,61,74.7
Lithuania_2016,Lithuania,2016,0.01633,61.24,74.9
Luxembourg_2002,Luxembourg,2002,0.01309,76.4,78.7
Luxembourg_2003,Luxembourg,2003,0.0137,73,79
Luxembourg_2004,Luxembourg,2004,0.01364,73.3,79.2
Luxembourg_2005,Luxembourg,2005,0.01412,70.8,79.5
Luxembourg_2006,Luxembourg,2006,0.00749,133.6,79.8
Luxembourg_2007,Luxembourg,2007,1,1,80.2
Luxembourg_2008,Luxembourg,2008,0.09658,70.6,80.6
Luxembourg_2009,Luxembourg,2009,0.08966,108.5,80.8
Luxembourg_2010,Luxembourg,2010,0.09866,128.1,81
Luxembourg_2011,Luxembourg,2011,0.23354,72.8,81.3
Luxembourg_2012,Luxembourg,2012,0.19675,101.2,81.5
Luxembourg_2013,Luxembourg,2013,0.27462,83.1,81.7
Luxembourg_2014,Luxembourg,2014,0.3161,86,82
Luxembourg_2015,Luxembourg,2015,0.39785,79.3,82.3
Malaysia_2007,Malaysia,2007,0.01583,63.19,74.5
Malaysia_2008,Malaysia,2008,0.01619,61.78,74.3
Malaysia_2009,Malaysia,2009,0.01708,58.5567,74.2
Malaysia_2010,Malaysia,2010,0.01593,62.77,74.4
Malaysia_2011,Malaysia,2011,0.01573,63.57,74.6
Malaysia_2012,Malaysia,2012,0.01631,61.33,74.8
Malaysia_2013,Malaysia,2013,0.01613,61.99,75.3
Malaysia_2014,Malaysia,2014,0.01622,61.64,75.1
Malta_2006,Malta,2006,0.00574,427.5,80.3
Malta_2007,Malta,2007,0.0077,507.5,80.4
Malta_2008,Malta,2008,0.03079,221.5,80.6
Malta_2009,Malta,2009,0.12954,75.1,80.8
Malta_2010,Malta,2010,0.0878,160.5,81.1
Malta_2011,Malta,2011,0.11145,139.5,81.2
Malta_2012,Malta,2012,0.19719,93.6,81.4
Malta_2013,Malta,2013,0.33738,63.33,81.6
Malta_2014,Malta,2014,0.40567,59.84,81.8
Malta_2015,Malta,2015,0.32962,91.3,82.2
Mexico_1990,Mexico,1990,0.0168,59.51,70.8
Mexico_1991,Mexico,1991,0.01666,60.02,71.3
Mexico_1992,Mexico,1992,0.01675,59.71,71.5
Mexico_1993,Mexico,1993,0.01684,59.377,71.8
Mexico_1994,Mexico,1994,0.01651,60.58,72.2
Mexico_1995,Mexico,1995,0.01635,61.15,72.3
Moldova_1997,Moldova,1997,0.01598,62.58,68.1
Moldova_1998,Moldova,1998,0.01589,62.95,68.8
Moldova_1999,Moldova,1999,0.0162,61.73,68.8
Moldova_2000,Moldova,2000,0.01462,68.4,68.9
Moldova_2001,Moldova,2001,0.01527,65.49,69.2
Moldova_2002,Moldova,2002,0.01573,63.56,69.1
Moldova_2003,Moldova,2003,0.01607,62.22,69.1
Moldova_2004,Moldova,2004,0.01555,64.31,69.4
Moldova_2005,Moldova,2005,0.01541,64.88,68.9
Moldova_2006,Moldova,2006,0.01513,66.09,69.4
Moldova_2007,Moldova,2007,0.01414,70.7,69.6
Moldova_2008,Moldova,2008,0.01418,70.5,69.9
Moldova_2009,Moldova,2009,0.01579,63.35,70.1
Moldova_2010,Moldova,2010,0.01593,62.76,70
Moldova_2011,Moldova,2011,0.01589,62.93,71.7
Moldova_2012,Moldova,2012,0.01629,61.38,72
Moldova_2013,Moldova,2013,0.01638,61.05,72.7
Moldova_2014,Moldova,2014,0.01609,62.14,72.3
Moldova_2015,Moldova,2015,0.01628,61.42,72.1
Moldova_2016,Moldova,2016,0.01678,59.58,72.6
Mongolia_2016,Mongolia,2016,0.04695,21.299999999999997,67.8
North Macedonia_2009,North Macedonia,2009,0.01632,61.26,73
North Macedonia_2010,North Macedonia,2010,0.01621,61.7,73.4
North Macedonia_2011,North Macedonia,2011,0.01579,63.34,73.7
North Macedonia_2012,North Macedonia,2012,0.01614,61.97,73.7
North Macedonia_2013,North Macedonia,2013,0.01607,62.22,74
Norway_1990,Norway,1990,0.01685,59.336,76.9
Norway_1991,Norway,1991,0.01718,58.21,77.2
Norway_1992,Norway,1992,0.01724,57.989,77.3
Norway_1993,Norway,1993,0.01686,59.322,77.5
Norway_1994,Norway,1994,0.01649,60.65,77.8
Norway_1995,Norway,1995,0.01665,60.07,78
Norway_1996,Norway,1996,0.01644,60.84,78.3
Norway_1997,Norway,1997,0.01631,61.3,78.5
Norway_1998,Norway,1998,0.01609,62.16,78.5
Norway_1999,Norway,1999,0.01611,62.09,78.7
Norway_2000,Norway,2000,0.01578,63.37,78.9
Norway_2001,Norway,2001,0.01658,60.33,79.1
Norway_2002,Norway,2002,0.01666,60.04,79.3
Norway_2003,Norway,2003,0.01658,60.33,79.7
Norway_2004,Norway,2004,0.01657,60.36,80.1
Norway_2005,Norway,2005,0.0633,61.76,80.4
Norway_2006,Norway,2006,0.0866,61.94,80.5
Norway_2007,Norway,2007,0.1279,64.69,80.7
Norway_2008,Norway,2008,0.17765,62.95,80.9
Norway_2009,Norway,2009,0.23201,60.74,81.1
Norway_2010,Norway,2010,0.26754,63.55,81.3
Norway_2011,Norway,2011,0.2807,60.57,81.3
Norway_2012,Norway,2012,0.33395,63.98,81.6
Norway_2013,Norway,2013,0.41683,58.238,81.8
Norway_2014,Norway,2014,0.50876999999999994,59.151,82.2
Norway_2015,Norway,2015,0.54651,60.39,82.4
Poland_2004,Poland,2004,0.01564,63.94,75
Poland_2005,Poland,2005,0.0161,62.11,75.2
Poland_2006,Poland,2006,0.01545,64.73,75.3
Poland_2007,Poland,2007,0.01554,64.33,75.4
Poland_2008,Poland,2008,0.01633,61.23,75.6
Poland_2009,Poland,2009,0.01621,61.69,75.9
Poland_2010,Poland,2010,0.01604,62.33,76.5
Poland_2011,Poland,2011,0.01613,62.01,76.8
Poland_2012,Poland,2012,0.01667,59.98,76.9
Poland_2013,Poland,2013,0.01705,58.653,77.2
Poland_2014,Poland,2014,0.01609,62.15,77.6
Poland_2015,Poland,2015,0.01622,61.65,77.6
Portugal_2003,Portugal,2003,0.01544,64.77,77.8
Portugal_2004,Portugal,2004,0.01672,59.81,78.4
Portugal_2005,Portugal,2005,0.01661,60.21,78.8
Portugal_2006,Portugal,2006,0.0154,64.92,79.2
Portugal_2007,Portugal,2007,0.01639,61,79.4
Portugal_2008,Portugal,2008,0.01627,61.47,79.7
Portugal_2009,Portugal,2009,0.01645,60.78,79.9
Portugal_2010,Portugal,2010,0.01606,62.27,80.2
Portugal_2011,Portugal,2011,0.08581,62.51,80.5
Portugal_2012,Portugal,2012,0.14223,68.4,80.8
Portugal_2013,Portugal,2013,0.21532,65.45,81.1
Portugal_2014,Portugal,2014,0.26674,63.74,81.3
Romania_2006,Romania,2006,0.01481,67.52,72.8
Romania_2007,Romania,2007,0.01555,64.28999999999999,73.4
Romania_2008,Romania,2008,0.01541,64.88,73.4
Romania_2009,Romania,2009,0.01635,61.16,73.5
Romania_2010,Romania,2010,0.01655,60.43,73.8
Romania_2011,Romania,2011,0.01673,59.79,74.6
Romania_2012,Romania,2012,0.01659,60.29,74.7
Romania_2013,Romania,2013,0.01652,60.52,75.3
Romania_2014,Romania,2014,0.01655,60.43,75
Romania_2015,Romania,2015,0.01641,60.93,75.3
Romania_2016,Romania,2016,0.01618,61.82,75.3
Russia_1997,Russia,1997,0.01675,59.7,67.2
Russia_1998,Russia,1998,0.0168,59.52,67.5
Serbia_2012,Serbia,2012,0.01628,61.44,74.8
Serbia_2013,Serbia,2013,0.01593,62.76,74.9
Serbia_2014,Serbia,2014,0.01594,62.75,75
Serbia_2015,Serbia,2015,0.01553,64.41,75.1
Slovakia_2006,Slovakia,2006,0.01502,66.56,74.7
Slovakia_2007,Slovakia,2007,0.01554,64.34,74.7
Slovakia_2008,Slovakia,2008,0.01585,63.1,75
Slovakia_2009,Slovakia,2009,0.01661,60.2,75.3
Slovakia_2010,Slovakia,2010,0.01644,60.83,75.8
Slovakia_2011,Slovakia,2011,0.01563,63.96,76
Slovakia_2012,Slovakia,2012,0.01656,60.38,76.3
Slovakia_2013,Slovakia,2013,0.0168,59.52,76.7
Slovakia_2014,Slovakia,2014,0.0172,58.141,76.9
Slovenia_2004,Slovenia,2004,0.01647,60.72,77.4
Slovenia_2005,Slovenia,2005,0.01635,61.18,78.1
Slovenia_2006,Slovenia,2006,0.0166,60.25,78.3
Slovenia_2007,Slovenia,2007,0.01602,62.42,78.6
Slovenia_2008,Slovenia,2008,0.01655,60.44,79.1
Slovenia_2009,Slovenia,2009,0.0173,57.814,79.4
Slovenia_2010,Slovenia,2010,0.0169,59.162,79.7
Slovenia_2011,Slovenia,2011,0.01661,60.2,80
Slovenia_2012,Slovenia,2012,0.01707,58.572,80.2
Slovenia_2013,Slovenia,2013,0.09136,58.715,80.5
Slovenia_2014,Slovenia,2014,0.28084,60.54,81.3
Slovenia_2015,Slovenia,2015,0.20217,62.51,81
South Africa_2008,South Africa,2008,0.01623,61.63,54.3
South Korea_2006,South Korea,2006,0.01684,59.37,79.3
South Korea_2007,South Korea,2007,0.01688,59.253,79.8
South Korea_2008,South Korea,2008,0.01679,59.57,80.2
South Korea_2009,South Korea,2009,0.09022,59.456,80.5
South Korea_2010,South Korea,2010,0.16397,59.33,80.8
South Korea_2011,South Korea,2011,0.26227,59.28,81.2
South Korea_2012,South Korea,2012,0.3361,59.243,81.5
South Korea_2013,South Korea,2013,0.43294,59.431,81.9
South Korea_2014,South Korea,2014,0.5336,59.125,82.3
South Korea_2015,South Korea,2015,0.61098,58.78,82.6
Spain_1990,Spain,1990,0.01636,61.11,77
Spain_1991,Spain,1991,0.01649,60.66,77.1
Spain_1992,Spain,1992,0.0165,60.6,77.5
Spain_1993,Spain,1993,0.01651,60.56,77.7
Spain_1994,Spain,1994,0.01663,60.15,78
Spain_1995,Spain,1995,0.01671,59.85,78.1
Spain_1996,Spain,1996,0.01666,60.03,78.3
Spain_1997,Spain,1997,0.01664,60.1,78.8
Spain_1998,Spain,1998,0.01638,61.04,79
Spain_1999,Spain,1999,0.01624,61.59,79.1
Spain_2000,Spain,2000,0.01532,65.27,79.5
Spain_2001,Spain,2001,0.01585,63.1,79.8
Spain_2002,Spain,2002,0.01561,64.05,79.9
Spain_2003,Spain,2003,0.01616,61.89,80
Spain_2004,Spain,2004,0.04033,60.86,80.3
Spain_2005,Spain,2005,0.11208,60.84,80.6
Spain_2006,Spain,2006,0.2068,61.11,81
Spain_2007,Spain,2007,0.24627,63.13,81.2
Spain_2008,Spain,2008,0.29278,63.04,81.4
Spain_2009,Spain,2009,0.41048,59.14,81.8
Spain_2010,Spain,2010,0.46897,61.07,82.1
Spain_2011,Spain,2011,0.52312,60.31,82.3
Spain_2012,Spain,2012,0.54942,60.07,82.4
Spain_2013,Spain,2013,0.60271,62,82.7
Spain_2014,Spain,2014,0.63748,60.9,82.8
Spain_2015,Spain,2015,0.64244,60.43,82.8
Sweden_1990,Sweden,1990,0.01688,59.257,78
Sweden_1991,Sweden,1991,0.01644,60.82,78.1
Sweden_1992,Sweden,1992,0.01709,58.49809,78.3
Sweden_1993,Sweden,1993,0.0166,60.24,78.5
Sweden_1994,Sweden,1994,0.01633,61.24,78.8
Sweden_1995,Sweden,1995,0.0156,64.09,79.1
Sweden_1996,Sweden,1996,0.01656,60.38,79.3
Sweden_1997,Sweden,1997,0.01604,62.33,79.5
Sweden_1998,Sweden,1998,0.0149,67.12,79.6
Sweden_1999,Sweden,1999,0.01227,81.5,79.8
Sweden_2000,Sweden,2000,0.01489,67.18,80
Sweden_2001,Sweden,2001,0.01515,66.02,80.2
Sweden_2002,Sweden,2002,0.03754,65.39,80.3
Sweden_2003,Sweden,2003,0.08896,60.3,80.5
Sweden_2004,Sweden,2004,0.13158,62.88,80.7
Sweden_2005,Sweden,2005,0.19808,63.8,81
Sweden_2006,Sweden,2006,0.2212,63.71,81.1
Sweden_2007,Sweden,2007,0.25043,67.89,81.3
Sweden_2008,Sweden,2008,0.29942,66.5,81.5
Sweden_2009,Sweden,2009,0.37689,60.55,81.7
Sweden_2010,Sweden,2010,0.43889,58.626,81.9
Sweden_2011,Sweden,2011,0.45521,59.72,82
Sweden_2012,Sweden,2012,0.48318,59.274,82.1
Sweden_2013,Sweden,2013,0.53724,58.724,82.3
Sweden_2014,Sweden,2014,0.60432,57.02,82.5
Sweden_2015,Sweden,2015,0.56928,60.53,82.5
Switzerland_1990,Switzerland,1990,0.01651,60.58,77.9
Switzerland_1991,Switzerland,1991,0.01679,59.55,78.1
Switzerland_1992,Switzerland,1992,0.01698,58.903,78.4
Switzerland_1993,Switzerland,1993,0.01691,59.126,78.7
Switzerland_1994,Switzerland,1994,0.01674,59.72,79
Switzerland_1995,Switzerland,1995,0.01676,59.68,78.9
Switzerland_1996,Switzerland,1996,0.01669,59.93,79.3
Switzerland_1997,Switzerland,1997,0.0163,61.34,79.6
Switzerland_1998,Switzerland,1998,0.01607,62.23,79.9
Switzerland_1999,Switzerland,1999,0.01578,63.37,80.1
Switzerland_2000,Switzerland,2000,0.03677,66.75,80.3
Switzerland_2001,Switzerland,2001,0.11016,61.9,80.6
Switzerland_2002,Switzerland,2002,0.18285,61.16,80.9
Switzerland_2003,Switzerland,2003,0.22044,63.93,81.1
Switzerland_2004,Switzerland,2004,0.30633,60.25,81.4
Switzerland_2005,Switzerland,2005,0.38592,59.134,81.7
Switzerland_2006,Switzerland,2006,0.36445,70.6,81.9
Switzerland_2007,Switzerland,2007,0.44017,68.37,82.2
Switzerland_2008,Switzerland,2008,0.55916,59.024,82.4
Switzerland_2009,Switzerland,2009,0.514,67.03999999999999,82.5
Switzerland_2010,Switzerland,2010,0.63198,61.43,82.8
Switzerland_2011,Switzerland,2011,0.6799,61.38,83
Switzerland_2012,Switzerland,2012,0.67196,64.27,83.1
Switzerland_2013,Switzerland,2013,0.83812,55,83.3
Thailand_1994,Thailand,1994,0.01683,59.432,70.9
Thailand_1995,Thailand,1995,0.01674,59.72,70.7
Thailand_1996,Thailand,1996,0.01673,59.78,70.6
Thailand_1997,Thailand,1997,0.01637,61.09,71.7
Thailand_1998,Thailand,1998,0.0154,64.93,71.8
Thailand_1999,Thailand,1999,0.01579,63.32,71.4
Thailand_2000,Thailand,2000,0.01635,61.16,71.8
Thailand_2001,Thailand,2001,0.01595,62.71,72.8
Thailand_2002,Thailand,2002,0.0164,60.99,73.1
Thailand_2003,Thailand,2003,0.01614,61.94,73.6
Thailand_2004,Thailand,2004,0.01616,61.89,73.7
Thailand_2005,Thailand,2005,0.01591,62.84,74.8
Thailand_2006,Thailand,2006,0.01599,62.52,75.4
Thailand_2007,Thailand,2007,0.01619,61.78,76
Thailand_2008,Thailand,2008,0.01628,61.44,76.5
Thailand_2009,Thailand,2009,0.01645,60.78,76.9
Thailand_2010,Thailand,2010,0.01592,62.82,77
Thailand_2011,Thailand,2011,0.0169,59.167,77.4
Thailand_2012,Thailand,2012,0.0162,61.74,77.7
Thailand_2013,Thailand,2013,0.01605,62.29,78
Thailand_2014,Thailand,2014,0.01674,59.72,78.1
Thailand_2015,Thailand,2015,0.01647,60.72,78.2
Thailand_2016,Thailand,2016,0.01685,59.343,78
Trinidad and Tobago_1990,Trinidad and Tobago,1990,0.01649,60.66,69.6
Trinidad and Tobago_1991,Trinidad and Tobago,1991,0.01621,61.69,69.9
Trinidad and Tobago_1992,Trinidad and Tobago,1992,0.01619,61.77,69.7
Tunisia_2009,Tunisia,2009,0.01613,62.01,76
Turkey_2009,Turkey,2009,0.01672,59.82,76.8
Turkey_2010,Turkey,2010,0.01676,59.67,76.7
Turkey_2011,Turkey,2011,0.01655,60.43,76.8
Turkey_2012,Turkey,2012,0.01665,60.06,77
Turkey_2013,Turkey,2013,0.01669,59.92,77
Turkey_2014,Turkey,2014,0.01669,59.92,77.1
Turkey_2015,Turkey,2015,0.01647,60.73,77.4
Ukraine_1995,Ukraine,1995,0.01693,59.054,67
Ukraine_1996,Ukraine,1996,0.01676,59.67,67.3
Ukraine_1997,Ukraine,1997,0.01674,59.74,67.9
Ukraine_1998,Ukraine,1998,0.01659,60.27,68.7
Ukraine_1999,Ukraine,1999,0.01665,60.07,68.3
Ukraine_2000,Ukraine,2000,0.01657,60.34,68
Ukraine_2001,Ukraine,2001,0.01653,60.51,68.2
Ukraine_2002,Ukraine,2002,0.01664,60.08,68.1
Ukraine_2003,Ukraine,2003,0.01633,61.24,68.3
Ukraine_2004,Ukraine,2004,0.01638,61.05,68
United Kingdom_1990,United Kingdom,1990,0.01606,62.28,75.8
United Kingdom_1991,United Kingdom,1991,0.01652,60.53,76.1
United Kingdom_1992,United Kingdom,1992,0.01654,60.45,76.3
United Kingdom_1993,United Kingdom,1993,0.01657,60.35,76.4
United Kingdom_1994,United Kingdom,1994,0.01661,60.22,76.7
United Kingdom_1995,United Kingdom,1995,0.01649,60.66,76.8
United Kingdom_1996,United Kingdom,1996,0.01645,60.78,77
United Kingdom_1997,United Kingdom,1997,0.01618,61.79,77.3
United Kingdom_1998,United Kingdom,1998,0.01535,65.14,77.5
United Kingdom_1999,United Kingdom,1999,0.0151,66.21,77.6
United Kingdom_2000,United Kingdom,2000,0.01463,68.37,78
United Kingdom_2001,United Kingdom,2001,0.01615,61.91,78.3
United Kingdom_2002,United Kingdom,2002,0.01574,63.53,78.5
United Kingdom_2003,United Kingdom,2003,0.0166,60.25,78.6
United Kingdom_2004,United Kingdom,2004,0.01611,62.09,79
United Kingdom_2005,United Kingdom,2005,0.01461,68.43,79.3
United Kingdom_2006,United Kingdom,2006,0.01515,65.99,79.5
United Kingdom_2007,United Kingdom,2007,0.01533,65.25,79.8
United Kingdom_2008,United Kingdom,2008,0.0149,67.12,80
United Kingdom_2009,United Kingdom,2009,0.04154,59.1,80.3
United Kingdom_2010,United Kingdom,2010,0.11146,61.18,80.6
United Kingdom_2011,United Kingdom,2011,0.16347,59.51,80.8
United Kingdom_2012,United Kingdom,2012,0.1857,60.22,80.9
United Kingdom_2013,United Kingdom,2013,0.2091,60.44,81
United Kingdom_2014,United Kingdom,2014,0.23328,60.41,81.1
United Kingdom_2015,United Kingdom,2015,0.21052,60.03,81
United States_1990,United States,1990,0.01675,59.69,75.7
United States_1991,United States,1991,0.01693,59.061,75.9
United States_1992,United States,1992,0.01696,58.965,76
United States_1993,United States,1993,0.01688,59.232,75.9
United States_1994,United States,1994,0.01687,59.268,76
United States_1995,United States,1995,0.01683,59.404,76.1
United States_1996,United States,1996,0.01675,59.71,76.4
United States_1997,United States,1997,0.01669,59.92,76.8
United States_1998,United States,1998,0.01644,60.83,76.9
United States_1999,United States,1999,0.0162,61.74,76.9
United States_2000,United States,2000,0.01615,61.91,77
United States_2001,United States,2001,0.01663,60.13,77.1
United States_2002,United States,2002,0.0168,59.52,77.2
United States_2003,United States,2003,0.0168,59.52,77.3
United States_2004,United States,2004,0.0166,60.25,77.7
United States_2005,United States,2005,0.01678,59.59,77.7
United States_2006,United States,2006,0.01649,60.66,78
United States_2007,United States,2007,0.01642,60.9,78.2
Venezuela_1990,Venezuela,1990,0.01683,59.428,72.4
Venezuela_1991,Venezuela,1991,0.01611,62.08,72.9
Venezuela_1992,Venezuela,1992,0.0168,59.54,72.9
Venezuela_1993,Venezuela,1993,0.01692,59.119,72.8
Venezuela_1994,Venezuela,1994,0.0167,59.87,72.3
